enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
15,2006,0,0,0,-0.02,-0.01,-0.02,0,0,0,0,0,0,N/A,0,-0.657,13.87,0.92,0.92,0.8,No Debt,0,0,-,0,0,0,0,0,2198,2384,0,12/31/07,12/31/07,,0,0,7.822
15,2007,0,0,0,0.61,0.67,0.61,0,0,0,0.69,0,0,N/A,0,-0.862,-5.61,2.35,2.35,2.22,No Debt,0,0,73.51,0,-17.81,125,41.18,0,4859.882,631.545,0,03/27/09,03/27/09,,0,5295,7.368
15,2008,0,0,0,0.1,0.12,0.1,0,0,0,0.32,0,0,N/A,0,-0.303,33.82,2.47,2.47,2.29,1343.36,0,0,-700.63,0,45,22.22,45.83,0,5052.13,5056.348,0,04/08/10,03/27/09,,0,5295,6.854
15,2009,0,0,0,0.08,0.11,0.08,0,0,0,0.29,0,-883.9,N/A,0,-0.285,-0.05,1.99,1.99,1.77,No Debt,0,0,-0.46,0,28.74,-12.12,0,0,5040.685,5079.627,0,04/07/11,04/08/10,,0,11716,6.828
15,2010,0,0,0,0.09,0.12,0.09,0,0,1.1,0.37,0,0.44,N/A,0,-0.434,9.26,1.73,1.73,1.55,No Debt,0,0,0.14,0,47.32,48.28,40,43.68,5040.224,5072.263,0,03/27/12,04/07/11,,0,13674,6.65
15,2011,0,0,0,0.12,0.17,0.12,0,0,1.35,0.48,0,0.49,2,0,-0.235,7.3,1.9,1.9,1.67,No Debt,0,0,-0.13,0,20.61,23.26,22.45,27.38,5043.8,5078.82,0,03/27/12,03/27/12,,0,12878,6.348
15,2012,0,0,0,0.45,0.83,0.46,0,0,0,3.22,0,0.78,3,0,0.876,-10.43,2.37,2.37,1.9,78.68,0,0,54.08,0,583.42,441.51,633.33,47.88,2266,2332,0,09/22/14,09/22/14,,0,12878,6.313
15,2013,0,0,0,-1.35,-1.39,-2.05,0,0,0,0,0,-0.09,2,0,0.12,-10.17,1.8,1.8,1.39,7.2,0,0,-2.44,0,70.96,100,93.18,92.84,2294,2389,0,06/25/15,06/25/15,,0,12878,6.215
15,2014,0,0,0,-1.76,-0.94,-2.43,0,0,0,6.36,0,1.68,9,0,0.579,26.83,1.81,1.81,1.21,11.49,0,0,-3.18,0,56.86,182.23,150.47,155.54,2175,2465.01,0,05/24/16,09/22/14,,0,22072,6.173
15,2015,207725.42,197983.811,83.24,1.03,2.06,1.08,0,0,0,17.4,0,9.36,5,-2.77,0.751,14.29,3.58,3.58,3.18,8.48,119.15,81.58,-1.24,-4.74,33.97,-4.01,19.16,0,2337,2495.5,0,06/15/17,06/25/15,,0,34985,6.239
15,2016,195514.688,191635.069,79.03,-1.96,-0.82,-1.91,0,0,0,21.41,6.62,8.3,5,-1.93,0.72,15.77,2.58,2.58,2.22,15.39,93.88,57.39,0.86,1.5,24.25,175.82,114.03,0,2458,2473.93,0,07/27/18,05/24/16,,0,36446,6.503
15,2017,272740.889,270746.837,107.83,-4.43,-2.65,-4.21,31.25,0,0,24.15,13.13,7.41,4,-2.34,0.686,7.97,1.94,1.93,1.61,18.16,109.51,74.23,-2.24,-0.08,46.98,-42.6,-20.07,0,2493,2529.36,0,06/05/19,06/15/17,05/18/17,0,50097,6.894
15,2018,472052.032,470304.478,183.54,-8.68,-5.81,-8.21,47.26,0,0,34.09,26.33,7.78,5,-2.29,0.764,3.08,1.89,1.86,1.55,19.73,205.22,107.44,-1.68,-0.01,70.1,57.39,76.06,0,2553.125,2571.93,2.66,07/09/20,07/27/18,05/04/18,0,66421,6.317
15,2019,472009.097,480096.226,182.45,-15.53,-11.66,-14.69,64.84,0,105.62,32.83,32.15,6.62,4,-2.39,0.717,9.12,1.3,1.26,0.98,11,210.86,130.6,-0.59,0.33,41,28.26,2.93,22.32,2580,2587.06,1.73,07/27/21,06/05/19,05/15/19,0,101958,6.712
15,2020,522470.52,509411.906,194.48,-10.31,-5.02,-9.12,114.54,0,183.43,60.42,0,6.53,7,-2.21,0.658,5.86,1.91,1.85,1.5,17.76,230.48,149.26,-3.84,-2.49,27.14,60.26,45.42,24.25,2627.125,2686.5,1.53,07/26/22,07/09/20,05/22/20,0,117600,7.021
15,2021,614977.917,591042.362,226.73,-15.25,-6.19,-13.31,148.73,0,242.05,84.82,0,5.34,5,-2.38,0.642,9.64,1.7,1.63,1.28,20.04,317.14,187.11,-0.96,0.01,47.35,5.51,6.52,25.86,2702.375,2712.38,0.81,07/21/23,07/27/21,05/13/21,0,251462,6.511
15,2022,290460.096,267641.636,108.8,-17.24,-6.41,-14.9,164.92,0,107.64,81.87,0,3.12,5,-2.3,0.488,6.96,1.66,1.59,1.19,4.6,244.01,76.76,1.57,3.32,23.14,-57.39,-39.09,13.09,2694.75,2669.67,0.57,07/21/23,07/26/22,05/26/22,0,254941,6.345
15,2023,262168.335,233777.703,102.18,-13.51,-3.7,-11.34,185,0,0,81.9,0,3.15,6,-2.96,0.431,0.49,1.81,1.74,1.36,6.07,122.39,63.15,3.89,4.14,-3.25,11.2,13.45,-0.75,2622.5,2565.75,0.27,07/21/23,07/21/23,05/18/23,0,235216,6.891
