enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
22,2001,0,0,0,-1.25,-2.37,-2.37,0,0,0,0,0,0,N/A,0,-0.792,0,0,0,0,No Debt,0,0,-,0,0,0,0,0,53.256,53.256,0,03/25/05,03/25/05,,0,0,1
22,2002,0,0,0,-0.24,-0.96,-0.96,0,0,0,0,0,0,N/A,0,0.264,0,0,0,0,No Debt,0,0,-58.02,0,160.78,42.86,44.37,0,84.156,84.156,0,03/15/06,03/15/06,,0,0,1
22,2003,0,0,0,-0.75,-0.62,-0.69,0,0,0,0,0,0,N/A,0,-2.385,-13.55,1.04,1.04,0.56,N/A,0,0,-25.36,0,81.58,72.65,86.61,0,105.5,105.5,0,,,,0,518,1
22,2004,0,0,0,-0.24,-0.15,-0.19,0,0,0,0,0,-0.04,N/A,0,-2.047,3.29,1.06,1.06,0.51,No Debt,0,0,-283.91,0,-47.83,110.75,182.98,0,118.42,405.028,0,,,,0,518,1
22,2005,1440.473,1325.915,3.43,-0.04,0.1,0.05,0,0,0,0.36,0,7.07,5,-1.24,0.349,35.89,1.36,1.36,0.9,N/A,5.49,2.4,-3.69,-8.21,57.94,80,46.15,0,302.012,419.963,0,03/15/06,03/25/05,,0,767,1
22,2006,4535.474,4331.122,10.26,-0.07,0.15,0.06,0,0,0,0.77,0,12.53,5,-2.69,-0.028,-4.51,1.29,1.29,0.88,N/A,10.66,3.27,-5.26,-0.35,63.82,233.33,50.88,0,429.096,442.054,4.66,03/09/07,03/15/06,,0,1304,1
22,2007,5021.324,4773.534,10.96,-0.29,0.08,-0.07,0,0,0,0,0,8.78,5,-2.58,0.078,8.7,1.12,1.12,0.68,No Debt,11,5.46,-3.64,-0.58,58.59,-100,-22.09,0,449.544,458.15,4.77,02/29/08,03/09/07,,0,2070,1
22,2008,6194.056,5752.156,12.98,-0.39,0.22,-0.05,0,0,0,0.84,1.54,6.87,8,-2.77,0.015,-7.64,1.22,1.22,0.74,No Debt,16.25,9.72,-4.16,-0.98,47.87,0,164.18,0,467.36,477.2,3.79,02/29/08,02/29/08,,159,2606,1
22,2009,3269.14,2589.856,6.65,-0.22,0.53,0.18,2.72,0,0,1.27,2.45,3.65,7,-2.86,-0.007,-4.4,1.39,1.39,0.91,595.72,18.61,5.49,-3.02,0,40.61,131.58,37.29,0,484.732,491.6,2.01,03/11/10,03/09/09,,127,3566,1
22,2010,8084.832,7319.414,15.89,-0.34,0.57,0.13,5.04,0,3.5,2.48,2.85,4.63,6,-2.64,0.188,7.66,1.88,1.88,1.37,57.64,18.71,6.44,-3.5,0,18.51,79.55,58.85,53.52,497.848,508.8,1.73,03/09/12,03/11/10,,101,3969,1
22,2011,17165.364,17166.419,32.29,-2.48,-1.39,-1.88,5.26,0,2.63,3.04,0.64,6.35,5,-2.28,0.519,21.61,0.84,0.84,0.39,3.91,37.65,15.52,-4.48,1,19.03,-25.32,-2.85,52.06,520.888,531.6,1.29,03/08/13,03/23/11,02/24/11,123,5306,1
22,2012,16001.6,15791.974,29.2,-3.14,-1.51,-2.2,7.58,0,0,2.97,1.83,4.25,5,-2.74,0.471,-2.72,0.73,0.73,0.34,0,39.83,24.37,-3.09,0,38.08,-116.95,-30.4,28.59,541.208,548,0.98,03/05/14,03/09/12,02/23/12,125,7785,1
22,2013,25198.368,24978.683,43.03,-3.91,-1.95,-2.79,10.03,0,0,3,3.56,5.06,2,-3.02,0.517,-1.24,0.69,0.69,0.3,0,44.52,29.57,-6.86,0,28.94,-2300,-18.77,-1.47,564.896,585.6,0.96,03/06/15,03/08/13,02/28/13,166,9800,1
22,2014,36929.353,38599.142,60.53,-8.6,-5.59,-6.93,12.28,63.91,0,0,0.62,3.76,4,-2.59,0.856,14.46,0.67,0.67,0.21,0,61.14,36.75,-4.18,0,26.15,18.75,-30.19,-16.14,597.613,610.1,1.39,03/07/16,03/05/14,02/27/14,160,13300,1
22,2015,36726.37,37928.534,56.45,-8.75,-4.88,-6.56,15.51,78.23,0,0,2.57,3.58,5,-2.76,0.566,-6.99,0.8,0.8,0.23,0,66.22,49.13,-6.64,0,26.38,-7.69,233.78,-9.38,624.148,650.6,1.23,03/06/17,03/06/15,02/25/15,202,16000,1
22,2016,45661.454,44984.643,68.06,-7.5,-3.02,-4.71,18.71,85.15,16.42,3.55,6.37,4.03,6,-2.9,0.406,-1.81,1.02,1.02,0.49,1.59,82.14,57.28,-3.12,0,17.05,83.33,102.63,21.89,661.647,670.9,1.38,03/09/18,03/07/16,02/25/16,210,19000,1
22,2017,55963.25,56546.421,79.1,-11.13,-5.78,-7.74,25.05,99.06,15.05,0,11.44,3.73,5,-2.57,0.633,4.81,0.82,0.82,0.3,2.45,83.77,54.05,-5.46,0,19.61,757.14,28.47,51.64,688,707.5,1.63,03/08/19,03/06/17,02/28/17,767,25000,1
22,2018,83137.555,80336.555,113.91,-9.71,-2.77,-5.68,33.51,112.66,13.93,5.49,18.52,4.87,6,-2.8,0.431,-1.67,0.95,0.95,0.45,5.22,113.91,78.58,-3.16,0,18.97,6.52,30.95,69.96,715,729.853,1.58,03/05/20,03/09/18,02/28/18,498,29000,1
22,2019,117016.9,115847.9,151.97,-14.01,-5.78,-9.22,44.33,137.84,30.75,1.91,25.31,5.24,6,-2.58,0.657,9.83,0.95,0.95,0.39,3.47,160.43,104.03,-5.5,0,19.51,191.84,16.21,62.71,751,770,1.05,03/17/21,03/08/19,03/04/19,548,35000,1
22,2020,162802.83,160723.83,182.31,-14.89,-5.91,-9.7,62.11,166.67,22.5,0,79.11,5.02,5,-2.53,1.035,-2.22,1.08,1.08,0.54,N/A,185.67,139.72,-15.97,0,17.37,-89.51,56.16,38.35,829,893,0.98,03/11/22,03/05/20,02/25/20,495,49000,1
22,2021,207289.64,201604.64,225.56,-13.97,-3.18,-7.62,75.16,188.84,87.68,26.93,98,5.66,6,-2.47,0.65,4.89,1.23,1.23,0.67,N/A,281.25,124.3,-2.91,0,13.61,2820,16.13,30.61,908,919,1.13,03/08/23,03/17/21,02/25/21,464,56606,1
22,2022,230071.07,233519.07,232.63,-26.84,-14.39,-19.45,94.09,225.36,37.65,2.93,89.6,4.18,4,-2.47,0.929,10.48,1.05,1.05,0.48,N/A,309.96,205.33,-7.62,0,19.02,-66.21,11.27,27.9,955,989,1.07,03/08/23,03/11/22,03/01/22,450,73541,1
22,2023,164778.57,166358.57,167.97,-28.52,-14.37,-20.3,107.62,255.92,40.9,8.03,107.2,2.89,5,-2.67,0.63,-4.97,1.02,1.02,0.48,N/A,232.12,128.27,0.81,2.43,15.61,-85.81,43.35,21.19,992,981,1.28,03/08/23,03/08/23,03/01/23,433,79390,1
