enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
24,1994,28378.469,33900.469,21.78,-14.37,-9.25,-11.49,0,0,0,31.25,0,2.63,N/A,0,0,-1.64,0.82,0.65,0.19,29.68,24.59,16.94,3.91,0.01,-2.82,-16.02,-7.55,0,1301.916,1302.96,0.62,03/30/95,03/30/95,,0,0,1
24,1995,29081.085,35917.085,22.31,-14.2,-9.37,-13.54,0,0,0,18.1,0,2.75,N/A,-2.5,0.617,5.86,0.81,0.63,0.14,9.1,23.59,20.25,-0.04,0.02,-2.26,34.02,7.29,0,1303.344,1303.5,1.07,03/27/96,03/30/95,,0,0,1
24,1996,34168.784,41101.784,26.19,-14.24,-9.28,-13.63,0,0,0,13.3,0,2.83,5,-2.97,0.619,-0.99,0.83,0.66,0.15,N/A,26.69,21.69,-0.09,0.01,3.36,-45,-0.21,0,1304.168,1304.65,0.98,03/27/96,03/27/96,,0,43019,1
24,1997,42450.525,47507.525,32.5,-13.47,-8.64,-12.92,0,0,0,23.17,0,3.64,7,-2.69,0.602,-1.69,0.89,0.73,0.18,N/A,34.06,25.88,-0.12,0.01,18.25,179.02,31.25,0,1305.539,1306.17,0.85,03/26/97,03/26/97,,0,43019,1
24,1998,50506.61,54904.61,38.5,-12.45,-8.38,-11.92,0,0,0,27.23,0.91,4.08,6,-2.81,0.627,3.48,1.01,0.81,0.24,N/A,44.34,31.13,-0.44,-0.34,-5.15,24.06,10.01,0,1309.982,1311.86,0.39,03/25/98,03/25/98,,0,43019,1
24,1999,54161.894,60306.894,41.47,-13.85,-10.11,-13.3,14.91,0,7.18,17.3,-8.46,3.32,6,-3.05,0.653,4.01,0.88,0.68,0.2,N/A,44.47,36.13,0.44,0.48,-27,-58.79,-43.69,7.04,1306.341,1306.05,0.49,03/30/00,03/31/99,,0,43019,1
24,2000,56852.604,74125.604,43.31,-32.47,-21.97,-26.22,22.62,0,0,24.63,-15.77,2.66,6,-0.79,1.28,1.44,0.96,0.78,0.17,N/A,51.78,36.84,-0.51,-0.19,179.17,53.92,292.46,2.15,1313,1312.69,0.5,03/30/00,03/30/00,,0,53621,1
24,2001,54131.106,67851.106,42.22,-31.99,-20.78,-24.89,37.09,0,98.11,45.36,-2.99,3.49,7,-2.44,0.621,-0.13,1.08,0.92,0.19,N/A,47.13,35.53,2.33,2.77,40.19,153.82,52.56,24.62,1305.282,1282.12,0.76,03/28/01,03/28/01,,0,54933,1
24,2002,95644.256,110195.256,44.81,-18.96,-11.85,-15.36,24.55,0,70.03,27.39,-1.87,3.61,5,-3.27,0.625,1.77,0.89,0.74,0.15,N/A,49.02,39.39,-66.48,0.65,-45.1,-61.23,-44.73,39.28,2117.419,2134.44,0.59,03/27/02,03/27/02,,0,55763,1
24,2003,71009.615,83800.615,33.24,-19.65,-13.1,-15.71,23.92,0,40.8,23.29,64.88,2.91,5,-2.62,0.572,-4.87,0.89,0.76,0.19,N/A,45.8,32.95,-0.09,-0.06,-7.76,-65.7,-21.49,35.47,2135.849,2136.27,0.62,03/09/04,03/17/03,,0,53014,1
24,2004,93016.05,100614.05,43.5,-18.66,-12.04,-14.63,34.87,51.54,69.5,35.23,123.65,3.95,9,-2.74,0.567,-1.24,1.21,1.04,0.33,N/A,43.5,30.93,-0.1,0.02,26.53,556.6,36.85,21.47,2077.586,2138.3,0.54,03/03/05,03/09/04,,0,61533,1
