enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
30,1994,17517.302,18260.802,8.67,-0.88,0.04,-0.56,0,0,4.33,2.56,1.75,8.73,4,-3.05,0.905,10.85,2.02,0.69,0.1,N/A,11.12,7.89,-1.3,-0.44,24.13,21.05,23.77,20.51,1988.696,2020.45,1,04/22/94,04/22/94,,0,50700,1
30,1995,21179.392,22235.192,10.39,-1.15,-0.1,-0.72,-0.36,6.62,2.72,3.23,-0.13,8.94,6,-2.3,0.957,14.27,1.76,0.32,0,N/A,10.61,8.3,-0.89,-0.37,28.84,26.09,33.67,9.68,2084.483,2038.44,0.85,04/20/95,04/20/95,,0,67000,1
30,1996,20494.473,21240.173,10.22,-1.15,0.15,-0.61,-0.41,10.23,8.6,4.29,0.32,8.71,6,-2.35,0.992,16.26,1.89,0.35,0.04,N/A,11.06,8.17,1.62,-0.33,20.13,17.24,18.1,27.26,2090,2005.33,0.89,04/08/96,04/08/96,,0,80000,1
30,1997,22524.59,23725.49,11,-1.58,0.16,-0.92,-0.07,13.47,10.83,5.22,0.62,7.49,7,-2.56,0.973,14.4,2.01,0.54,0.08,N/A,13.11,9.61,-2.11,-0.46,24.53,26.47,27.33,27.6,2181.395,2047.69,0.56,04/23/98,04/22/97,,0,78000,1
30,1998,41643.184,42898.184,20.17,-1.92,0.16,-1.05,0.07,16.86,12.78,6.38,1.26,9.7,4,-2.01,0.894,9.81,1.82,0.35,0.07,N/A,20.25,11.11,-0.83,-0.29,20.93,20.93,26.92,23.94,2188.679,2064.61,0.71,04/19/99,04/23/98,,0,124400,1
30,1999,84268.325,85795.325,40.33,-2.23,0.1,-1.04,0.28,23.27,17.55,8,1.93,14.41,7,-2.6,0.914,14.62,1.73,0.22,0.02,N/A,41.04,20.61,-1.2,-0.2,22.75,36.54,30.5,25.4,2210.959,2089.47,0.73,04/21/00,04/19/99,,0,157000,1
30,2000,130493.642,131112.642,56.63,-1.98,0.72,-0.6,1.63,31.07,25,10.84,3.82,20.38,8,-2.24,0.962,14.61,1.75,0.25,0.05,N/A,68.75,36.17,-10.28,-0.2,23.46,40.85,36.18,27.7,2244,2304.32,1.07,04/21/00,04/21/00,,0,201000,1
30,2001,112004.75,113387.75,48.2,-2.67,0.6,-0.99,2.27,40.33,27.75,12.51,4.67,14.19,5,-2.22,0.959,15.5,1.77,0.28,0.04,N/A,68.06,35.13,-0.84,-0.31,18.49,10,12.05,28.42,2315,2323.75,1.08,04/23/01,04/23/01,,0,227000,1
30,2002,117505.63,116214.63,50.09,-2.46,0.87,-0.73,6.39,49.23,32.16,14.78,7.9,11.99,5,-2.94,0.785,2.07,1.59,0.56,0.39,N/A,53.45,32.8,-0.95,-0.38,17.04,17.27,18.85,24.93,2335,2345.89,1.4,04/19/02,04/19/02,,0,256000,1
30,2003,47923.7,46991.7,20.9,-3.47,0.74,-1.3,9.47,49.31,34.65,17.16,10.6,6.3,6,-2.46,0.715,4.87,1.48,0.45,0.28,N/A,52.6,20.53,2.25,3.49,9.18,20.93,18.63,22.21,2336,2293,1.23,04/12/04,04/21/03,,0,280000,1
