enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
37,1994,693.192,673.492,3,-0.17,0.26,-0.16,0,0,0,0,0,4.91,N/A,0,2.251,-76.57,2.36,2.31,0.39,No Debt,4.05,2.27,-71.67,-0.22,13.61,-1591.67,-686.67,0,196.983,231.064,0,,,,0,1228,1
37,1995,1894.321,1828.721,7.19,-0.13,0.59,-0.11,0,0,0,0,0,11.62,5,-2.75,0.881,-1.3,2.64,2.58,0.71,N/A,7.29,2.92,-14.02,-4.59,63.65,79.33,129.12,0,245.405,263.466,0,,,,0,2732,1
37,1996,1603.938,1564.938,5.83,-0.27,0.59,-0.26,0,0,0,0,0,9.09,5,-3.4,0.677,4.95,2.53,2.49,0.4,N/A,14.5,5.58,-4.42,-0.8,23.33,58.38,12.68,0,270.894,275.118,1.77,10/24/96,10/24/96,,0,3184,1
37,1997,1184.123,1173.723,4.2,-0.72,0.73,-0.71,0,0,0,0,-1.64,3.9,6,-2.2,0.968,15.85,2.15,2.13,0.22,N/A,6.75,3.58,-2.48,-0.79,8.05,418.18,7.36,0,278.776,281.934,1.17,10/06/98,10/15/97,,0,3000,1
37,1998,2953.528,2851.028,8.29,-0.76,1.6,-0.76,0.74,0,0,2.01,-2.64,4.99,5,-2.22,1.485,26.2,2.62,2.61,0.37,N/A,11.08,3.98,-26.37,-16.97,-15.83,-91.84,-13.31,0,314.294,356.276,1.45,10/12/99,10/06/98,,0,2860,1
37,1999,5118.437,3748.737,13.64,1.36,2.12,1.36,-0.22,0,0,2.29,-2.07,4.98,5,-2.96,0.128,4.94,1.96,1.95,1.63,N/A,18.38,5.7,-5.33,-2.47,17.31,4725,87.44,0,381.854,375.252,1.81,10/13/00,10/12/99,,0,100698,1
37,2000,6946.2,5256.505,17,2.17,3.23,2.17,0.44,0,6.37,4.95,-0.48,6.93,5,-2.48,0.153,17.45,2.64,2.64,2.1,N/A,42.56,11.5,-8.89,0,22.07,-24.87,110.92,23.85,401.54,408.6,2.09,10/13/00,10/13/00,,0,4850,1
37,2001,7237.884,5989.793,17.19,1.42,3.2,1.47,1.35,0,2.63,7.31,-1.28,7.31,4,-2.81,0.317,-1.14,2.97,2.97,1.89,N/A,34.5,11.72,-3.05,-1.22,17.69,-127.59,50.82,40.61,413.965,421.052,2.35,09/25/02,10/05/01,,0,6100,1
37,2002,9286.993,8056.999,21.99,1.27,2.96,1.36,3.34,0,14.08,6.85,-1.04,9.12,6,-1.7,0.344,-13.6,2.81,2.81,1.79,N/A,25.05,14.54,-0.3,1.99,-1.67,260,-48.36,52.21,424.727,422.328,1.8,09/19/03,09/25/02,,0,6500,1
37,2003,8601.72,7423.319,21.51,0.96,2.11,1.12,5.08,21.24,16.55,6.79,1.14,8.04,7,-2.29,0.269,-2.62,2.1,2.1,1.52,N/A,27.39,17.4,5.31,7.66,25.87,153.13,67.82,37.21,408.374,399.894,1.33,09/24/04,09/19/03,,0,6700,1
37,2004,7117.007,6115.438,18.72,0.29,1.63,0.45,8.44,26.16,21.18,7.83,5.76,6.69,7,-2.97,0.294,-1.88,1.71,1.71,1.14,N/A,26.57,17.93,4.93,6.9,19.44,-2.47,24.84,25.33,390.91,380.182,0.5,09/26/05,09/24/04,,0,6700,1
37,2005,8604.96,7628.25,24,-0.07,1.66,0.11,13.1,30.78,13.03,8.42,6.46,7.41,7,-2.49,0.263,-8.25,1.61,1.61,0.99,N/A,24.5,18.51,5.69,6.32,17.45,27.85,28.26,12.74,369.202,358.54,0.84,09/15/06,09/26/05,,0,7000,1
37,2006,10624.559,9443.326,30.87,0.48,2.28,0.69,20.92,35.91,17.45,9.03,9.02,11.55,9,-2.62,0.205,-5.57,1.79,1.79,1.18,N/A,31.35,21.35,4.01,4.75,20.25,14.85,7.93,16.22,347.854,344.171,0.94,09/14/07,09/15/06,,0,7500,1
