enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
40,1994,57918.28,60020.28,11.16,-1.24,-0.58,-1.14,2.81,0,0,2.58,3.31,7.74,7,-2.56,0.605,4.6,0.86,0.65,0.19,N/A,11.25,9.5,0.71,0.92,9.32,33.87,14.58,0,5180.952,5189.81,1.13,03/14/94,03/14/94,,0,34000,1
40,1995,65736.042,67859.042,12.88,-1.42,-0.67,-1.32,3.88,8.95,8.08,3.07,4.02,7.65,7,-2.54,0.612,2.94,0.84,0.67,0.22,N/A,13.28,9.84,1.66,1.71,17.47,19.28,20.61,17.16,5160,5103.73,0.44,03/13/95,03/13/95,,0,33000,1
40,1996,92970.752,95867.752,18.56,-1.69,-0.84,-1.58,5.21,11.97,8.65,3.18,4.57,8.98,6,-2.65,0.597,5.88,0.74,0.59,0.16,N/A,20.03,12.28,1.85,1.84,13.72,18.18,13.07,17.07,5050,5009.2,0.57,03/11/97,03/14/96,,0,32000,1
40,1997,130549.957,133629.957,26.31,-1.73,-0.83,-1.63,6.2,14.48,8.27,3.65,5.35,11.12,6,-2.77,0.614,6.68,0.8,0.67,0.19,N/A,27,18.19,0.94,1.07,4.08,17.95,0.11,14.59,4988,4961.99,0.33,03/09/98,03/11/97,,0,26000,1
40,1998,164741.608,166879.608,33.34,-1.59,-0.74,-1.5,7.31,15.56,7.8,4.39,6.63,13.97,7,-2.8,0.582,3.53,0.81,0.68,0.24,N/A,35.94,25.94,0.42,0.67,1.35,18.84,24.2,12.15,4954,4941.26,1.17,03/29/99,03/09/98,,0,29500,1
40,1999,165189.505,168531.505,33.5,-1.81,-0.88,-1.47,7.36,16.55,7.48,4.9,7.26,12.42,5,-2.49,0.696,11.81,0.74,0.64,0.21,N/A,43.97,28.09,0.21,0.76,0.48,-13.41,0.45,11.13,4934,4931.03,1.13,03/09/00,03/29/99,,0,28600,1
40,2000,143993.96,148408.96,29.13,-2.08,-1.14,-1.7,6.73,18.38,3.2,4.05,6.71,9.77,3,-2.66,0.728,9.11,0.66,0.55,0.18,N/A,35.25,23.78,-0.25,-0.11,2.87,-30.99,-14.59,6.69,4938,4943.15,1.22,03/07/01,03/09/00,,0,37400,1
40,2001,151421.274,155180.274,30.47,-1.94,-0.99,-1.56,6.54,22.57,0,3.78,6.1,10.65,7,-2.79,0.605,-1.17,0.71,0.6,0.2,N/A,33.44,21.69,-0.53,-0.13,3.15,-10.2,-6.56,-1.1,4954,4969.52,0.49,03/11/02,03/07/01,,0,36900,1
40,2002,117250.371,120434.371,23.58,-1.83,-0.78,-1.44,7.28,22.76,0,5.58,6.56,9.43,6,-2.42,0.698,4.67,0.85,0.73,0.23,N/A,30.41,21.43,-0.06,0.1,-11.8,81.82,37.9,0.11,4974,4972.45,0.13,03/26/03,03/11/02,,0,38000,1
40,2003,108327.763,111338.763,21.92,-2.08,-1.06,-1.63,7.72,25.51,0,5.69,6.87,8.13,5,-2.61,0.661,-2.57,1,0.83,0.32,N/A,28.9,21.74,0.61,0.54,11.71,-23.13,1.94,2.3,4956,4941.96,0.09,02/27/04,03/26/03,,0,56000,1
40,2004,123932.063,125873.063,25.38,-2,-0.99,-1.55,8.63,27.68,6.17,6.49,7.51,8.43,7,-2.69,0.657,-0.63,1.06,0.91,0.44,N/A,25.38,18.54,1.19,1.08,8.48,43.9,-2.22,6.8,4918,4883.06,0.46,02/27/04,02/27/04,,0,49000,1
40,2005,100324.918,100734.918,20.82,-1.81,-0.67,-1.32,10.69,29.04,10.72,7.55,9.4,6.57,7,-2.74,0.598,-1.97,1.1,0.98,0.61,N/A,26.5,19.33,1.32,1.54,4.73,12.99,10.06,10.61,4852,4818.68,0.51,02/28/06,03/04/05,,0,50000,1
40,2006,95518.08,96451.08,20.16,-1.75,-0.61,-1.25,13.75,31.26,6.27,7.83,11.39,7.42,5,-2.76,0.55,-0.19,1.04,0.9,0.48,N/A,22.63,20.16,1.67,1.91,7.84,2,8.03,6.05,4784,4738,0.97,02/21/07,02/28/06,,0,55000,1
40,2007,111866.68,113858.68,24.13,-2.25,-0.99,-1.66,13.36,31.05,0,7.74,11.87,8.22,7,-2.49,0.643,2.75,0.95,0.76,0.29,N/A,24.5,20.05,2.15,2.03,6.17,5.88,5.18,4.53,4696,4636,0.59,02/21/07,02/21/07,,0,71000,1
40,2008,142278.84,147299.84,30.69,-3.71,-2.03,-2.94,16.67,36.01,9.64,7.62,11.92,6.37,5,-2.44,0.893,12.83,0.92,0.75,0.33,15.9,32.05,22.95,0,0.15,20.78,18.98,32.04,7.66,4626,4636,0.62,02/26/09,02/28/08,,305630,90500,1
40,2009,104807.805,109530.805,22.64,-3.25,-1.7,-2.52,18.37,37.12,14.49,6.92,13.4,5.94,7,-2.67,0.582,1.48,0.94,0.77,0.38,19.28,32.78,20.51,0.14,0.47,10.45,-3.11,-3.59,11.68,4630,4629.32,0.6,02/26/10,02/26/09,,274250,92400,1
