enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
42,1994,17377.64,18198.04,14.84,-3.86,-1.16,-3.38,5.59,0,0,4.81,5.64,3.72,6,-3.18,0.621,-1.77,1.26,0.89,0.18,N/A,15.34,10.91,-0.02,0.03,1.26,-34.43,-33.26,0,1200.5,1171,1.19,03/25/94,03/25/94,,0,32200,1
42,1995,19162.613,23475.913,16.41,-7.38,-4.44,-6.96,7.45,15.71,0,4.44,3.39,2.38,6,-1.03,1.005,28.67,0.7,0.53,0.09,N/A,16.41,11.88,0.28,0.32,-9.02,178.25,117.94,-10.45,1156.045,1167.74,1,03/27/95,03/27/95,,0,24900,1
42,1996,30985.476,34487.676,28.13,-7.24,-4.4,-6.86,9.09,19.45,0,5.48,5.62,3.5,6,-2.37,0.616,7.14,0.83,0.66,0.2,N/A,28.25,15.72,5.67,0.33,17.53,81.04,12.95,0.27,1136.923,1101.51,0.86,03/25/96,03/25/96,,0,26800,1
42,1997,40632.638,43548.338,36.75,-6.69,-3.9,-5.11,11.77,22.38,18.46,7.1,8.35,4.63,8,-2.75,0.626,0,0.92,0.71,0.19,N/A,39.63,24.75,-0.38,0.24,9.01,-32.51,7.57,15.49,1093.654,1105.65,1.31,03/24/98,03/24/97,,0,29200,1
42,1998,77325.508,78091.708,69.63,-5.39,-2.35,-4.98,12.14,27.01,20.03,9.21,12.96,7.97,5,-3.91,0.378,-28.58,1.27,1.05,0.46,N/A,69.94,36.25,-0.44,-0.02,12.77,-125.74,12.56,31.22,1101.099,1110.52,1.17,03/26/99,03/24/98,,0,31100,1
42,1999,97448.921,98320.121,88.88,-6.08,-2.52,-5.63,17.72,34.16,46.58,10.53,17.76,9.14,8,-2.55,0.421,-1.89,1.17,0.96,0.32,N/A,90.88,58.25,1.27,1.8,16.69,634.29,13.46,34.19,1096.911,1096.41,0.8,03/30/00,03/26/99,,0,29800,1
42,2000,72500.96,71718.36,66.5,-3.65,-0.69,-1.97,22.35,42.64,33.39,15.09,22.51,8.02,6,-2.77,0.336,-7.68,1.79,1.56,0.97,N/A,97.44,61.5,0.56,1.58,9.7,31.55,16.22,14.75,1088.36,1090.24,0.58,03/28/01,03/30/00,,0,15800,1
42,2001,104838.604,103038.404,93.06,-3.57,-0.62,-1.87,31.58,51.12,30.74,17.17,26.98,9.72,8,-2.7,0.331,2.61,1.6,1.42,0.93,N/A,108.53,54.5,-3.33,0.83,9.59,13.41,6.02,12.62,1080.495,1126.57,-0.02,03/28/02,03/28/01,,0,35700,1
42,2002,88227.909,87915.309,78.54,-4.98,-2.13,-3.57,35.52,69.32,31.52,19.25,28.74,7.85,4,-2.51,0.462,18.76,1.33,1.13,0.72,N/A,91.5,72.59,0.29,0.49,6.83,-8.6,5.27,12.09,1077.519,1123.35,-0.12,03/28/02,03/28/02,,0,41100,1
42,2003,71274.94,72523.84,63.5,-6.34,-2.64,-4.56,31.15,70.17,17.45,19.73,26.89,5.95,4,-2.13,0.579,16.34,1.54,1.25,0.72,N/A,80.69,48.15,0.08,0.45,-3.41,-1.96,-8.1,7.43,1078.845,1122.44,0.3,03/20/03,03/20/03,,0,56200,1
42,2004,79031.931,80202.931,70.33,-7.31,-2.81,-5.19,30.59,79.96,0,22.11,26.39,5.84,5,-2.55,0.574,1.13,1.58,1.22,0.67,N/A,73.89,53.7,-0.11,0.23,13.87,-5.2,6.29,3.32,1075.966,1123.73,0.69,03/08/05,03/15/04,,0,46100,1
42,2005,64237.595,63285.695,56.75,-5.73,-0.98,-3.35,27.34,87.29,0,21.02,24.97,4.51,5,-2.61,0.46,-1.51,1.69,1.39,0.98,N/A,76.26,50.44,-0.73,-0.16,9.14,-29.96,4.11,1.05,1083.892,1131.94,0.92,03/08/05,03/08/05,,0,44500,1
42,2006,63954.623,65415.123,56.59,-7.74,-2.65,-5.38,24.36,92.06,0,22.64,24.24,4.56,3,-2.11,0.493,9.28,1.89,1.56,0.88,N/A,60.44,49.76,0.16,0.43,5.37,9.04,2.49,1.01,1087.692,1130.14,1,03/01/06,03/01/06,,0,42600,1
