enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
43,2000,0,0,0,-0.86,-0.86,-0.86,0,0,0,0,0,0,N/A,0,0.39,0,0,0,0,N/A,0,0,-,0,0,0,0,0,711.265,711.265,0,03/07/03,03/07/03,,0,0,1
43,2001,0,0,0,-1.01,-1.01,-1.01,0,0,0,1.55,0,0,N/A,0,0.626,0,0,0,0,N/A,0,0,-0.67,0,31.79,385.29,857.69,0,716.055,716.055,0,03/02/05,03/02/05,,0,0,1
43,2002,0,0,0,-0.98,0.33,-0.79,0,0,0,1.8,0,0,N/A,0,0.438,11.08,1.72,1.72,0.27,23.22,0,0,-0.15,0,11.29,20,75.1,0,717.1,717.1,0,03/04/04,03/04/04,,0,0,1
43,2003,0,0,0,-0.42,0.25,-0.25,0,0,0,1.42,0,1.07,N/A,0,0.156,-3.43,1.57,1.57,0.94,14.36,0,0,-20.21,0,-2.31,-31.82,-31.19,0,862.04,862.04,0,03/04/04,03/07/03,,0,4000,1
43,2004,0,0,0,-1.29,-0.59,-1.1,0,0,0,0,0,0.07,3,-3.07,0.01,-14.29,1.35,1.35,0.77,0,0,0,-16,0,1.64,-385.93,-243,0,1000,1000,0,03/04/04,03/04/04,,0,4000,1
43,2005,0,0,0,-1.15,-0.39,-0.93,0,0,0,1.57,0,0.96,5,-1.85,0.025,5.17,1.46,1.46,0.87,N/A,0,0,-0.03,0,16.23,161.66,209.56,0,1000.252,1000.252,0,03/02/05,03/02/05,,0,4000,1
43,2006,0,0,0,-0.93,-0.22,-0.73,0,0,0,1.61,0,1.07,4,-2,0.037,0.74,1.43,1.43,0.82,N/A,0,0,-34.94,0,-16.04,-16.81,-20.64,0,1349.69,1349.71,0,02/28/07,03/16/06,,0,4300,1
43,2007,13294.644,11045.011,9.85,-0.17,0.64,0.08,0,0,0,2.62,3.27,3.92,5,-1.72,0.031,1.5,1.97,1.97,1.37,N/A,10.55,4.39,0,-4.89,12.54,-81.31,-34.85,0,1354.11,1349.71,0,02/28/07,02/28/07,,0,4600,1
43,2008,28249.734,25514.196,21.52,-0.2,1.04,0.1,3.21,0,0,4.96,5.17,7.22,5,-2.09,0.057,0.01,1.94,1.94,1.26,N/A,22.32,9.64,2.74,2.12,22.37,2062.16,265.84,0,1348.87,1312.72,0,02/21/08,02/21/08,,2605,5000,1
43,2009,18486.259,16412.391,14.29,-1.78,-0.18,-1.11,3.2,0,0,4.63,8.55,3.22,4,-1.07,-0.023,-13.42,1.44,1.44,0.75,18.81,32,12.11,1.45,3.51,27.92,-124.25,-114.51,0,1301.48,1293.65,2.03,02/18/10,02/19/09,,2658,5500,1
43,2010,33221.376,30372.376,25.6,-0.84,0.8,-0.26,5.62,0,0,7.32,11.61,7.26,4,-2.64,0.101,10.03,1.58,1.58,0.91,19.71,25.84,11.92,-0.31,0.01,2.27,675.26,1575.19,0,1300,1297.71,1.07,02/24/11,02/18/10,,719,5100,1
43,2011,29334.466,25147.466,22.41,0.43,2.16,1.09,9.38,0,0,9.82,14.78,7.45,5,-2.06,0.136,8.94,2.05,2.05,1.34,52.98,26.72,19.2,-0.87,0,7.8,25.9,18.6,0,1310,1308.99,0.97,02/14/13,02/24/11,02/03/11,581,5600,1
43,2012,47294.899,42354.899,37.28,0.1,2.3,0.58,15.03,0,0,11.83,15.83,8.39,7,-2.29,0.105,-0.28,1.84,1.84,1.17,138.8,38.1,22.09,3.08,2.43,23.68,5.34,2.39,0,1279,1268.64,0.51,02/14/14,02/16/12,02/02/12,530,6700,1
43,2013,60549.777,55558.777,49.13,-0.44,3.09,0.12,19.41,0,0,14.44,19.08,9.46,8,-2.35,0.18,21.26,1.91,1.91,1.02,199.2,49.85,33.91,2.85,2.89,12.35,47.97,43.88,0,1253,1232.44,0.83,02/13/15,02/14/13,01/31/13,492,7500,1
43,2014,133875.507,127591.507,83.55,-0.29,2.62,0.16,25.42,0,0,14.44,23.73,14.94,5,-2.71,0.096,-7.13,1.82,1.82,1.04,328.57,83.55,50.97,-30.01,1.82,16.44,16.89,18.14,0,1211,1602.34,0.66,02/12/16,02/14/14,01/31/14,468,8200,1
43,2015,99304.57,94457.57,86.16,-1.88,2.13,-1.16,34.13,0,61.46,16.51,26.47,10.3,4,-2.31,0.136,-3.13,1.77,1.77,1.02,105.75,89.08,68.68,28.07,3.41,18.05,21.09,18.64,20.13,1165,1152.56,1.25,02/15/17,02/13/15,01/30/15,449,10300,1
43,2016,108653.76,105217.76,97.36,-3.12,0.68,-2.4,41.46,61.03,64.28,15.18,29.46,9.76,5,-2.56,0.169,2.6,1.75,1.75,1.07,82.9,101.5,80.74,3.17,3.24,5.27,8.06,1.63,19.04,1134,1116,1.27,02/14/18,02/12/16,01/29/16,421,11300,1
43,2017,111613.25,108486.25,103.25,-4.33,0.19,-3.35,49.4,77.12,65.2,15.79,40.65,8.59,8,-2.51,0.156,3.13,1.84,1.84,1.16,62.23,107.02,80.65,3.14,3.15,15.11,10.15,17.25,17.34,1098,1081,1.18,02/13/19,02/15/17,01/31/17,405,11900,1
43,2018,159533.44,157275.44,151.36,-7.67,-1.96,-6.26,56.95,105.83,58.66,11.33,43.61,9.44,6,-2.47,0.172,0.15,1.57,1.57,0.89,43.79,154.19,105,2.5,2.36,19.12,-1.08,19.48,12.78,1067,1054,1.14,02/14/20,02/14/18,01/31/18,380,13400,1
43,2019,194498.15,192548.15,188.65,-10.75,-3.19,-9.1,65.32,149.29,90.08,14.58,51.22,9.36,8,-2.02,0.162,0.57,1.39,1.39,0.72,45.02,223.77,151.91,2.18,2.54,22.48,53.42,12.99,13.88,1041,1031,1.05,02/12/21,02/13/19,01/31/19,360,14800,1
43,2020,300802.552,301751.552,298.59,-15.55,-6.39,-13.68,76.38,180.29,131.87,8.89,58.41,11.3,7,-2.26,0.275,5.39,1.42,1.42,0.64,43.29,300.74,181.18,2.29,2.16,15.69,41.79,36.73,16.95,1017,1007.41,0.94,02/11/22,02/14/20,01/29/20,339,18600,1
43,2021,355317.708,357519.708,356.94,-16.67,-8.12,-14.68,84.8,172.78,107.45,0,63.9,11.01,5,-2.76,0.294,3.17,1.61,1.61,0.89,21.48,366.12,203.3,1.19,1.26,-7.93,-19.77,-15.44,16.71,1002,995.455,1.21,02/11/22,02/12/21,01/28/21,330,21000,1
43,2022,352133.6,358240.6,359.32,-22.92,-13.68,-20.62,99.6,226.38,114.7,0,70.57,10.24,8,-2.72,0.4,11.94,1.29,1.29,0.6,23.73,395.65,306.28,1.55,1.68,25.15,37.52,33.32,13.66,988,980,1.21,02/14/23,02/11/22,01/27/22,71,24000,1
43,2023,332429.88,339123.88,347.73,-26.17,-16.55,-23.48,115.66,322.32,143.77,0,87.5,9.79,8,-2.41,0.345,0.53,1.17,1.17,0.52,27.01,396.75,283.38,2.45,2.63,20.3,16.67,15.44,13.47,968,956,1.15,02/14/23,02/14/23,01/26/23,304,29900,1
