enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
44,1994,20160.9,24699.5,14.25,-3.94,-4.08,-4.4,3.9,0,0,7.48,3.31,4.15,6,-2.36,0.868,5.16,0.6,0.56,0.17,N/A,14.72,11.53,2.7,3.08,5,10.94,7.02,0,1418.63,1414.8,0.89,03/29/94,03/29/94,,0,169000,1
44,1995,20297.662,25197.062,14.63,-4.7,-4.79,-5.17,5.09,11.65,5.1,8.75,3.35,3.75,8,-2.55,0.923,5.92,0.3,0.28,0.07,N/A,15.69,13,1.94,2.44,16.89,18.31,16.46,6.26,1401.429,1387.4,1.06,03/29/95,03/29/95,,0,183000,1
44,1996,31570.464,37094.364,22.56,-5.16,-4.97,-5.39,6.4,15.71,11.24,10.47,3.43,4.68,7,-2.66,0.958,8.04,0.53,0.5,0.19,N/A,23.75,14.38,-0.86,1,17.08,17.26,14.39,11.36,1407.919,1399.4,1.33,03/28/96,03/28/96,,0,212000,1
44,1997,31520.948,37072.448,22.69,-6,-5.7,-6.23,7.28,17.84,12.31,11.52,3.05,4.05,4,-2.78,0.903,9.67,0.52,0.48,0.15,N/A,27.06,21.38,0.73,1.9,7.47,9.64,2.37,11.3,1389,1389.2,0.97,03/30/98,03/28/97,,0,237000,1
44,1998,32749.032,38871.132,23.88,-6.6,-6.01,-6.57,8.12,20.47,11.04,12.71,2.75,4,5,-2.72,0.861,7.77,0.38,0.36,0.11,N/A,27.34,21.63,1.28,3.4,8.61,6.48,6.57,9.84,1371,1371.4,0.79,03/31/99,03/30/98,,0,267000,1
44,1999,52091.642,58835.842,38.41,-7.39,-6.64,-7.02,8.36,23.54,11.31,13.98,2.71,4.95,5,-2.2,0.889,3.7,0.52,0.49,0.12,N/A,39.16,22.75,1.11,2.09,8.91,-4.35,11.97,9.1,1365.3,1356.2,1.01,03/28/00,03/31/99,,0,284000,1
44,2000,54450.748,61283.548,40.31,-8.09,-7.23,-7.66,9.21,27.22,10.43,13.77,2.36,4.91,6,-2.5,0.833,5.72,0.48,0.45,0.13,N/A,48.38,37.66,0.4,1.64,6.87,26.36,6.91,7.63,1355.3,1350.8,0.79,03/28/00,03/28/00,,0,314000,1
44,2001,44366.6,52418.8,34,-9.24,-8.29,-8.74,9.19,31.72,9.87,13.54,2.29,4.3,6,-2.55,0.822,6.63,0.7,0.66,0.18,N/A,42.75,26.81,3.4,4.56,11.19,5.04,2.86,7.16,1323.2,1304.9,0.79,03/23/01,03/23/01,,0,364000,1
44,2002,33900.129,42400.029,26.47,-9.86,-8.77,-9.3,9.57,34.32,8.06,13.97,2.37,3.69,6,-2.52,0.83,4.51,0.81,0.76,0.19,N/A,34.69,25,1.85,3.15,8.16,-14.38,-5.4,5.79,1292.1,1280.7,0.34,03/12/03,03/25/02,,0,395000,1
44,2003,20392.656,30041.656,16.08,-10.53,-9.44,-9.98,9.87,36.27,0,13.67,0.66,2.85,4,-2.72,0.884,1.96,0.71,0.66,0.14,N/A,30.65,15.48,0.98,3.29,5.86,-44,-14.57,1.66,1273.1,1268.2,0.75,03/12/03,03/12/03,,0,413000,1
