enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
46,1994,38884.524,42056.324,15.505,-3.62,-1.66,-3.29,8.17,0,14.7,5.83,9.45,4.35,3,-1.46,1.19,8.56,0.97,0.69,0.14,N/A,19.79,12.968,-9.54,0.74,-11.85,-11.43,-8.52,13.27,2304.468,2507.87,1.06,03/07/94,03/07/94,,0,21600,1
46,1995,42917.194,43814.594,17.197,-3.65,-1.52,-3.32,10.71,23.08,10.05,6.28,9.26,4.84,5,-2.43,0.604,-5.08,1.27,0.97,0.29,N/A,17.76,12.799,0.49,1.32,30.13,26.34,12.08,9.02,2514.4,2495.65,1,03/03/95,03/03/95,,0,47500,1
46,1996,72751.115,74985.915,29.601,-4.17,-1.42,-3.79,13.33,26.73,15.1,7.22,10.38,6.71,5,-2.61,0.639,7.19,1.51,1.19,0.32,N/A,30.165,16.464,1.52,0.39,12.02,12.34,0.19,12.91,2472.2,2457.7,1.26,03/03/97,02/28/96,,0,45200,1
46,1997,86671.285,89391.085,35.916,-4.55,-1.9,-4.1,17.77,33.4,16.37,8.04,12.79,7.76,8,-2.76,0.616,1.78,1.6,1.16,0.28,N/A,38.001,25.71,1.81,2.37,21.31,18.18,14.62,12.29,2425.813,2413.2,1.34,03/19/98,03/03/97,,0,49100,1
46,1998,114140.871,116430.871,47.812,-5.03,-2.06,-4.58,21.77,40.63,23.42,9.64,14.24,8.53,6,-2.79,0.613,-0.39,1.47,1.09,0.2,N/A,48.404,36.028,1.07,2.77,20.2,19.87,14.31,13.67,2403.177,2387.3,1.52,02/25/99,03/19/98,,0,53800,1
46,1999,157041.683,161985.483,66.53,-6.97,-3.74,-5.34,24.01,48.73,18.47,8.27,15.04,8.87,7,-2.61,0.69,-0.22,1.69,1.25,0.43,N/A,71.661,47.417,1.12,2,15.02,14.97,11.49,11.63,2374.751,2360.45,1.08,03/02/00,02/25/99,,0,57300,1
46,2000,141167.635,147428.635,60.611,-8.24,-4.78,-6.31,26.09,64.13,28.4,10.74,15.84,7.2,6,-2.58,0.612,7.23,1.29,0.96,0.37,N/A,77.919,54.973,1.33,2.31,23.47,13.95,24.37,13.74,2349,2329.08,0.92,03/13/01,03/02/00,,0,62300,1
46,2001,194898.742,202585.142,84.46,-9.02,-5.08,-6.74,28.87,82.57,44.12,13.72,18.53,8.72,7,-2.47,0.632,6.95,1.38,1.06,0.44,N/A,85.588,48.658,0.92,0.72,26.07,18.37,20.58,17.12,2306.9,2307.6,0.27,03/13/01,03/13/01,,0,69300,1
46,2002,122358.556,132774.756,53.838,-10.86,-6.6,-8.35,25.64,41.04,48.46,15.84,14.44,5.44,5,-2.55,0.663,6.44,1.12,0.81,0.28,N/A,85.926,52.269,1.51,2.93,-46.78,8.28,-1.28,16.35,2288.3,2272.73,-0.02,03/10/03,03/29/02,,0,78100,1
46,2003,114971.263,123477.163,51.213,-10.86,-6.67,-8.39,28.27,71.46,37.16,17.99,18.53,5.37,7,-2.06,0.607,3.43,1.16,0.92,0.4,N/A,58.186,36.535,1.22,1.54,3.18,0,1.09,12.26,2257.5,2244.98,0.35,02/26/04,03/10/03,,0,62000,1
46,2004,97874.971,104413.171,44.053,-9.38,-6.07,-7.45,29.03,45.79,20.15,19.9,22.24,5.31,6,-3.43,0.465,2.96,1.2,0.94,0.44,N/A,57.284,38.713,1.03,1.68,5.97,-5.41,-3.22,7.02,2236.7,2221.76,0.52,03/09/05,02/26/04,,0,63200,1
46,2005,67686.644,69876.344,30.646,-8.24,-5.35,-6.58,31.82,47.4,0,19.86,24.83,4.19,6,-3.12,0.48,-3.13,1.15,0.99,0.6,N/A,46.799,24.792,0.59,3.3,3.39,-11.78,-15.94,-0.1,2219,2208.64,0.72,02/28/06,03/09/05,,0,63000,1
46,2006,66181.343,61048.543,30.332,-5.15,-2.67,-3.76,34.27,45.83,0,19.07,26.4,4.05,5,-3.32,0.302,-11.69,1.59,1.46,1.18,N/A,33.307,24.649,1.21,1.33,-3.04,-19.85,-6.73,-6.27,2197,2181.92,0.45,02/28/07,02/28/06,,0,61500,1
