enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
52,2011,0,0,0,-3.71,-2.99,-3.42,0,0,0,0,0,0,N/A,0,-1.96,-40.33,1.04,1.04,0.64,0,0,0,-,0,0,0,0,0,25.124,25.124,0,03/08/13,03/08/13,,0,0,1
52,2012,0,0,0,-4.27,-2.8,-3.54,0,0,0,0,0,0,N/A,0,-2.302,-17.71,1.1,1.1,0.68,No Debt,0,0,0,0,113.74,105.38,143.23,0,25.124,25.124,0,02/28/14,03/30/12,,0,0,1
52,2013,3794.831,3480.14,30.03,0.63,1.48,1.1,0,0,0,0,0,10.19,N/A,0,-0.656,32.01,1.99,1.99,1.49,No Debt,40.37,23.74,-402.98,-6.23,-10.58,-884.62,-163.47,0,73.909,126.368,0,02/27/15,03/08/13,01/30/13,42,1077,1
52,2014,7861.284,7641.507,56.01,-1,0.17,-0.42,0,0,0,0,0,6.53,5,0.33,0.365,21.17,2.43,2.43,1.93,0,58.37,26.07,-11.07,0,-4.88,-5.88,-6.25,0,135.416,140.355,0,02/25/16,02/28/14,01/29/14,37,1830,1
52,2015,10144.186,9918.832,67.85,-2.19,-0.6,-1.39,0,0,0,0,0,6.23,5,-3.06,0.174,-0.24,1.79,1.79,1.32,0,70.81,46.42,-6.52,0,49.74,-127.78,-125.7,0,145.356,149.509,0.74,02/28/17,02/27/15,01/28/15,25,2826,1
52,2016,13917.636,13590.92,86.56,-2.73,-0.96,-1.78,0,0,0,0,-1.15,6.79,6,-3.5,0.169,-15.75,1.48,1.48,1.1,0,89.99,63.63,-7.54,0,37.52,-3.25,9.05,0,155.707,160.786,0.8,02/28/18,02/25/16,,24,3686,1
52,2017,12446.821,12055.271,74.34,-4.46,-1.82,-3.02,0,0,0,0,-2.18,4.08,5,-2.86,-0.003,-22.87,1.25,1.25,0.84,0,87.91,47.14,-4.13,0,30.91,-98.43,-171.19,-68.29,164.534,167.431,1.46,02/27/19,02/28/17,01/25/17,14,4801,1
52,2018,22723.848,22117.986,130.39,-5.69,-2.01,-3.81,15.49,0,0,0,-0.82,5.15,6,-3.15,0.085,3.5,1.19,1.19,0.87,0,130.69,75.66,-4.09,0.24,32.58,73.02,116.57,0,171.176,174.276,1.57,02/20/20,02/28/18,01/31/18,11,6222,1
52,2019,32080.159,31243.944,178.05,-7.05,-2.35,-4.66,23.87,0,0,0,1.08,7.39,5,-3.11,0.077,-12.64,1.17,1.17,0.74,0,204.58,131.73,-3.38,0,30.88,77.94,208.05,0,177.846,180.175,1.2,02/12/21,02/27/19,01/30/19,10,8154,1
52,2020,53488.63,52928.405,282.32,-11.63,-5.63,-8.32,36.29,0,0,26.27,7.68,8.8,6,-2.44,0.404,1.93,1.03,1.03,0.61,1.27,302.31,169.12,-5.15,0,19.6,2220,94.44,0,186.466,189.461,1.09,02/03/22,02/20/20,01/29/20,7,10371,1
52,2021,107798.413,106841.413,550.43,-14.24,-6.94,-10.38,53.81,0,0,14.73,20.74,11.66,5,-3.19,0.312,-1.84,1.21,1.21,0.83,6.03,565.43,249.57,-3.37,0,27.21,-81.45,43.59,0,193.096,195.844,1.07,02/03/22,02/12/21,01/27/21,9,13096,1
52,2022,129567.549,128477.549,649.11,-19.03,-9.43,-13.81,75.01,443.79,0,18.31,35.07,11.6,5,-2.95,0.299,-3.28,1.05,1.05,0.67,9.18,701.73,454.4,-1.92,0,30.03,91.53,43.85,0,198.094,199.608,1.08,01/31/23,02/03/22,01/26/22,12,16881,1
52,2023,78772.994,76724.994,388.27,-19.65,-7.95,-13.27,105.57,551.41,78.5,26.56,53.31,6.46,8,-3.09,0.276,1.39,1.11,1.11,0.71,13.15,630.14,341.76,-1.64,0,22.66,41.59,14.46,60.68,201.43,202.882,0.92,01/31/23,01/31/23,01/25/23,15,20433,1
