enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
55,1999,131071.677,127392.898,47.85,-2.83,1.36,-0.78,0,0,0,0,0,0,N/A,0,0.468,7.1,2,1.55,0.95,N/A,49.19,35.28,-,0.01,0,0,0,0,2739.218,2739.22,0,07/28/00,07/28/99,,0,0,1
55,2000,93886.592,90003.592,35.77,-2.87,1.52,-0.78,0,0,0,9.71,0,0,N/A,0,0.477,4.25,1.99,1.6,0.94,N/A,51.03,34.12,4.18,1.28,-7.66,88.82,-3.9,0,2624.734,2624.73,0,04/11/01,04/11/01,,0,81854,1
55,2001,96904.893,87992.893,37.176,-0.19,2.76,1.24,0,0,0,16.17,0,6.24,N/A,0,0.339,-0.32,2.83,2.48,1.76,N/A,37.176,28.5,0.69,0.75,8.51,171.52,0.9,0,2632.281,2606.68,0,03/18/02,04/11/01,,0,67653,1
55,2002,77265.914,68711.914,30.322,-0.64,2.29,0.8,0,0,0,16.46,0,4.89,2,-1.99,0.47,5.58,2.4,2.11,1.54,19.84,37.383,27.398,2.24,-0.26,-13.67,-12.2,7.91,0,2571.673,2548.18,0,01/30/04,03/18/02,,0,70320,1
55,2003,75519.007,68282.007,30.513,-1.7,1.64,0.02,0,0,0,19.17,0,3.78,3,-1.88,0.522,5.24,2.52,2.16,1.52,26.25,36.411,28.328,2.87,4.27,11.54,23.49,21.16,0,2515.312,2474.97,0,01/28/05,02/24/03,,0,74022,1
55,2004,94077.809,86379.809,38.123,-2.28,1.37,-0.27,0,0,0,20.86,0,4.18,5,-2.71,0.505,-1.17,2.39,2.03,1.42,23.19,38.123,28.694,0.29,0.33,27.35,7.07,7.73,0,2380.092,2467.77,0.02,01/30/06,01/30/04,,0,78541,1
55,2005,101891.074,94695.074,41.986,-3.06,1.08,-0.82,0,0,0,22.88,32.02,4.15,8,-2.65,0.486,3.08,2.02,1.72,1.17,23.44,42.052,34.31,1.66,1.73,11.47,15.23,11.86,0,2355.49,2426.81,0.14,01/31/07,01/28/05,,0,81392,1
55,2006,101839.571,99289.571,43.597,-5.91,-1.41,-3.4,21.32,0,0,21.66,26.51,3.52,6,-2.36,0.58,9.61,1.4,1.16,0.71,22.13,45.442,38.006,3.75,0.16,10.24,15.42,11.35,0,2332.848,2335.92,0.3,01/28/08,01/30/06,,0,90924,1
55,2007,112052.135,111496.135,47.718,-8.07,-2.34,-5.14,29.67,0,0,23.37,34.59,3.6,4,-2.36,0.702,7.69,1.32,1.04,0.49,28.73,50.875,43.115,-0.53,-0.23,17.08,16.03,15.07,0,2345.232,2348.23,0.41,01/28/09,01/31/07,,0,100735,1
55,2008,102166.323,94731.323,45.118,-5.75,0.53,-2.35,41.72,0,16.83,27.59,36.24,3.43,6,-2.39,0.614,11.9,1.65,1.32,0.79,28.61,49.595,42.866,3.57,4.5,12.45,68.75,5.33,5.87,2317.467,2264.45,0.44,01/26/10,01/28/08,,153726,98200,1
