enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
60,1994,21009.369,22068.569,5.45,-1.23,-0.19,-1.09,1.2,0,0,1.85,2.21,4.38,6,-2.69,0.514,-4.38,1.37,1.06,0.21,N/A,5.9,4.26,1.3,4.85,8.41,-15,-28.03,0,3867.647,3854.93,1.98,03/25/94,03/25/94,,0,40500,1
60,1995,23024.389,24428.889,6.1,-1.41,-0.26,-1.24,1.89,5.09,0,2.97,2.92,4.2,7,-2.44,0.614,5.86,1.2,0.94,0.3,N/A,6.21,4.23,2.09,1.94,15.21,105.29,100.99,0,3718.568,3774.49,1,03/24/95,03/24/95,,0,40800,1
60,1996,38044.82,40556.62,9.95,-1.78,-0.28,-1.6,2.63,6.51,6.09,3.39,3.2,5.42,6,-2.22,0.722,16.45,1.19,0.92,0.08,N/A,10.46,5.89,-1.3,-0.25,19.22,19.48,27.59,13.85,3774.96,3823.6,0.86,03/29/96,03/29/96,,0,40800,1
60,1997,50697.131,52519.131,13.1,-1.7,-0.32,-1.49,3.14,6.45,8.65,3.97,3.87,6.04,6,-2.19,0.689,5.57,1.15,0.87,0.2,N/A,14.29,9.59,-1.21,-0.5,-3.69,19.9,3.47,18.53,3709.615,3870.01,1.04,03/26/98,03/28/97,,0,46500,1
60,1998,91382.515,93481.515,23.54,-1.59,0.1,-1.4,3.57,8.23,11.21,4.78,4.36,10.27,6,-2.23,0.684,10.91,1.49,1.2,0.18,N/A,24.57,12.93,-0.31,0.19,9.39,12,10.2,18.97,3815.517,3882.01,0.95,03/26/99,03/26/98,,0,49200,1
60,1999,153222.935,154926.935,39.47,-2.05,0.11,-1.81,6.03,17.97,23.71,5.36,6.46,12.8,7,-1.92,0.701,1.2,1.38,1.13,0.22,N/A,39.83,23.35,0,1.08,30.57,30.36,9.03,23.55,6120,3882.01,1.05,03/27/00,03/26/99,,0,46400,1
60,2000,118218.31,118905.31,30.73,-2.87,-0.29,-1.49,5.48,14.23,16.88,7.51,5.32,6.52,4,-1.84,0.8,10.79,1.37,1.15,0.54,N/A,47.4,30.04,0.9,1.61,18.67,6.85,28.88,20.94,6126,3847,0.88,03/28/01,03/27/00,,0,50900,1
60,2001,275164.12,273713.12,43.58,-1.67,-0.04,-0.81,6.89,18.54,15.91,6.62,6.31,11.92,6,-2.33,0.466,3.83,1.43,1.21,0.57,N/A,46.36,28.83,-64.13,-0.07,6.37,-24.36,20.32,18.25,6210,6314,0.6,03/28/02,03/28/01,,0,90000,1
60,2002,236956.75,237213.75,37.75,-1.95,-0.26,-1.18,9.53,22.97,22.73,8.51,8.05,9.44,6,-2.52,0.554,14.68,1.4,1.22,0.63,N/A,43.69,33.79,0.59,1.22,-1.02,106.78,21.56,18.65,6239,6277,0.23,03/27/03,03/28/02,,0,90000,1
60,2003,178451.52,177709.52,28.96,-2.25,-0.26,-1.33,12.74,31.03,21.11,10.01,11.07,6.67,6,-2.42,0.491,7.08,1.34,1.19,0.68,N/A,39.93,24.55,1.83,2.43,13.39,19.67,16.64,14.42,6156,6162,0.5,03/10/04,03/27/03,,0,98000,1
