enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
64,1994,4918.01,8001.01,4.877,-11.33,-4.28,-7.72,5.62,0,0,0.37,15.18,2.04,6,-2.9,0.419,0.03,1.11,0.66,0.06,N/A,5.172,3.471,-1.84,-2.24,-5.91,223.81,55.68,0,1008.376,1008.38,1.03,03/29/95,03/31/94,,0,168600,1
64,1995,4872.6,7668.6,4.946,-11.32,-3.7,-7.31,6.93,4.24,0,1.66,1.65,2.16,8,-2.63,0.419,-3.09,1.26,0.8,0.06,N/A,5.585,4.356,2.31,5.54,2.68,32.21,12.75,-22.3,985.088,985.088,1.19,03/28/96,03/29/95,,0,171500,1
64,1996,7288.713,9296.713,7.464,-10.89,-3.06,-6.96,8.92,5.04,0,1.97,2.05,2.52,9,-2.96,0.386,-4.01,1.34,0.9,0.14,N/A,7.63,4.936,0.86,1.65,9.71,-34.91,26.67,4.1,976.568,976.568,1.22,02/07/97,03/28/96,,0,170600,1
64,1997,9921.802,11491.802,10.423,-11.43,-2.97,-7.2,11.28,5.25,3.24,4.5,4.04,2.63,7,-2.89,0.368,-2.35,1.3,0.85,0.15,N/A,11.033,7.158,2.53,3.66,3.34,143.02,4.51,23.28,951.896,951.896,1.2,02/17/98,02/07/97,,0,173800,1
64,1998,10496.858,12229.858,11.456,-12.29,-3.65,-8.02,11.83,5.13,6.93,4.87,5.21,2.65,7,-2.69,0.347,1.05,1.27,0.83,0.09,N/A,13.727,10.325,3.74,6.73,-3.98,20.69,1.49,26.54,916.284,916.284,0.97,02/16/99,02/17/98,,0,180100,1
64,1999,15402.199,17902.199,17.11,-13.76,-3.96,-9.64,14.51,2.61,0,6.75,6.83,2.95,8,-2.76,0.418,5.75,1.37,0.92,0.08,N/A,17.582,10.738,1.75,2.79,10.12,20.57,23.2,-3.16,900.208,900.208,1.28,02/14/00,02/16/99,,0,178800,1
64,2000,19411.304,23751.304,20.453,-16.69,-6.98,-11.89,20.87,3.62,0,6.74,6.37,2.29,4,-2.61,0.645,6.05,1.15,0.77,0.1,N/A,23.501,16.461,-5.43,2.41,-5.36,137.76,-31.6,-12.7,930.435,949.092,1.44,02/12/01,02/14/00,,0,148300,1
64,2001,23270.741,27830.741,24.74,-18.02,-7.48,-12.48,20.95,9.25,0,6.15,8.4,2.71,5,-2.64,0.502,5.54,1.14,0.74,0.08,8.22,25.094,15.124,0.89,1.56,9.22,17.94,90.79,-4.87,940.2,940.612,1.47,02/11/02,02/12/01,,0,153800,1
64,2002,19203.745,23154.745,20.336,-18.09,-7.77,-12.7,26.6,12.44,26.34,8.45,13.23,2.62,8,-2.74,0.486,0.88,1.34,0.87,0.19,7.59,27.441,13.102,-0.39,1.95,5.48,7.89,4.01,15.37,940.4,944.318,1.4,02/10/03,02/11/02,,0,152000,1
64,2003,18340.915,21722.915,19.527,-19.97,-9.59,-14.53,35.3,15.5,52.53,8.53,18.99,2.56,5,-2.48,0.435,1.61,1.52,1.03,0.27,9.6,24.307,15.478,0.54,2.82,1.09,15.4,5.89,34.45,944.8,939.24,0.96,02/05/04,02/10/03,,0,155000,1
64,2004,30658.333,35045.333,29.82,-21.34,-10.29,-15.41,35.63,21.33,113.5,7.04,19.57,2.58,5,-2.34,0.551,3.54,1.19,0.78,0.15,10.25,30.062,17.039,-9.46,0.23,9.7,112.22,5.65,33.88,991,1028.12,0.94,02/10/05,02/05/04,,0,203300,1
64,2005,33241.433,37477.433,32.52,-23.39,-10.28,-16.27,48.91,22.65,26.04,11.15,27.47,2.6,8,-2.49,0.525,2.07,1.2,0.81,0.17,11.85,33.202,25.644,0.58,1.95,21.02,-43.71,14.02,16.46,993,1022.2,0.67,02/09/06,02/10/05,,0,209700,1
