enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
70,2004,0,0,0,0,0.01,0,0,0,0,0,0,0,N/A,0,0.254,-1.1,4.72,4.72,3.17,No Debt,0,0,-,0,0,0,0,0,6602.377,8403.21,0,12/31/04,12/31/04,,0,0,8.277
70,2005,0,0,0,0.02,0.03,0.02,0,0,0,0.08,0,0,N/A,0,1.955,57.41,12.1,12.1,7.23,No Debt,0,0,-5.01,0,38.46,16.67,16.67,0,7605.5,8824.52,0,12/31/05,12/31/05,,0,0,8.277
70,2006,0,0,0,0.02,0.03,0.02,0,0,0,0.07,0,0,N/A,0,0.347,-14.52,5.35,5.34,3.94,72.03,0,0,-0.25,0,5.56,0,0,0,8862.475,8846.22,0,12/31/06,12/31/06,,0,0,8.076
70,2007,0,0,0,0.02,0.04,0.02,0,0,0,0.13,0,0,N/A,0,0.435,9.01,4.3,4.3,2.62,200.02,0,0,0.04,0,105.26,114.29,157.14,0,8821.685,8842.26,0,12/31/07,12/31/07,,0,3017,7.822
70,2008,0,0,0,0.03,0.05,0.03,0,0,0,0.19,0,37.23,N/A,0,0.434,6.71,2.93,2.93,2.2,1027.33,0,0,-1.14,0,43.59,53.33,44.44,0,8899.53,8942.87,0,03/28/09,03/28/09,,0,4344,7.368
70,2009,0,0,0,0.01,0.06,0.02,0,0,0,0.33,0,18.8,N/A,0,0.567,17.45,3.11,3.1,1.66,22.59,0,0,-0.44,0,103.57,91.3,119.23,0,8968.885,8982.57,0,03/29/10,03/28/09,,0,6194,6.854
70,2010,0,0,0,0.1,0.13,0.11,0,0,0,0.6,0,30.26,N/A,0,0.117,10.18,2.88,2.88,2.49,3013.56,0,0,0,0,72.81,86.36,78.95,0,9008.23,8982.57,0,03/28/11,03/29/10,,0,7515,6.828
70,2011,35154.23,31838.278,3.83,0.13,0.19,0.15,0.94,0,0,1,0,12.14,5,0,-0.017,21.63,1.95,1.95,1.7,75842.68,4.34,3.2,-2.18,0.12,61.42,58.54,64.71,0,9094.83,9178.65,0,03/25/12,03/28/11,,0,10692,6.65
70,2012,37072.252,34871.486,4.03,-0.03,0.12,-0.01,1.5,0,0,1.24,0,6.83,5,-0.62,0.424,21.48,1.68,1.68,1.24,158.06,5.84,3.7,-0.22,0.56,51.89,33.08,42.26,0,9094.83,9199.07,0,03/28/13,03/25/12,03/14/12,0,17446,6.348
70,2013,60511.355,58002.21,6.53,-0.12,0.04,-0.08,2.25,0,0,1.78,0,8.41,4,-2.24,0.46,12.72,1.77,1.74,1.32,46.34,7.23,3.99,-0.73,-0.03,56.52,26.59,29.71,0,9140,9266.67,0,03/31/14,03/28/13,03/20/13,0,24160,6.233
70,2014,119919.884,115922.387,12.88,-0.17,0.08,-0.12,3.16,0,0,2.49,2.07,10.25,5,-2.4,0.459,9.57,1.61,1.57,1.2,44.02,12.88,6.09,-0.47,0.18,40.87,24.66,32.26,0,9158,9310.55,1.71,03/30/15,03/31/14,03/19/14,0,27492,6.074
70,2015,135968.567,133412.9,14.51,-0.65,-0.27,-0.59,3.75,0,0,3.39,3.06,7.05,6,-2.26,0.588,11.38,1.51,1.5,1.07,30.6,17.57,12.04,-0.65,0.03,27.98,50.55,46.1,0,9231,9370.68,1.56,03/30/16,03/30/15,03/18/15,0,27690,6.189
70,2016,184504.91,182522.153,19.62,-1.75,-0.52,-1.66,5.47,0,14.74,4.47,3.99,4.91,4,-2.33,0.601,15.31,1.25,1.25,0.65,24.33,21.62,14.38,-0.35,0.04,24.06,15.33,21.87,53.22,9300,9403.92,0.9,04/10/17,03/30/16,03/17/16,0,30641,6.449
70,2017,229534.878,229375.625,24.22,-1.51,-1.1,-1.39,7.68,0,19.26,5.53,0,5.72,4,-2.34,0.527,11.75,1.47,1.47,1.21,23.2,28.13,17.09,-0.78,0.11,36.78,32.07,38.77,34.1,9376,9477.08,0.82,04/10/18,04/10/17,02/22/17,0,38775,6.92
70,2018,493191.195,494784.2,51.92,-2.49,-1.92,-2.29,15.81,0,27.57,8.71,0,8.01,6,-2.17,0.707,11.13,1.18,1.17,0.94,22.94,55.9,24.45,-0.23,0.06,63.51,81.63,80.36,37.24,9411,9499.06,0.78,04/01/19,04/10/18,03/21/18,0,44796,6.593
70,2019,375766.636,382315.294,39.47,-3.56,-2.79,-3.23,19.9,0,32.65,9.97,0,5.49,4,-2.24,0.636,16.54,1.07,1.07,0.82,15.93,60.96,32.15,-0.22,0.09,25.54,5.1,11.06,38.94,9444,9520.31,1.16,04/02/20,04/01/19,03/21/19,0,54309,6.884
70,2020,458621.286,473110.358,48.01,-4.99,-3.99,-4.58,26.06,69.82,38.05,11.27,0,5.23,3,-2.46,0.725,6.38,1.06,1.05,0.78,12.61,50.4,38.39,-0.34,0.07,17.99,15.06,18.38,33.15,9468,9552.62,1.43,04/08/21,04/02/20,03/18/20,0,62885,7.014
70,2021,689706.19,706320.353,71.89,-6.4,-4.97,-5.86,35.99,85.23,46.84,18.89,0,5.96,7,-2.22,0.914,11.08,1.18,1.18,0.85,17.19,80.83,42.06,-0.43,0,36.36,83.78,57.16,29,9490,9593.91,0.59,04/07/22,04/08/21,03/24/21,0,85858,6.539
70,2022,560168.554,580817.291,58.3,-8.88,-5.25,-8.27,44.11,101.44,53.22,20.95,0,4.2,6,-2.12,0.722,14.15,1.2,1.2,0.65,15.71,99.1,53.74,-0.15,0.11,18.73,43.93,34.54,29.71,9528,9608.38,0.28,04/06/23,04/07/22,03/23/22,0,112771,6.369
70,2023,405331.826,423957.699,42.36,-8.48,-4.36,-7.96,43.24,91.67,39.49,17.61,0,3.61,3,-2.8,0.482,9.32,1.3,1.3,0.67,11.41,62.97,25.68,0.41,1.1,-9.54,-23.73,-18.02,23.9,9528,9568.74,-0.08,11/15/23,04/06/23,03/23/23,0,108436,6.972
