enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
73,2001,0,0,0,-1.35,-1.35,-1.35,0,0,0,0,0,0,N/A,0,-0.017,3.12,0,0,0,No Debt,0,0,-,0,0,0,0,0,78.518,81.724,0,05/12/06,05/12/06,,0,0,1
73,2002,0,0,0,-4.07,-4.07,-4.07,0,0,0,0,0,0,N/A,0,-0.744,-11.11,0,0,0,No Debt,0,0,0,0,0,-134.44,-510.53,0,78.518,81.724,0,05/12/06,05/12/06,,0,0,1
73,2003,0,0,0,-2.15,-2.15,-2.15,0,0,0,1.55,0,0,N/A,0,0.374,48.55,0,0,0,N/A,0,0,-175.72,0,0,154.82,60.92,0,163.064,225.327,0,03/30/07,03/30/07,,0,0,1
73,2004,0,0,0,-7.01,-6.39,-6.83,0,0,0,0,0,0,N/A,0,0.022,23.32,1.51,1.43,1.26,N/A,0,0,63.73,0,861.67,-113.26,852.21,0,78.518,81.724,0,05/12/06,05/12/06,,0,0,1
73,2005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,No Debt,0,0,7.84,0,79.98,752.17,871.16,0,63.361,75.317,0,05/12/06,05/12/06,,0,861,1
73,2006,0,0,0,-5.59,-5.12,-5.45,0,0,0,0,0,0.83,N/A,0,0,38.01,2.6,2.43,2.14,N/A,0,0,-205.93,0,-54.64,37.67,-77.72,0,203.029,230.416,0,03/30/07,03/30/07,,0,861,1
73,2007,0,0,0,-18.31,-17.13,-17.92,0,0,0,0,0,0.6,N/A,-1.19,1.14,39.22,1.74,1.53,1.27,N/A,0,0,24.45,0,43.29,-83.78,-29.81,0,233.731,174.071,0,03/30/07,03/30/07,,0,2046,1
73,2008,6770.701,8307.702,38.9,-14.29,-12.78,-13.84,0,0,0,0,0,1.86,6,-2.61,0.815,0.49,2.99,2.8,2.53,N/A,80.66,30.2,0.01,-12.88,133.65,735.82,177.22,0,143.846,174.054,0,02/29/08,02/29/08,,6800,2498,1
73,2009,5212.35,7595.681,29.7,-21.02,-19.05,-20.43,0,0,0,0,-47.87,1.47,6,-2.52,0.761,15.51,1.41,1.2,0.94,2.71,43.66,21.42,-0.83,-0.24,2.62,50,-6.71,0,174.698,175.5,0,03/01/11,03/02/09,,18000,3200,1
73,2010,2691.193,5182.155,15.26,-22.36,-20.45,-21.72,1.69,0,0,0,-31.87,1.27,7,-2.6,0.744,5.34,1.87,1.69,1.45,1.96,37.5,11.7,-0.49,0,26.3,16.67,27.47,0,175.949,176.356,0,03/01/11,03/01/10,,49276,3600,1
73,2011,4484.66,7094.276,25.26,-23.69,-21.31,-22.99,4.71,0,0,1.88,-29.67,1.53,7,-2.79,0.697,1.89,1.99,1.79,1.46,2.58,25.48,11.06,-0.67,0.04,16.85,10.2,12.38,0,176.856,177.54,0.66,03/01/13,03/01/11,02/24/11,43130,3600,1
73,2012,3146.153,5652.551,17.36,-23.79,-21.03,-22.81,31.9,0,0,16.01,-9.68,1.39,5,-1.62,0.686,-52.72,3.36,3.07,2.75,3.2,37.38,15.02,-2.08,0.16,237.09,-1731.48,-183.2,0,267.643,181.23,0.83,02/25/14,02/29/12,02/23/12,50000,3700,1
73,2013,3623.05,5690.05,19.88,-148.77,-120.53,-136.5,53.2,0,0,0,-15.1,-1.07,3,47.71,0.863,-21.66,0.99,0.91,0.07,2.33,27.14,11.18,-0.56,0.12,-4.36,-55.51,-144.78,0,267.643,182.246,1.37,02/19/15,03/01/13,02/26/13,32000,3700,1
73,2014,26975.243,38169.243,33.64,-37.18,-29.28,-34.81,18.65,0,0,0,-28.51,0.53,5,-2.82,0.757,-2.84,2.11,2,1.01,0.9,33.64,16.52,-340,-6.62,-51.03,100.18,161.76,0,672.956,801.88,1.74,02/17/16,02/25/14,02/25/14,336,40000,1
73,2015,21753.215,32798.215,26.94,-44.18,-33.45,-41.78,11.56,0,0,0,-37.11,0.49,5,-2.5,0.535,5.91,1.59,1.47,0.61,0.65,34.86,24.57,-0.7,0,0.44,500,4.53,0,805.285,807.469,1.54,02/14/17,02/19/15,05/01/15,328,45000,1
73,2016,32015.456,45078.456,39.12,-46.77,-37.84,-44.34,11.45,0,0,0,-47.53,0.68,5,-3.05,0.523,7.82,1.56,1.43,0.8,1.8,43.03,26.87,-1.35,0,8.93,173.33,15.02,0,812.994,818.391,0.5,02/08/18,02/17/16,02/17/16,324,50000,1
73,2017,47523.791,64209.791,57.51,-51.01,-40.46,-48.62,2.45,42.21,0,0,-61.12,1.03,8,-2.67,0.56,1.53,1.58,1.45,0.61,1.92,58.55,33.89,-0.97,0,14.02,106.1,42.02,0,822.47,826.357,0.3,02/07/19,02/14/17,02/14/17,309,50000,1
73,2018,54580.939,81680.939,63.51,-54.44,-45.48,-51.86,-6.35,44.47,0,0,-79.44,1.12,5,-2.33,0.754,10.56,0.77,0.64,0.11,2.78,68.32,55.36,-4,0.78,3.5,207.69,0.35,0,831.85,859.407,0.11,02/06/20,02/08/18,02/08/18,269,51000,1
73,2019,54079.95,65841.95,63.61,-54.75,-46.42,-52.55,-12.14,48.22,53.27,0,-35.67,1.23,7,-2.39,0.517,-0.6,0.81,0.7,0.12,3.91,70.49,55.58,1.07,1.98,8.34,-35.38,10.44,15.76,849.744,850.18,0.58,02/23/21,02/07/19,02/07/19,265,52000,1
73,2020,67198.49,105768.49,78.42,-66.06,-56.98,-63.84,-23.54,53.07,57.67,0,-49.76,1.24,6,-2.92,0.929,0.88,0.74,0.67,0.12,5.04,84.25,65.02,-0.79,0,3.28,19.64,4.42,14.31,854.144,856.905,0.53,02/11/22,02/06/20,02/06/20,258,53000,1
73,2021,167458.079,261292.079,134.85,-100.2,-89.33,-96.62,7.18,65.33,26.58,0,-71.04,1.16,5,-1.95,1.831,3.57,1.1,0.98,0.48,2.61,134.85,74.32,-44.92,-0.18,13.65,-34.08,23.36,9.57,1144.206,1241.81,0.58,02/14/23,02/23/21,02/04/21,16299,75000,1
73,2022,144883.376,244263.376,115.98,-104.73,-93.31,-101.18,3.44,81.18,24.82,0,-81.53,1.09,4,-2.52,0.842,4.11,0.89,0.78,0.28,2.06,149.41,106.72,-0.6,0,7.8,-9.06,4.19,10.3,1247.155,1249.21,0.5,02/14/23,02/11/22,02/02/22,15953,75000,1
73,2023,172754.4,276105.4,140,-111.17,-99.37,-107.7,8.76,86.71,22.25,0,-93,1.18,6,-2.69,0.838,-0.87,0.77,0.69,0.18,2.41,152.41,101.62,1.22,1.74,-0.73,-14.52,-12.67,7.43,1249.764,1233.96,0.55,02/14/23,02/14/23,02/01/23,15719,71000,1
