enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
75,1998,14866.796,15275.283,3.83,-0.3,-0.17,-0.22,0,0,0,0,0,7.36,N/A,0,0.663,28.93,2.24,1.92,1.17,N/A,6.55,3.6,-,0,0,0,0,0,3881.665,3881.67,0,,,,0,5593,32.502
75,1999,17183.389,17975.93,4.33,-0.32,-0.22,-0.26,0,0,0,1.35,0,7.86,N/A,0,0.881,18.18,3.25,2.79,1.77,N/A,6.26,3.05,-2.24,0,12.32,-16.78,15.31,0,3968.453,3968.45,0,,,,0,5908,32.337
75,2000,69044.939,69729.76,16.88,-0.38,-0.18,-0.27,0,0,0,2.57,0,18.06,4,-1.31,1.268,18.78,2.26,1.99,1.27,N/A,16.88,4.35,-3.07,-0.94,52.3,106.72,64.16,0,3154.638,4090.34,0,,,,0,7460,31.625
75,2001,40320.454,41176.581,8.28,-0.42,-0.18,-0.33,0,0,0,3.68,0,6.23,4,-0.71,1.124,24.61,1.97,1.7,0.87,N/A,25.74,7.98,-19.05,-2.94,72.03,63.82,71.16,0,4885.145,4869.62,1.78,06/27/02,06/27/02,,0,14636,33.123
75,2002,57800.629,58505.701,11.54,-0.41,-0.29,-0.36,0,0,0,2.34,-0.01,9.5,3,-2.27,0.743,4.14,1.96,1.68,1.1,N/A,12.82,5.95,-2.86,0,-29.6,-62.28,-50.24,0,4457.588,5008.72,2.67,06/27/02,06/27/02,,0,14000,34.682
75,2003,26246.313,26013.423,5.21,-0.15,-0.03,-0.13,1.68,0,0,2.08,0.11,5.99,5,-2.49,0.702,-3.77,2.54,2.26,1.68,N/A,13.95,3.96,-0.58,0,27.52,-20.39,73.73,-4.31,5064.802,5037.68,2.64,05/28/04,06/23/03,,0,15880,34.799
75,2004,41523.561,39404.834,8.18,0.22,0.51,0.37,3.07,0,0,3.31,1.06,11.06,7,-1.98,0.67,-3.77,5.34,4.96,3.74,N/A,10.32,4.73,-0.77,0.92,25.92,123.14,25.5,0,5121.274,5076.23,2.7,05/16/05,05/28/04,,0,16997,34.056
75,2005,39459.486,36469.259,7.73,0.17,0.51,0.34,4.81,0,0,5.48,0.22,8.47,8,-2.87,0.79,17.45,2.89,2.64,2.01,N/A,9.29,6.05,-0.56,0.56,35.14,108.15,40.06,0,5104.002,5104.72,2.53,05/16/05,05/16/05,,0,20167,32.17
75,2006,49018.046,45336.3,9.48,0.41,0.81,0.62,4.94,0,0,5.53,0.41,14.52,5,-2.6,0.627,2.7,6.04,5.54,4.1,N/A,9.65,7,-1.29,-0.07,-2.17,-4.27,-0.52,0,5230.341,5170.68,1.82,04/20/07,04/20/06,,0,21496,33.286
75,2007,56475.834,50685.005,10.77,0.37,0.78,0.43,7.45,0,0,6.48,1.82,9.08,8,-3.46,0.508,7.03,2.54,2.35,1.9,N/A,11.01,7.88,-1.41,-0.03,19.22,36.43,20.73,0,5327.833,5243.81,1.96,04/15/08,04/20/07,,0,22246,32.512
75,2008,51043.248,46278.275,9.86,0.53,0.99,0.79,8.22,0,0,6.22,2.85,13.64,5,-2.8,0.562,-0.68,5.13,4.64,3.56,N/A,11.62,9.02,1.28,2.72,0.66,-15.12,-5.61,0,5401.007,5176.8,1.23,04/17/09,04/15/08,,0,21496,32.412
75,2009,40484.581,34908.797,7.86,0.77,1,0.81,10.24,0,4.44,5.88,4.14,10.79,5,-4.12,0.499,-20.31,4.45,4.19,3.76,169.81,11.78,5.82,0.5,2.48,3.96,-7.7,1.74,9.18,5207.837,5150.71,0.91,04/15/10,04/17/09,,0,22843,33.156
75,2010,59265.378,53467.869,11.44,0.59,0.96,0.85,9.57,11.61,0,5.85,4.36,12.3,6,-2.2,0.567,4.32,3.28,3.02,2.5,234.9,11.78,6.96,-0.58,0,-7.57,-7.3,-5.03,1.94,5167.16,5180.54,0.99,04/13/12,04/15/10,01/28/10,0,24466,32.246
75,2011,64982.531,60264.21,12.54,0.24,0.75,0.58,10.54,15.67,0,9.04,3.4,9.99,7,-2.86,0.785,18.67,2.12,1.89,1.48,374.17,12.69,9.4,-0.03,0,52.94,95.5,57.81,4.01,5181.166,5182.02,1.06,04/02/13,04/15/11,,0,33232,29.901
75,2012,66915.628,63680.798,12.91,-0.02,0.44,0.28,10.04,14.78,7.07,8.66,1.21,9.63,3,-3.14,0.725,8.87,1.8,1.6,1.21,225.88,13.88,10.94,-0.02,0,0.55,-17.85,-3.12,8.07,5182.815,5183.24,1.1,04/02/13,04/13/12,01/18/12,0,35457,30.251
75,2013,88972.712,87874.473,17.16,-0.66,0,-0.24,11.47,17.69,12.52,10.6,-0.42,7.94,6,-2.93,0.907,14.96,1.58,1.34,0.96,178.01,17.27,12.65,-0.03,0,23.59,23.71,29.02,11.35,5184.14,5184.89,1.11,04/13/15,04/02/13,01/17/13,0,39267,29.045
75,2014,90438.957,89821.634,17.44,-1.19,-0.46,-0.72,11,19.14,20.16,11.9,-1.86,5.58,5,-3.01,0.829,9.32,1.76,1.57,1.21,79.35,20.21,15.75,-0.02,0,15.13,12.75,16.59,17.38,5185.56,5185.72,0.82,04/11/16,04/14/14,01/16/14,0,40483,29.723
75,2015,116061.113,110013.652,22.38,-0.2,0.95,0.54,11.18,23.7,27.62,14.74,-0.15,6.79,7,-2.77,0.625,7.71,2.79,2.49,1.96,91.72,23.47,16.46,0,0,21.15,30.99,27.89,17.83,5185.86,5185.93,1.02,04/13/17,04/13/15,01/15/15,0,43591,31.352
75,2016,117983.32,107064.541,22.75,0.75,1.67,1.32,14.43,26.02,36.56,16.1,1.54,7.12,6,-3.33,0.535,-0.59,3.11,2.83,2.46,100.85,25.41,18.76,0,0,5.71,13.87,8.97,21.01,5186.06,5186.08,0.83,04/19/18,04/11/16,01/14/16,0,45272,32.791
75,2017,149099.8,135839.519,28.75,0.66,1.75,1.38,17.63,28.92,43.22,19.05,3.82,7.62,7,-2.55,0.578,9.93,2.35,2.21,1.83,114.31,31.55,20.48,0,0,15.16,12.18,9.03,21.41,5186.06,5186.08,0.98,04/17/19,04/13/17,01/12/17,0,46968,32.001
