enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
80,1994,5843.614,5699.914,4.74,-0.32,-0.08,-0.32,1.59,0,0,1.46,1.22,9.09,3,-1.75,0.82,14.93,0.84,0.84,0.29,N/A,4.88,2.63,-11.29,-0.32,51.81,47.62,47.92,0,1255.484,1232.83,1.66,,,,0,6500,1
80,1995,7798.146,6173.531,5.64,0.69,0.88,0.79,2.96,0,5.78,3.1,2.44,9.51,5,-0.95,0.784,11.46,2.87,2.87,2.49,N/A,6.83,4.7,-12.15,-0.62,33.53,666.45,52.11,42.95,1401.672,1382.65,0.97,03/28/95,03/28/95,,0,9600,1
80,1996,11452.052,9687.097,8.17,-0.83,-0.08,-0.54,3.64,7.02,4.93,2.47,4.7,4.1,4,-1.23,0.408,14.57,1.18,1.18,0.74,N/A,8.17,4.33,-1.38,-0.36,48.62,-83.5,15.51,89.41,1419.544,1401.72,0.87,04/01/96,04/01/96,,0,28500,1
80,1997,8326.32,6709.793,5.63,-1.03,-0.29,-0.72,4.4,11.85,5.85,2.44,6.46,3.84,5,-2.19,0.358,3.8,1.04,1.04,0.62,N/A,8.41,3.88,-5.51,-0.5,69.61,12.24,0.4,99.23,1486.76,1478.92,1.79,03/28/97,03/28/97,,0,27800,1
80,1998,9494.407,8257.407,6.21,-1.2,-0.59,-0.82,5.3,13.49,7.08,3.06,8.24,4.22,6,-2.24,0.471,10.25,0.85,0.85,0.49,N/A,7.5,5.38,-3.38,-0.66,13.92,28.64,15.97,63.48,1496,1528.89,1.93,03/27/98,03/27/98,,0,29600,1
80,1999,7916.347,6810.347,5.38,-2.6,-0.94,-2.11,6.36,19.67,0,1.84,12.32,2.91,4,-2.62,0.385,-13,0.8,0.8,0.34,N/A,9.09,3.92,3.76,4.45,47.45,-149.47,-2.07,0,1524.8,1471.44,2.05,03/30/00,03/31/99,,0,29226,1
80,2000,8896.006,6773.006,6.64,-2.46,-2.46,-2.46,8.14,24.03,0,2.6,42.01,3.79,6,-3.23,0.18,0.02,5.27,5.27,5.27,N/A,8.72,5.02,8.95,9.9,21.03,385.71,4654.31,0,1392.8,1339.76,1.71,03/30/00,03/30/00,,0,29226,1
80,2001,19465.54,19055.54,15.34,-4.53,-2.33,-4.02,10.09,27.47,0,2.71,40.89,4.06,6,-4.53,0.319,1.66,0.67,0.67,0.25,N/A,15.63,5.95,5.29,4.89,13.91,37,-96.03,0,1296.8,1268.94,1.24,03/30/01,03/30/01,,0,30000,1
80,2002,21838.305,21612.305,17.69,-5.5,-2.96,-4.98,12.74,17.85,0,3.43,46.93,3.95,7,-2.88,0.332,1.66,0.66,0.66,0.24,13.67,18.05,12.89,2.71,4.35,13.22,27.74,30.6,0,1250,1234.5,0.47,03/15/04,04/01/02,,0,30000,1
80,2003,25010.69,24940.69,20.88,-6.6,-3.81,-6.18,16.47,19.6,0,4.11,65,3.91,7,-2.94,0.349,2.26,0.62,0.62,0.22,21.84,25.09,17.03,2.97,6.44,9.95,52.14,36.97,0,1214,1197.83,0.28,03/01/05,03/19/03,,0,32000,1
80,2004,33918.94,33918.94,29.09,-10.66,-10.66,-10.66,21.39,24.16,0,11.64,93.46,3.85,8,-3.1,0.37,-3.41,0,0,0,312.59,29.13,19.94,2.66,3.95,23.08,25.82,1162.92,0,1182.143,1166,0.08,02/21/08,03/15/04,,0,33000,1
