enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
81,1994,8657.794,12728.794,10.55,-12.19,-10.64,-12.04,5.8,0,0,9.46,6,1.44,5,-2.67,0.635,3.48,0.66,0.54,0.05,4.83,11.203,9.645,-0.62,0.12,-18.32,-27.77,-37.48,0,821.705,820.644,1.18,03/26/96,03/29/94,,0,47126,1
81,1995,6296.73,10660.73,7.644,-11.29,-9.79,-10.77,6.46,6.73,9.74,13.52,7.36,1.46,7,-1.86,0.633,4.19,0.67,0.55,0.06,5.89,11.287,7.518,-0.38,0.02,8.04,3.1,11.5,6.33,821.053,823.748,1.24,03/26/96,03/26/96,,0,47126,1
81,1996,9121.617,15471.617,11.119,-15.67,-13.9,-15.2,8.4,8.6,10.96,14.59,7.45,1.37,7,-2.35,0.874,10.6,0.88,0.76,0.12,4.36,11.772,7.897,0.41,-9.25,15.32,72.93,13.4,8.01,819.048,820.4,1.13,03/18/98,03/26/96,,0,35000,1
81,1997,14830.383,22666.383,15.031,-19.78,-18.6,-19.24,8.79,9.75,8.83,16.99,6.08,1.09,5,-3.04,0.826,1.22,0.44,0.34,0.06,5.07,15.344,10.866,-20.26,0,10.73,-10,10.68,6.18,866.8,986.64,0.92,03/25/99,03/28/97,,0,54000,1
81,1998,15468.451,23896.451,15.656,-20.79,-19.36,-20.09,7.76,12.27,0,16.5,7.12,1.1,5,-1.95,0.596,2.09,0.45,0.36,0.03,4.73,18.11,14.188,-0.14,0,10.8,-57.97,-14.06,3.82,982.8,988.008,0.68,03/27/00,03/18/98,,0,65600,1
81,1999,11150.79,19666.79,11.266,-22.03,-20.69,-21.37,7.84,12.81,0,15.69,5.78,0.74,5,-2.41,0.551,2.38,0.51,0.4,0.06,3.22,15.844,9.406,-0.18,0,-4.29,-247.82,-52.78,-4.08,984,989.8,0.51,03/21/01,03/25/99,,0,65000,1
81,2000,10825.144,19290.144,10.922,-21.91,-20.76,-21.3,6.37,11.61,0,16.58,2.79,0.98,6,-2.7,0.561,1.86,0.46,0.34,0.06,4.3,16.75,10.156,-0.13,0,-2.55,225.19,152.89,-19.32,986.4,991.132,0.78,03/04/02,03/27/00,,0,65000,1
81,2001,12577.474,20823.474,12.688,-22.34,-20.73,-21.71,7.97,12.48,0,13.82,4.64,1.07,8,-2.52,0.566,1.38,0.57,0.45,0.04,3.13,13.156,8.75,-0.02,0,5.83,3.73,5.22,-12.02,986,991.328,0.41,02/21/03,03/21/01,,0,63000,1
81,2002,13883.49,21850.49,14.25,-22.44,-20.97,-21.84,8.25,11.7,0,14.94,9.17,1.12,6,-2.46,0.567,1.53,0.56,0.47,0.04,3.35,15.15,11.193,1.72,0,-9.63,12.93,3.26,-2.92,992,974.28,0.48,02/18/04,03/04/02,,0,48000,1
81,2003,15164.023,22500.023,14.968,-21.46,-19.95,-20.92,9.14,13.12,16.87,16.96,10.48,1.27,8,-2.46,0.57,1.46,0.75,0.64,0.15,4.13,16.288,13.688,-3.99,0,1.22,33.93,10.66,13.51,1008.4,1013.13,0.28,02/25/05,02/21/03,,0,47000,1
81,2004,17984.203,25446.203,17.37,-19.91,-18.4,-19.42,12.42,13.88,0,18.11,5.16,1.38,7,-2.79,0.605,0.06,0.85,0.74,0.21,4.44,17.373,12.835,-2.19,0,6.91,19.56,-9.07,0,1017.6,1035.36,0.48,02/24/06,02/18/04,,0,46000,1
81,2005,17552.082,24706.082,16.813,-20.08,-18.82,-19.54,12.31,15.07,0,16.37,6.05,1.28,6,-2.45,0.591,0.23,0.91,0.79,0.39,3.77,17.323,13.773,-0.83,0,8.09,-61.92,-22.24,0,1036.4,1043.99,0.54,02/23/07,02/25/05,,0,48000,1
81,2006,21466.784,28109.784,20.128,-19.82,-18.37,-19.14,11.52,16.86,0,18.16,5.82,1.46,7,-2.29,0.588,1.34,0.69,0.59,0.23,4.38,20.25,14.653,-2.16,0,9.36,67.48,22.88,0,1053.6,1066.54,1.42,02/28/08,02/24/06,,0,49747,1
81,2007,24861.273,30814.273,23.005,-18.85,-17.39,-18.2,12.84,19.61,0,24.87,8.63,1.75,7,-2.64,0.597,2.1,0.68,0.57,0.23,7.73,24.303,19.645,-1.33,0.07,12.44,53.17,33.37,0,1077.8,1080.69,1.48,02/06/09,02/23/07,,0,50739,1
