enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
4,2001,374.716,7.59,17.445,374.716,17.445,187.81,82.04,0,0,14.77,0,0,40.151,11.824,8.095,14.994,14.567,0.68,0.047,0.032,0.886,86.524,0,2.155,0,41.88,17.36,0,24.52,8.71,-,0.6,0,0.029,0.245,0.166
4,2002,67.95,1.92,4.244,88.536,4.307,145.1,55.34,0,-17.99,25.41,10.72,37.84,35.691,11.415,1.869,10.697,6.314,0.152,0.08,0.012,0.825,81.06,1.82,2.271,0,39.4,17.8,0,21.6,9.26,-,0.64,0,0.02,0.176,0.241
4,2003,78.452,3.3,8.347,109.035,8.604,239.05,61.62,0,29.61,35.17,10.18,33.19,32.17,11.434,3.719,13.966,9.948,0.072,0.129,0.009,0.728,72.204,1.89,2.244,0,37.42,20.55,0,16.87,9.75,-,0.68,0,0.016,0.138,0.137
4,2004,59.985,3.56,9.547,72.711,9.82,276.19,52.8,0,37.61,35.38,14.72,34.18,30.544,11.827,4.571,13.528,9.753,0.047,0.184,0.009,0.699,63.793,1.72,2.089,0,37.17,19.07,0,18.1,9.82,-,0.69,0,0.019,0.158,0.161
4,2005,59.36,4.8,11.083,73.025,11.485,302.32,52.89,0,20.94,33.49,11.83,0,29.789,11.828,5.502,13.478,9.18,0.044,0.189,0.008,0.701,60.011,2.12,2.015,0,36.46,20.24,0,16.22,10.01,-,0.7,0,0.019,0.157,0.168
4,2006,54.207,4.19,10.548,72.5,11.093,252.3,46.27,18.1,-116.04,29.36,11.88,0,27.397,9.837,5.34,11.596,12.957,0.027,0.199,0.005,0.709,54.122,-0.17,1.975,0.191,48.62,22.94,0,25.68,7.51,-,0.73,0,0.017,0.171,0.115
4,2007,62.824,4.14,12.281,89.236,13.036,328.04,67.09,13.63,32.28,32.7,12.77,0,28.162,11.742,5.795,13.814,10.564,0.013,0.192,0.002,0.739,59.685,0.59,2.119,0.176,57.87,21.8,0,36.07,6.31,-,0.72,0,0.017,0.145,0.139
4,2008,73.493,6.17,14.618,108.44,15.62,389.31,67.07,18.14,-107.86,40.17,9.02,131.09,28.386,11.987,6.683,14.308,9.808,0.003,0.205,0.001,0.742,62.09,1.42,2.187,0.158,59.22,20.16,0,39.06,6.16,-,0.72,0,0.013,0.106,0.114
4,2009,59.153,8.16,12.898,85.698,13.832,358.6,46.54,10.05,50.38,41.36,8.5,305.88,29.525,12.486,6.862,13.769,12.588,0,0.231,0,0.724,55.496,0.57,1.88,0.187,62.04,19.39,0,42.65,5.88,-,0.7,0,0.011,0.084,0.077
4,2010,62.799,7.78,14.194,88.931,15.203,430.52,47.69,12.51,-0.96,32.35,9.72,1154.31,31.397,12.663,7.71,14.739,12.356,0.001,0.221,0,0.745,57.796,1.02,1.841,0.419,46.6,18.46,0,28.14,7.83,-,0.69,0,0.01,0.081,0.077
4,2011,67.842,7.66,15.946,96.075,17.13,488.24,50.06,14.53,22.78,28.77,13.52,499.42,30.661,12.693,8.327,14.771,11.107,0.001,0.247,0,0.723,58.717,1.34,1.915,0.265,38.5,17.65,0,20.85,9.48,-,0.69,0,0.015,0.116,0.117
4,2012,63.641,6.76,15.764,89.953,16.995,500.95,47.85,11.01,-8.19,34.71,13.32,676.59,30.182,13.007,8.575,15.155,13.046,0,0.249,0,0.723,55.485,1.19,1.838,0.351,38.71,16.27,0,22.44,9.43,-,0.7,0,0.012,0.096,0.087
4,2013,72.082,7.78,19.574,114.23,21.754,558.42,50.44,21.13,58.5,48.8,12.55,109.51,30.875,13.38,10.798,16.274,9.652,0.005,0.294,0.002,0.678,55.971,2.56,1.813,0.351,38.51,16.21,0,22.3,9.48,-,0.69,0,0.012,0.091,0.112
4,2014,55.021,6.19,16.906,102.243,19.703,548.63,46.71,14.79,-14.83,40.38,9.42,67.34,30.383,13.435,9.228,15.486,9.927,0.005,0.32,0.001,0.649,55.662,9.53,1.832,0.413,41.18,16.66,0,24.52,8.86,-,0.7,0,0.01,0.075,0.092
4,2015,51.469,5.34,16.902,107.573,20.395,554.76,45.42,9.94,9.43,36.28,8.44,53.83,29.802,13.477,9.277,15.407,11.488,0.004,0.337,0.002,0.635,54.295,2.09,1.822,0.429,42.7,17.5,0,25.2,8.55,-,0.7,0,0.012,0.089,0.095
4,2016,60.076,6.36,21.189,133.186,26.276,639.19,52.42,16.92,35.45,35.98,6.51,59.48,29.535,13.824,11.817,18.245,11.986,0.004,0.367,0.001,0.603,52.961,1.32,1.793,0.403,41.5,18.1,0,23.4,8.79,-,0.7,0,0.014,0.103,0.106
4,2017,41.747,4.64,15.913,103.265,20.589,441.7,37.66,3.2,15.65,33.7,7.28,59.45,30.604,14.35,9.523,15.019,12.32,0.003,0.394,0.001,0.572,51.14,0.89,1.671,0.445,43.59,20.4,0,23.19,8.37,-,0.69,0,0.014,0.099,0.104
4,2018,42.041,4.03,17.225,107.813,22.966,484.7,42.91,11.15,43.47,31.74,6.56,78.03,30.477,14.39,9.904,16.477,13.191,0.002,0.424,0.001,0.561,53.007,0.64,1.739,0.42,53.72,18.4,0,35.32,6.79,-,0.7,0,0.015,0.105,0.103
4,2019,38.582,4.41,17.622,81.993,23.243,472.64,38,14.36,15.87,31.29,5.96,96.34,30.81,14.59,11.059,16.586,13.949,0.002,0.484,0.001,0.502,49.096,2.1,1.594,0.397,65.84,18.28,0,47.56,5.54,-,0.69,0,0.014,0.095,0.09
4,2020,32.524,3.63,15.277,61.343,19.603,222.46,31.56,7.17,1.58,24.16,5.91,1.89,31.53,14.695,11.523,19.357,17.181,0.205,0.459,0.094,0.528,41.802,0.85,1.326,0.429,65.64,18.02,0,47.62,5.56,-,0.68,0,0.014,0.092,0.073
4,2021,32.34,2.97,14.72,66.765,19.235,163.77,30.15,17.29,18.83,22.53,6.67,1.7,32.383,15.082,11.689,19.219,16.613,0.18,0.452,0.081,0.535,40.781,1.08,1.259,0.4,63.47,19.36,0,44.11,5.75,-,0.68,0,0.011,0.076,0.065
4,2022,33.035,4.01,15.208,79.155,20.783,194.61,32.32,17.29,52.54,23.99,9.41,1.39,31.986,15.208,11.165,18.397,14.325,0.15,0.468,0.07,0.519,43.569,0.93,1.362,0.358,59.89,21.06,0,38.83,6.09,-,0.68,0,0.012,0.077,0.075
4,2023,28.752,3.63,13.951,71.981,19.689,207.73,29.18,12.23,-13.54,20.96,11.03,1.47,32.337,13.742,10.718,17.887,14.032,0.123,0.501,0.061,0.484,42.091,-0.91,1.302,0.384,60.28,21.25,0,39.03,6.06,-,0.68,0,0.008,0.06,0.055
