enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
6,1994,28.203,6.23,15.636,28.203,15.636,39.06,34.86,35.14,25.06,23.43,16.99,0,46.289,20.436,13.297,23.997,-4.181,0.277,0.568,0.157,0.432,54.433,0.99,1.176,0,72.77,135.29,81.95,19.43,5.02,4.45,0.54,0.121,0.109,0.532,1.625
6,1995,33.028,6.55,19.456,33.028,19.456,55.99,41.93,45.29,61.95,33.41,18.18,0,46.047,22.666,14.831,25.383,-4.014,0.203,0.601,0.122,0.399,60.406,0.9,1.312,0,72.92,114.65,74.36,32.63,5.01,4.91,0.54,0.11,0.087,0.383,1.861
6,1996,28.869,14.36,18.16,28.869,18.16,49.3,38.64,35.95,16.84,30.34,17.6,0,50.632,22.404,14.466,25.996,5.778,0.158,0.652,0.103,0.348,63.561,0.83,1.255,0,72.22,129.46,80.81,23.57,5.05,4.52,0.49,0.109,0.109,0.487,0.654
6,1997,18.767,4.51,11.448,19.499,11.717,34.65,23.55,18.49,187.71,19.46,25.18,0,46.656,18.418,12.235,23.803,8.892,0.234,0.58,0.136,0.42,43.655,1.02,0.936,0,86.6,163.72,97.83,20.71,4.21,3.73,0.53,0.143,0.083,0.452,0.484
6,1998,9.16,2.24,5.553,9.472,5.666,27.42,18.52,-0.92,-3.13,15.44,18.74,0,53.344,15.998,6.413,22.776,9.331,0.2,0.633,0.127,0.367,46.194,6.98,0.866,0,79.04,198.66,112.24,-7.38,4.62,3.25,0.47,0.143,0.107,0.67,0.535
6,1999,18.552,2.47,11.954,18.951,12.118,38.02,21.64,7.23,45.58,18.7,20.11,0,53.129,19.304,14.008,24.964,16.894,0.137,0.652,0.089,0.348,45.338,4.7,0.853,0,72.79,108.81,98.02,62,5.01,3.72,0.47,0.126,0.043,0.223,0.203
6,2000,35.336,5.81,23.503,35.833,23.721,109.08,45.11,30.66,589.94,52.5,16.68,0,50.769,30.821,21.575,34.606,13.263,0.096,0.674,0.064,0.326,55.304,0.82,1.089,0,69.06,102.77,86.46,52.75,5.28,4.22,0.49,0.117,0.04,0.13,0.232
6,2001,10.539,2.88,7.61,10.539,7.61,28.87,11.57,-1.35,261.4,17.28,18.2,0,44.286,12.667,10.557,17.936,11.843,0.075,0.774,0.058,0.226,31.923,1.1,0.721,0,77.74,167.11,130.11,40.74,4.7,2.81,0.56,0.199,0.097,0.764,0.45
6,2002,3.443,1.11,2.683,3.488,2.71,8.99,3.47,0.13,-95.97,6.26,17.59,0,40.627,5.836,5.314,13.491,1.483,0.078,0.784,0.061,0.216,20.512,0.68,0.505,0,65.7,171.57,163.14,57.27,5.56,2.24,0.59,0.265,0.094,1.613,0.864
6,2003,-1.854,-0.38,-1.453,-1.916,-1.49,1.82,0.67,-26.67,42.96,1.1,19.57,0,35.835,1.295,-3.331,9.88,13.173,0.07,0.782,0.054,0.218,15.625,1.94,0.436,0,79.85,169.46,141.31,51.7,4.57,2.58,0.64,0.248,0.059,4.576,0.31
