enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
9,1997,-183.706,N/A,-75.253,-183.706,-75.253,-624.1,-183.56,0,0,-201.34,0,-,21.967,-40.918,-39.667,-37.756,-21.244,0,0.41,0,0.59,41.675,0,1.897,-,0,86.15,17.82,-68.33,0,20.48,0.78,0.038,0.085,0,0
9,1998,-193.93,-3.86,-39.23,-193.93,-39.23,-572.33,-56.48,0,-142.62,-278.53,11.54,0.42,10.443,-22.055,-20.99,-18.44,-4.68,2.735,0.191,0.522,0.809,19.519,0.46,1.869,-,0,49.54,13.2,-36.34,0,27.66,0.9,0.032,0.051,0,11.067
9,1999,-148.857,-1.22,-31.203,0,-40.198,-480.82,-32.09,0,-15.05,-51.32,10.51,12.47,14.306,-10.318,-20.423,-7.048,0.443,2.515,0.214,0.538,0.786,21.856,0.78,1.528,-,0,51.09,13.44,-37.65,0,27.17,0.86,0.032,0.046,0,0.913
9,2000,-355.52,-3.64,-46.236,0,-65.288,-321.6,-50.34,0,-24.66,-43.68,12.19,9.24,-6.488,-23.355,-43.905,-18.73,-23.047,5.561,0.108,0.6,0.892,-6.832,0.81,1.053,-,0,60.23,26.14,-34.09,0,13.96,1.06,0.076,0.175,0,0
9,2001,0,N/A,-61.346,0,-78.067,-285.3,-67.46,57.51,-6.79,-27.9,18.1,7.22,-1.016,-12.375,-51.096,-20.62,-9.602,-2.217,-0.453,1.004,1.453,-1.22,1.1,1.201,-,0,62.04,25.85,-36.19,0,14.12,1.01,0.072,0.049,0,0
9,2002,0,N/A,-29.515,0,-32.392,-121.35,-41.27,16.82,-75.08,-6.83,17.48,6.45,5.865,-1.59,-17.831,-3.89,-5.448,-1.508,-0.879,1.326,1.879,9.709,1.01,1.655,-,7.9,57.75,19.76,-30.09,46.18,18.47,0.94,0.051,0.016,0,0
9,2003,0,N/A,-8.265,0,-8.632,-3.02,-0.94,-0.46,-117.78,13.18,16.67,6.41,9.777,1.63,-3.812,1.896,3.436,-1.693,-0.68,1.151,1.68,21.198,0.76,2.168,-,8.35,54.67,17.8,-28.52,43.72,20.5,0.9,0.044,0.01,0.611,0.225
9,2004,Negative Equity,Negative Equity,1.686,Negative Tangible Equity,1.746,72.89,18.43,-27.87,-390.49,59.15,18.6,6.13,9.593,5.129,0.665,4.654,6.592,-1.882,-0.479,0.902,1.479,24.323,0.05,2.535,0,8.45,55.14,19.03,-27.66,43.19,19.18,0.9,0.047,0.009,0.17,0.117
9,2005,Negative Equity,Negative Equity,21.737,Negative Tangible Equity,22.607,196.48,36.42,-119.3,160.66,133.44,10.82,5.62,10.374,6.358,8.496,7.773,6.892,-8.172,-0.07,0.571,1.07,26.543,12.93,2.559,0,13.96,57.72,22.77,-20.99,26.14,16.03,0.9,0.056,0.013,0.202,0.157
9,2006,3505.263,44.6,9.591,Negative Tangible Equity,10.021,175.08,30.36,756.25,-784.35,45.54,18.05,5.51,9.929,5.088,3.922,7.55,6.231,6.037,0.067,0.402,0.933,24.28,-3.13,2.445,0,20.34,59.85,24.96,-14.55,17.95,14.62,0.9,0.062,0.024,0.472,0.278
9,2007,56.13,1.48,4.715,117.647,4.932,113.04,25.08,36.97,-63.35,22.32,25.39,5.67,8.001,3.632,1.774,6.162,4.537,2.94,0.099,0.29,0.901,21.268,3.54,2.658,0,22.93,58.93,26.72,-9.28,15.92,13.66,0.92,0.067,0.02,0.555,0.308
9,2008,58.477,1.82,8.776,78.613,9.127,147.4,32.03,27.55,79.07,40.58,21.76,5.86,8.379,4.415,3.209,6.626,7.961,1.137,0.185,0.21,0.815,22.917,2.24,2.735,0,27.16,61.91,27.89,-6.86,13.44,13.09,0.92,0.07,0.015,0.342,0.159
9,2009,33.342,4.06,8.717,40.199,9.124,139.16,30.67,2.23,17.14,34.98,13.63,8.02,8.239,4.393,3.365,6.569,7.117,0.153,0.321,0.049,0.679,21.339,1.05,2.59,0,29.18,66.3,26.97,-10.15,12.51,13.53,0.92,0.068,0.017,0.395,0.196
9,2010,22.752,2,8.153,31.705,9.071,111.47,23.86,20.2,14.65,28.61,10.76,10.29,9.135,4.607,3.68,6.418,11.914,0.048,0.381,0.018,0.619,20.238,1.55,2.215,0,19.67,75.38,29.26,-26.45,18.55,12.48,0.91,0.073,0.015,0.33,0.113
9,2011,19.008,1.61,7.065,27.403,7.973,82.94,20.65,26.8,18.44,23.72,9.72,8.73,8.803,4.111,3.368,6.151,7.356,0.093,0.365,0.034,0.635,18.467,0.85,2.098,0,13.74,79.9,31.44,-34.72,26.57,11.61,0.91,0.079,0.029,0.696,0.28
9,2012,8.631,0.85,2.863,12.486,3.19,29.25,10.62,2.77,-17.29,9.24,4.17,6.32,6.872,1.793,1.313,4.331,4.351,0.182,0.307,0.056,0.693,14.993,1.32,2.182,0,25.54,78.25,33.4,-19.31,14.29,10.93,0.93,0.085,0.038,2.101,0.464
9,2013,-0.489,-0.04,-0.135,-0.775,-0.15,11.08,5.31,-21.51,-10.4,1.45,7.09,3.51,6.775,1.107,-0.064,4.575,0.647,0.468,0.252,0.118,0.748,14.314,2.7,2.113,-,38.17,78.39,35.32,-4.9,9.56,10.33,0.93,0.09,0.062,5.599,0.906
9,2014,3.055,0.16,0.754,4.824,0.829,7.19,4.21,-22.77,7.99,3.53,6.97,3.13,6.878,1.001,0.368,5.238,2.728,0.532,0.243,0.129,0.757,14.085,-125.4,2.048,0,42.08,74.89,35.38,2.57,8.67,10.32,0.93,0.09,0.046,4.623,0.629
9,2015,-2.353,-0.18,-0.509,-3.678,-0.552,0.71,0.45,-79.49,-7.22,2.14,11.95,2.38,6.962,0.2,-0.271,5.445,2.19,1.163,0.197,0.229,0.803,13.088,2.28,1.88,-,42.57,69.64,34.63,7.56,8.57,10.54,0.93,0.088,0.055,27.489,0.715
9,2016,4.941,0.21,1,7.795,1.08,10.45,7.08,-4.62,4.22,3.08,10.74,3.44,8.789,2.087,0.557,7.764,6.217,1.059,0.207,0.219,0.793,15.773,-0.17,1.795,0,38.43,68.92,34.67,4.18,9.5,10.53,0.91,0.087,0.05,2.412,0.447
9,2017,14.515,0.78,3.201,20.369,3.417,17.18,12.42,81.43,23.71,7.12,10.79,3.29,10.308,3.078,1.744,9.186,6.912,0.789,0.231,0.182,0.769,18.924,2.51,1.836,0,37.56,68.39,32.48,1.65,9.72,11.24,0.9,0.08,0.057,1.864,0.454
9,2018,12.908,0.63,2.825,23.663,3.137,11.94,8.24,45.07,2.04,5.53,10.22,3.19,10.155,2.309,1.705,9.07,3.604,1.369,0.211,0.289,0.789,16.825,3.97,1.657,0,44.13,68.44,31.41,7.1,8.27,11.62,0.9,0.077,0.067,2.912,0.651
9,2019,28.272,1.67,6.853,56.15,7.791,22.91,15.12,64.77,43.49,13.04,13.32,3.99,13.254,5.334,4.325,12.031,7.427,0.761,0.268,0.204,0.732,21.001,1.32,1.584,0,33.7,65.77,30.01,-2.06,10.83,12.16,0.87,0.071,0.058,1.081,0.437
9,2020,21.945,1.48,5.975,34.008,6.614,19.51,13.45,39.21,2.24,10.44,11.19,3.32,13.84,5.184,4.131,13.32,7.719,1.018,0.276,0.281,0.724,20.017,0.63,1.446,0,24.39,64.46,28.44,-11.63,14.96,12.83,0.86,0.067,0.06,1.16,0.438
9,2021,27.442,1.56,7.807,36.569,8.404,20.78,15.55,38.38,13.1,12.04,7.69,2.23,13.34,5.931,5.525,13.23,6.715,0.903,0.291,0.263,0.709,18.849,1.24,1.413,0,21.44,65.31,24.16,-19.71,17.02,15.11,0.87,0.057,0.104,1.753,0.608
9,2022,28.806,2.35,8.996,33.996,9.447,21.77,16.89,37.66,1,9.28,6.62,1.8,14.115,5.295,7.101,15.834,-3.134,0.842,0.329,0.277,0.671,17.881,1.01,1.267,0,22.31,68.39,25.52,-20.56,16.36,14.3,0.86,0.06,0.13,2.454,1.318
9,2023,-1.915,-0.33,-0.616,-2.19,-0.642,-1.52,-1.22,-17.68,-23.82,1.87,9.21,1.85,13.16,2.383,-0.53,7.462,-3.287,0.959,0.316,0.303,0.684,15.317,0.99,1.164,0,26.72,64.71,27.41,-10.58,13.66,13.31,0.87,0.065,0.124,5.196,1.361
