enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
10,1996,43.318,5.46,19.951,43.318,19.951,281.92,64.03,0,0,26.2,0,0,38.039,22.61,14.328,24.061,3.075,0.06,0.461,0.027,0.539,52.968,0,1.392,0,0,57.64,147.81,90.17,0,2.47,0.62,0.251,0.05,0.219,0.617
10,1997,45.299,7.76,24.717,45.299,24.717,310.08,66.1,0,45.97,32.73,0,0,41.679,24.608,16.358,26.138,0.441,0,0.6,0,0.4,62.978,1.16,1.511,0,0,60.79,135.53,74.74,0,2.69,0.58,0.217,0.061,0.248,0.933
10,1998,40.3,3.51,25.537,40.3,25.537,205.53,55.08,0,19.3,31.83,0,-,43.978,25.256,18.25,27.213,-7.039,0,0.659,0,0.341,61.537,5.58,1.399,0,0,78.47,164.04,85.57,0,2.23,0.56,0.252,0.051,0.201,0
10,1999,13.26,1.47,7.761,13.26,7.761,32.92,14.6,0,-115.99,9.92,8.29,0,42.565,11.392,7.958,15.762,-19.538,0.544,0.533,0.29,0.467,41.51,0.53,0.975,0,0,73.13,261.56,188.43,0,1.4,0.57,0.412,0.126,1.11,0
10,2000,14.292,0.56,6.036,14.55,6.081,23.58,7.73,3.03,-15.71,6.81,10.38,0,36.913,7.129,6.747,10.681,-5.992,1.291,0.359,0.463,0.641,33.022,0.49,0.895,0,0,49.78,188.39,138.61,0,1.94,0.63,0.326,0.092,1.286,2.885
10,2001,41.707,3.84,16.035,42.743,16.186,116.55,28.01,23.83,19.45,26.61,10.21,0,44.191,22.612,15.987,25.667,2.473,0.846,0.405,0.343,0.545,44.325,-2.49,1.003,0,0,51.77,139.11,87.34,0,2.62,0.56,0.213,0.061,0.269,0.711
10,2002,-43.525,-5.99,-15.833,-44.252,-15.928,-62.71,-26.86,-225.5,-265.82,-25.61,9.72,0,2.812,-34.503,-25.971,-25.893,-31.571,1.252,0.337,0.421,0.658,1.714,0.05,0.61,-,112.83,48.09,139.31,204.05,3.24,2.62,0.97,0.371,0.188,0,0
10,2003,-17.389,-5.78,-6.399,-17.611,-6.429,-6.64,-3.75,232.14,1144.56,-3.48,13.34,0,23.874,-4.801,-10.61,3.676,-9.84,0.824,0.398,0.328,0.597,14.398,1.02,0.603,-,98.42,57.26,182.56,223.72,3.71,2,0.76,0.381,0.071,0,0
10,2004,-14.352,-2.08,-5.714,-14.523,-5.741,-12.93,-6.08,77.37,-38.71,-6.27,16.03,0,23.904,-8.462,-10.385,0.924,28.384,0.754,0.398,0.3,0.598,13.153,0.06,0.55,-,91.84,61.75,186.65,216.74,3.97,1.96,0.76,0.389,0.046,0,0.14
10,2005,19.318,4.68,8.018,19.683,8.081,44.88,16.84,27.74,790.35,21.06,14.18,0,36.734,15.132,9.551,18.791,7.151,0.587,0.429,0.252,0.571,30.841,0.64,0.84,0,58.59,63.77,147.79,142.61,6.23,2.47,0.63,0.256,0.03,0.201,0.298
10,2006,18.966,3.95,8.393,19.325,8.463,66.74,17.67,-662.33,-13.76,31.88,14.32,0,38.521,17.759,12.316,21.339,25.261,0.223,0.456,0.102,0.544,26.253,1.41,0.682,0,62.87,85.9,186.43,163.4,5.81,1.96,0.61,0.314,0.029,0.162,0.102
10,2007,33.503,8.11,16.897,33.874,16.991,154.45,35.46,83.46,34.64,59.66,12.11,0,40.594,24.083,17.269,26.515,11.769,0.18,0.546,0.098,0.454,39.719,0.87,0.978,0,48.11,54.52,129.16,122.75,7.59,2.83,0.59,0.21,0.02,0.082,0.144
10,2008,34.753,7.09,17.548,36.48,17.977,85.28,30.9,50.28,10.77,39.52,10.86,0,41.125,21.621,17.807,24.974,13.849,0.316,0.469,0.148,0.531,40.526,-4.13,0.985,0,60.42,47.65,150.93,163.7,6.04,2.42,0.59,0.243,0.048,0.22,0.256
10,2009,15.932,5.47,7.742,17.383,8.069,27.62,12.16,8.02,460.69,15.41,7.66,7.69,34.381,9.718,10.914,16.208,0.709,0.325,0.505,0.164,0.495,24.388,0.83,0.709,0.286,71.15,46.98,206.05,230.22,5.13,1.77,0.66,0.37,0.088,0.905,0.925
10,2010,-8.342,-1.47,-4.07,-9.086,-4.24,-9.54,-4.43,-28.8,323.85,-8.49,8.66,7.88,28.72,-10.221,-9.456,1.333,-0.361,0.394,0.471,0.186,0.529,12.362,1.1,0.43,-,92.26,61.89,303.12,333.49,3.96,1.2,0.71,0.592,0.066,0,1.058
10,2011,43.208,9.48,19.786,46.341,20.418,89.06,36.05,21.8,288.49,52,8.94,3.15,43.372,27.744,22.667,31.439,17.998,0.256,0.449,0.115,0.551,37.859,0.66,0.873,0.094,62.32,55.95,182.94,189.31,5.86,2,0.57,0.284,0.029,0.103,0.137
10,2012,47.073,12.36,21.775,49.538,22.288,106.03,36.18,30.59,209.7,66.27,8.81,4.65,43.344,29.043,25.959,31.966,31.314,0.214,0.474,0.101,0.526,36.358,1.57,0.839,0.127,64.92,57.15,178.4,186.17,5.62,2.05,0.57,0.277,0.053,0.183,0.145
10,2013,30.487,6.21,15.606,31.815,15.947,69.94,22.32,16.11,-92.27,46.66,9.05,3.04,42.381,24.448,24.227,28.392,11.073,0.187,0.549,0.102,0.451,27.3,1.34,0.644,0.223,57.4,42.47,233.35,248.28,6.36,1.56,0.58,0.368,0.038,0.155,0.255
10,2014,18.773,4.31,10.912,25.774,12.957,53.96,14.31,27.54,-5.91,23.9,8.42,3.72,41.509,18.75,19.36,23.111,16.002,0.155,0.601,0.093,0.399,23.395,0.94,0.564,0.23,50.73,48,248.17,250.9,7.19,1.47,0.58,0.398,0.041,0.218,0.204
10,2015,15.742,3.12,9.575,26.514,12.718,48.87,12.7,-2.07,16.47,17.58,7.95,0.9,44.335,20.512,20.434,24.86,11.338,0.154,0.616,0.095,0.384,20.775,0.8,0.469,0.222,63.21,66.71,291.58,288.08,5.77,1.25,0.56,0.445,0.062,0.301,0.352
10,2016,16.424,3.95,10.234,27.628,13.695,54.06,14.3,-16.23,90.81,18.67,6.65,1.48,46.056,23.569,22.063,28.292,26.284,0.135,0.631,0.085,0.369,21.363,0.77,0.464,0.213,57.91,58.63,293.79,293.07,6.3,1.24,0.54,0.434,0.059,0.252,0.184
10,2017,16.856,3.62,10.071,35.349,14.651,64.4,13.62,2.23,1,16.9,6.1,0,45.749,24.214,22.659,29.405,19.508,0.338,0.571,0.193,0.429,20.335,1.29,0.444,0.29,40.62,55.7,266.12,251.04,8.99,1.37,0.54,0.396,0.047,0.195,0.195
10,2018,21.165,3.63,12.329,49.805,18.54,77.47,17.09,17.06,21.57,18.33,6.27,1.99,44.855,26.152,23.059,30.81,16.293,0.281,0.592,0.166,0.408,23.983,0.86,0.535,0.244,48.14,50.44,200.66,198.36,7.58,1.82,0.55,0.303,0.04,0.153,0.197
10,2019,22.683,4.58,13.271,45.995,18.865,80.34,18.55,19.82,75.2,18.74,8.18,1.04,45.954,27.095,23.681,30.958,22.507,0.26,0.578,0.15,0.422,25.753,0.91,0.56,0.233,55.17,56.62,200.99,199.54,6.62,1.82,0.54,0.298,0.056,0.206,0.198
10,2020,21.152,2.38,11.988,39.62,16.292,73.82,16.17,17.91,-0.72,17.25,8.76,1.18,44.668,23.611,21.932,27.503,20.224,0.247,0.556,0.137,0.444,24.417,-0.17,0.547,0.511,51.27,57.18,204.56,198.65,7.12,1.78,0.55,0.31,0.075,0.317,0.27
10,2021,28.019,2.33,14.827,48.908,19.157,125.91,21.92,27.2,58.31,22.08,6.68,1.15,48.626,28.984,25.423,32.555,25.946,0.337,0.508,0.172,0.492,28.36,0.84,0.583,0.299,38.41,59.67,204.54,183.28,9.5,1.78,0.51,0.288,0.072,0.247,0.216
10,2022,46.937,1.68,19.746,87.497,24.53,218.83,33.65,33.83,63.9,28.35,6.73,1.14,52.705,35.121,31.611,38.854,53.224,0.452,0.335,0.152,0.665,32.923,1.13,0.625,0.234,43.53,74.64,209.39,178.28,8.39,1.74,0.47,0.271,0.051,0.144,0.087
10,2023,57.31,2.48,16.41,134.638,19.64,173.92,34.81,20.75,-0.29,22.87,11.46,1.33,50.536,30.702,26.563,33.535,33.851,0.484,0.243,0.117,0.757,31.22,4.67,0.618,0.454,73.73,84.03,221.72,211.42,4.95,1.65,0.49,0.3,0.062,0.203,0.155
