enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
18,1994,34.552,8.39,4.537,42.559,4.652,20.51,8.04,-5.97,102.75,6.08,8.13,0,27.619,6.87,5.613,12.622,6.655,2.468,0.149,0.367,0.851,22.323,-0.05,0.808,0.188,0,83.08,69.47,-13.61,0,5.25,0.72,0.138,0.054,0.792,0.45
18,1995,37.378,9.84,6.15,42.257,6.269,43.25,15.74,-48.59,100.24,9.27,11.89,0,29.153,11.474,6.665,16.241,7.419,2.028,0.179,0.363,0.821,26.899,0.46,0.923,0.102,0,84.12,60.41,-23.71,0,6.04,0.71,0.117,0.048,0.422,0.395
18,1996,36.069,10.73,6.868,38.561,6.954,36.5,18.33,-219.68,41.3,10.22,6.73,0,29.579,12.282,7.068,16.526,9.401,1.889,0.201,0.38,0.799,28.742,1,0.972,0.232,97.31,83.9,60.56,73.97,3.75,6.03,0.7,0.117,0.042,0.344,0.31
18,1997,36.274,10.42,7.655,38.333,7.743,30.46,20.33,408.8,11.6,10.88,9.17,0,32.599,13.842,8.238,18.055,6.119,1.812,0.22,0.398,0.78,30.294,1.55,0.929,0.235,105.01,89.1,67.9,83.81,3.48,5.38,0.67,0.125,0.047,0.337,0.433
18,1998,37.862,9.94,8.434,39.957,8.533,33.22,21.39,23.72,18.1,11.62,6.65,0,33.231,14.748,8.798,18.647,5.231,1.831,0.225,0.413,0.775,31.856,1.07,0.959,0.229,108.13,89.78,69.69,88.04,3.38,5.24,0.67,0.127,0.058,0.396,0.528
18,1999,30.846,9.64,6.595,36.279,6.813,27.56,17.38,12.81,0.54,9.94,5.55,0,32.469,13.072,7.213,17.195,2.427,2.427,0.204,0.496,0.796,29.688,3.52,0.914,0.293,114.55,89.1,70.15,95.6,3.19,5.2,0.68,0.13,0.06,0.463,0.714
18,2000,17.856,5.85,3.65,24.219,3.857,17.74,11.53,-1.71,-17.74,6.11,6.18,0,31.296,10.425,4.802,15.222,6.649,2.526,0.205,0.517,0.795,23.789,1.44,0.76,0.543,135.38,74.98,73.29,133.69,2.7,4.98,0.69,0.138,0.065,0.623,0.494
18,2001,19.033,6.56,3.817,26.276,4.04,19.38,12.65,-4.19,20.02,6.82,5.28,0,28.144,12.02,5.219,17.086,3.326,2.691,0.197,0.529,0.803,20.582,0.85,0.731,0.457,140.37,54.66,66.54,152.25,2.6,5.49,0.72,0.131,0.069,0.572,0.674
18,2002,14.361,4.49,2.723,20.042,2.878,9.51,6.51,-19.59,187.65,3.51,5.43,0,25.579,6.411,3.936,12.127,0.093,2.959,0.183,0.542,0.817,17.696,0.6,0.692,0.677,147.43,53.51,67.36,161.28,2.48,5.42,0.74,0.137,0.096,1.501,0.99
18,2003,14.4,5,2.519,20.65,2.66,17.46,9.26,-22.8,8.82,4.89,4.76,4.64,24.841,9.155,3.96,15.552,-28.459,3.264,0.167,0.546,0.833,15.801,-0.03,0.636,0.649,152.89,47.15,68.54,174.28,2.39,5.33,0.75,0.141,0.088,0.961,0
