enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
20,1994,9.023,4.18,2.16,9.023,2.16,10.31,9.66,0.78,14.81,4.05,7.23,0,20.478,6.76,1.937,13.464,0.733,1.2,0.244,0.292,0.756,22.833,-6.91,1.115,2.074,40.68,48.26,21.99,14.41,8.97,16.6,0.8,0.048,0.097,1.434,0.93
20,1995,17.16,7.76,4.308,17.16,4.308,13.92,12.65,-62.93,40.51,7.15,10.56,0,21.485,9.008,3.914,15.428,0.396,1.058,0.258,0.273,0.742,23.648,3.26,1.101,0.707,42.21,51.12,20.02,11.11,8.65,18.23,0.79,0.043,0.093,1.036,0.959
20,1996,15.274,7.14,4.006,15.274,4.006,16.46,14.99,148.5,-5.28,6.46,8.04,0,22.173,10.066,3.469,16.508,1.035,0.977,0.266,0.26,0.734,25.609,-0.15,1.155,0.695,40.28,49.69,17.9,8.49,9.06,20.39,0.78,0.038,0.108,1.07,0.912
20,1997,35.032,16.76,10.209,35.032,10.209,21.02,19.06,97.69,32.43,10.97,9.33,0,22.642,11.799,8.243,17.752,3.423,0.736,0.314,0.231,0.686,28.042,4.75,1.239,0.578,40.52,49.06,14.58,6.04,9.01,25.03,0.77,0.031,0.098,0.828,0.741
20,1998,21.158,10.42,6.998,21.158,6.998,22.48,20.13,38.46,16.03,9.94,7.32,0,25.383,14.244,6.218,19.398,1.31,0.625,0.347,0.217,0.653,28.568,-1.49,1.126,0.392,43.84,52.95,15.41,6.3,8.33,23.68,0.75,0.032,0.132,0.93,0.91
20,1999,5.247,2.7,1.688,5.247,1.688,9.87,8.89,-13.88,-86.58,4.98,5.61,0,24.204,8.822,2.001,16.412,-3.563,1.013,0.297,0.301,0.703,20.423,1.43,0.844,0.657,46.21,58.67,21.14,8.68,7.9,17.27,0.76,0.044,0.173,1.964,1.259
20,2000,13.891,6.95,4.141,13.891,4.141,14.64,13.07,8.74,71.96,6.73,5.93,0,24.668,11.688,4.397,18.2,1.812,0.946,0.299,0.283,0.701,23.231,3.03,0.942,0.574,40.71,52.61,18.45,6.55,8.97,19.78,0.75,0.038,0.122,1.044,0.871
20,2001,34.993,19.23,10.429,34.993,10.429,46.97,41.15,18.94,40.09,19.6,5.73,0,38.196,27.109,8.261,32.295,8.86,1.13,0.297,0.336,0.703,48.216,0.73,1.262,0.194,29.04,46.93,11.42,-6.47,12.57,31.95,0.62,0.019,0.089,0.33,0.502
20,2002,16.258,13.33,5.961,19.212,6.318,19.1,15.51,15.24,-7.98,7.4,6.91,0,34.674,14.686,6.636,20.056,2.169,0.603,0.407,0.246,0.593,31.149,0.72,0.898,0.262,21.93,49.61,31.35,3.67,16.64,11.64,0.65,0.056,0.12,0.82,0.847
20,2003,-1.345,-1.58,-0.527,-2.346,-0.632,27.61,19.52,-16.53,1.8,6.09,6.11,0,25.664,16.108,-0.516,19.994,1.032,0.67,0.384,0.257,0.607,26.202,-0.68,1.021,1.001,17.9,36.4,27.03,8.53,20.4,13.51,0.74,0.055,0.077,0.476,0.881
