enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
21,1994,-6.457,-3.18,-2.756,-6.457,-2.756,18.77,14.88,-33.14,54.79,6.87,5.74,0,11.901,2.38,-0.682,3.252,-1.376,0.565,0.398,0.225,0.594,48.089,-0.25,4.041,0,0,24.46,28.33,3.87,0,12.88,0.88,0.068,0.029,1.21,1.915
21,1995,8.322,3.87,3.085,8.322,3.085,5.32,4.67,-14.33,174.15,2.27,6.79,0,10.176,0.695,0.747,1.488,-1.409,0.773,0.345,0.267,0.644,42.017,3.38,4.129,0,0,26.17,30.44,4.27,0,11.99,0.9,0.075,0.03,4.262,1.906
21,1996,15.04,6.84,5.322,15.04,5.322,18.1,16.68,5.06,48.85,8.44,5.4,0,12.178,2.508,1.272,3.334,-0.411,0.725,0.362,0.262,0.623,50.973,0.27,4.186,0,0,26.06,31.04,4.98,0,11.76,0.88,0.075,0.026,1.033,1.189
21,1997,14.706,4.71,6.011,14.706,6.011,19.22,17.46,0.55,19.95,9.2,9.88,0,12.534,2.655,1.427,3.486,0.168,0.382,0.451,0.172,0.533,52.785,1.16,4.211,0,0,24.94,30.4,5.46,0,12.01,0.87,0.073,0.025,0.953,0.938
21,1998,16.923,4.91,7.836,16.923,7.836,24.04,20.79,51.61,34.77,11.48,10.56,0,12.717,3.244,1.895,4.053,0.683,0.314,0.474,0.149,0.509,52.598,1.06,4.136,0,0,25.84,30.99,5.15,0,11.78,0.87,0.074,0.024,0.726,0.775
21,1999,12.228,2.61,5.773,12.228,5.773,23.56,19.77,14.17,5.15,10.94,13.11,0,12.786,3.133,1.447,3.951,0.557,0.26,0.471,0.122,0.513,51.008,-1.59,3.989,0,2.24,26.81,31.41,6.84,162.85,11.62,0.87,0.075,0.029,0.916,0.837
21,2000,16.248,4.48,7.825,16.248,7.825,23.74,21.03,15.84,8.66,10.81,13.07,0,12.736,3.226,1.963,4.016,-0.491,0.189,0.491,0.093,0.496,50.766,2.68,3.986,0,1.95,26.72,30.56,5.79,187.56,11.94,0.87,0.073,0.038,1.184,1.148
21,2001,13.199,3.85,6.431,13.199,6.431,18.62,17.71,10.61,-4.64,8.93,10.87,0,12.067,2.852,1.73,3.718,-1.193,0.216,0.484,0.104,0.505,44.851,1.02,3.717,0,2.62,29.37,31.19,4.44,139.43,11.7,0.88,0.075,0.042,1.459,1.402
21,2002,13.236,4.96,6.449,13.236,6.449,18.32,17.21,7.79,11.88,9.43,8.43,0,12.33,2.919,1.806,3.801,-0.053,0.231,0.49,0.113,0.5,44.029,1.05,3.571,0,3.76,30.14,31.5,5.12,96.95,11.59,0.88,0.076,0.027,0.918,1.02
21,2003,11.772,5.23,5.812,11.772,5.812,17.16,15.07,10.38,3.91,8.88,8.09,0,12.481,2.719,1.695,3.638,1.637,0.204,0.497,0.101,0.494,42.803,1.52,3.429,0,4.42,29.48,31.69,6.63,82.54,11.52,0.88,0.076,0.019,0.701,0.538
21,2004,12.446,4.98,6.24,12.446,6.24,19.54,16.2,6.8,18.03,9.87,8.18,0,12.509,2.88,1.834,3.796,2.891,0.173,0.505,0.088,0.491,42.553,1.06,3.402,0.108,3.38,29.19,30.28,4.47,107.96,12.06,0.87,0.073,0.015,0.509,0.337
