enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
29,2002,0,N/A,-,0,-,-,-,0,0,0,0,-,83.537,64.446,8.082,64.446,-,N/A,0,0,0,-,0,0,-,0,0,0,0,0,-,0.16,0,0,0,0
29,2003,57.289,N/A,34.736,57.321,34.748,346.05,94.98,0,0,103.84,0,23.66,70.078,42.426,22.674,49.252,26.863,0.062,0.606,0.038,0.394,107.357,0,1.532,0,51.48,26.07,0,25.41,7.09,-,0.3,0,0.085,0.199,0.24
29,2004,27.703,N/A,18.241,32.157,20.072,287.57,83.65,0,0,45.24,0,22.11,57.307,23.362,7.207,27.534,14.915,0.011,0.676,0.008,0.324,145.048,0,2.531,0,26.98,16.2,0,10.78,13.53,-,0.43,0,0.121,0.516,0.447
29,2005,22.691,0.06,19.075,24.803,20.545,181.02,36.08,0,115.09,77.85,10.24,20.26,54.294,26.376,12.515,25.071,19.476,0.001,0.884,0.001,0.116,82.755,-0.14,1.524,0,26.7,9.87,0,16.83,13.67,-,0.46,0,0.112,0.423,0.364
29,2006,23.735,0.09,21.574,24.677,22.349,249.95,34.28,0,110.39,112.87,10.39,40.8,58.018,34.329,23.872,39.688,26.41,0,0.917,0,0.083,52.432,2.11,0.904,0,29.72,10.5,0,19.22,12.28,-,0.42,0,0.137,0.398,0.341
29,2007,23.262,0.14,21.412,25.34,23.16,174.46,26.6,0,26.88,68.3,10.71,-,60.16,33.475,29.019,38.868,15.82,0,0.922,0,0.078,44.389,1.43,0.738,0,34.6,14.11,0,20.49,10.55,-,0.4,0,0.179,0.536,0.531
29,2008,21.162,0.11,19.191,23.959,21.463,130.11,25.13,0,30.07,46.42,11.6,-,59.931,30.64,25.333,36.471,20.324,0,0.896,0,0.104,45.401,0.72,0.758,0,38.33,13.54,0,24.79,9.52,-,0.4,0,0.145,0.473,0.416
29,2009,16.6,0.24,14.805,19.964,17.423,108.78,25.14,26.4,15.45,39.1,12.09,-,60.442,30.428,19.394,37.31,25.207,0,0.889,0,0.111,46.141,0,0.763,0,40.23,9.74,0,30.49,9.07,-,0.4,0,0.108,0.356,0.3
29,2010,20.298,0.19,18.045,24.731,21.465,119.55,24.94,24.76,-1668.89,44.32,10.33,-,62.606,35.144,27.568,41.88,35.965,0,0.889,0,0.111,40.98,2.01,0.655,0,44.91,8.13,0,36.78,8.13,-,0.37,0,0.034,0.097,0.087
29,2011,20.682,0.25,17.296,24.557,19.925,140.07,25.23,19.64,24.3,45.32,9.94,0.14,64.473,35.405,29.007,41.598,24.089,0.075,0.799,0.06,0.201,38.443,1.04,0.596,0,46.25,12.25,0,34,7.89,-,0.36,0,0.137,0.387,0.363
29,2012,18.656,0.26,14.931,22.089,17.052,135.58,22.21,15.94,79.66,43.02,6.88,1.51,65.208,32.297,25.688,37.554,29.355,0.072,0.801,0.058,0.199,37.902,0.84,0.581,0,46.6,14.82,0.97,32.75,7.83,376.8,0.35,0.001,0.091,0.281,0.236
29,2013,16.536,0.25,12.907,20.864,15.4,131.03,20.34,15.59,8.96,35.39,8.98,1.75,62.692,30.048,23.322,38.046,28.989,0.077,0.765,0.059,0.235,34.697,0.5,0.553,0,52.77,27.63,5.74,30.88,6.92,63.61,0.37,0.006,0.071,0.237,0.197
29,2014,16.014,0.19,12.44,20.628,15.055,102.54,18.32,12.11,30.75,30.49,8.76,1.51,60.387,27.744,22.935,35.878,20.355,0.06,0.787,0.047,0.213,32.753,1.84,0.542,0,55.12,37.05,8.38,26.45,6.62,43.55,0.4,0.009,0.133,0.478,0.394
