enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
34,1994,-33.727,-20.08,-9.519,-36.588,-9.733,-25.64,-15.37,66.72,50.39,0.4,4.49,4.49,38.504,0.491,-12.735,-1.376,5.845,1.385,0.243,0.337,0.757,28.779,0.15,0.747,-,100.65,30.98,75.47,145.14,3.63,4.84,0.61,0.127,0.074,15.133,0.56
34,1995,14.002,7.57,3.725,16.56,3.885,29.31,12.79,19.05,-417.32,5.03,8.41,4.96,40.346,7.987,4.821,20.229,11.735,0.945,0.289,0.273,0.711,31.176,0.98,0.773,0.199,82.02,35.04,67.85,114.83,4.45,5.38,0.6,0.111,0.071,0.887,0.376
34,1996,18.23,8.44,5.178,20.656,5.356,37.97,16.99,-27.93,-226.24,7,7.66,3.31,42.212,10.552,5.808,19.655,7.146,0.965,0.279,0.269,0.721,37.633,1.15,0.892,0.142,82.76,36.39,55.56,101.93,4.41,6.57,0.58,0.088,0.077,0.733,0.52
34,1997,24.649,7.17,6.726,27.012,6.891,39.82,19.43,-158.39,440.85,6.46,10.48,3.22,38.156,8.271,7.394,19.496,5.58,1.056,0.267,0.281,0.733,34.711,4.83,0.91,0.184,86.71,37.29,49.01,98.43,4.21,7.45,0.62,0.083,0.084,1.017,0.601
34,1998,29.404,6.01,7.493,31.095,7.598,40.3,20.51,195.39,314.29,10.17,11.55,2.93,38.988,11.589,7.761,18.796,2.239,1.359,0.243,0.33,0.757,37.642,4.05,0.965,0.14,82.64,38.03,41.95,86.56,4.42,8.7,0.61,0.07,0.091,0.781,0.802
34,1999,32.245,3.83,7.551,33.454,7.616,37.51,20.05,19.88,6.08,10.18,10.5,2.53,37.802,11.221,7.749,18.055,3.065,1.514,0.226,0.342,0.774,36.84,-453.72,0.975,0.14,85.76,41.2,37.15,81.71,4.26,9.83,0.62,0.063,0.083,0.739,0.73
34,2000,38.614,4.26,8.885,39.202,8.916,56.26,25.69,18.44,85.52,11.83,11.02,2.52,36.47,13.623,8.809,21.781,4.213,1.382,0.234,0.324,0.766,36.786,0.9,1.009,0.12,64.07,41.51,33.04,55.6,5.7,11.05,0.64,0.057,0.073,0.539,0.635
34,2001,39.348,5.67,9.205,39.349,9.205,71.43,24.54,12.62,-172.8,12.21,9.64,2.52,36.68,13.161,9.155,19.51,3.499,1.386,0.233,0.323,0.767,36.878,-4.16,1.005,0.121,46.42,47.58,31.41,30.25,7.86,11.62,0.63,0.054,0.07,0.531,0.666
34,2002,35.047,4.13,8.646,36.397,8.726,59.34,18.4,4.08,-9.06,9.76,11.07,0,38.389,11.864,9.297,17.289,10.378,1.158,0.26,0.301,0.74,35.7,1.04,0.93,0.166,49.18,54.34,32.34,27.18,7.42,11.29,0.62,0.055,0.065,0.548,0.385
34,2003,15.483,2.76,3.832,17.931,3.966,49.57,13.1,-8.18,609.46,6.28,12.51,0.55,37.302,8.371,4.408,14.98,10.393,1.142,0.236,0.27,0.764,32.426,1.76,0.869,0.218,48.83,52.62,26.72,22.93,7.47,13.66,0.63,0.046,0.066,0.787,0.388
34,2004,25.897,4.81,6.527,35.141,6.991,65.65,14.85,-2.42,877.81,7.89,12.29,0.58,36.516,9.685,7.358,16.244,10.729,0.848,0.267,0.226,0.733,32.395,3.32,0.887,0.186,46.48,51.89,19.64,14.23,7.85,18.58,0.63,0.034,0.056,0.576,0.342
34,2005,25.118,5.14,6.942,36.769,7.609,72.38,15.66,-0.39,11.34,8.47,12.56,0.6,36.938,9.986,7.767,16.328,10.689,0.724,0.285,0.207,0.715,33.017,0.88,0.894,0.18,44.87,53.81,18.81,9.87,8.13,19.41,0.63,0.032,0.053,0.526,0.329
34,2006,24.493,6.58,7.321,36.515,8.12,86.04,17.55,7.75,13.43,7.62,9.32,0.97,40.086,10.288,8.706,19.35,11.28,0.684,0.313,0.214,0.687,33.709,1.2,0.841,0.212,46.08,56.13,20.58,10.53,7.92,17.74,0.6,0.034,0.051,0.494,0.311
34,2007,30.816,6.29,9.084,53.562,10.384,96.43,20.33,23.4,87.99,10.64,13.55,1.23,41.887,13.048,10.382,20.321,10.777,0.796,0.276,0.22,0.724,36.649,2.8,0.875,0.207,44.78,52.6,19.41,11.59,8.15,18.8,0.58,0.031,0.057,0.433,0.344
34,2008,36.57,7.28,9.316,81.623,10.84,102.3,21.69,15.84,2.18,10.9,11.45,2.11,42.242,13.682,10.546,20.551,10.714,1.239,0.236,0.293,0.764,37.314,1.53,0.883,0.236,44.81,51.23,17.51,11.09,8.15,20.85,0.58,0.028,0.056,0.407,0.342
34,2009,58.824,7.36,10.727,555.711,12.817,118.34,24.28,17.71,-26.14,12.77,6.86,1.95,44.062,15.381,11.902,22.038,13.437,2.519,0.123,0.31,0.876,39.713,1.58,0.901,0.229,43.28,47.44,16.89,12.73,8.43,21.61,0.56,0.026,0.047,0.307,0.26
34,2010,74.373,10.32,12.286,Negative Tangible Equity,15.366,130.24,26.47,17.34,-11.49,15.15,7.14,1.34,45.725,17.766,14.02,24.577,17.436,1.153,0.208,0.239,0.791,40.069,1.9,0.876,0.233,45.66,50.74,18.24,13.16,7.99,20.01,0.54,0.027,0.043,0.24,0.196
34,2011,64.939,8.69,13.335,Negative Tangible Equity,17.334,142.18,27.54,15.74,49.86,17.82,6.52,1.34,46.073,19.369,14.852,24.954,14.814,1.242,0.203,0.252,0.796,41.366,1.85,0.898,0.214,43.58,51.64,16.75,8.69,8.38,21.79,0.54,0.025,0.048,0.246,0.243
