enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
44,1994,17.795,4.94,9.129,19.056,9.45,19.53,18.24,9.45,86.82,10.31,9.38,0,63.75,25.945,14.612,33.617,4.899,0.592,0.521,0.308,0.451,39.826,1.78,0.625,0.156,0,50.22,5.91,-44.31,0,61.73,0.36,0.006,0.178,0.685,0.784
44,1995,18.609,5.69,9.556,19.973,9.903,20.15,19.55,10.22,5.8,10.42,11.88,0,64.032,25.927,14.715,33.481,4.658,0.578,0.507,0.293,0.462,41.581,1.12,0.649,0.142,0,55.19,5.73,-49.46,0,63.68,0.36,0.006,0.185,0.713,0.799
44,1996,19.358,4.6,9.841,20.793,10.199,20.68,20.16,12.8,26.99,10.77,11.84,0,63.013,25.48,14.573,32.718,2.374,0.615,0.51,0.314,0.447,42.555,1.27,0.675,0.134,0,54.09,5.47,-48.62,0,66.78,0.37,0.006,0.211,0.827,0.899
44,1997,18.97,5.03,9.589,20.56,9.979,19.05,17.92,11.91,8.14,10.8,10.54,0,83.122,24.206,14.716,31.158,-0.487,0.634,0.501,0.318,0.499,54.162,2.61,0.652,0.136,0,121.65,12.91,-108.74,0,28.27,0.17,0.006,0.235,0.971,1.021
44,1998,18.697,5.05,9.22,19.527,9.418,18.39,17.67,10.38,1.57,9.88,8.9,0,82.655,23.62,14.397,30.578,1.906,0.73,0.485,0.354,0.515,52.937,1.54,0.64,0.145,0,118.84,12.92,-105.92,0,28.25,0.17,0.006,0.195,0.826,0.911
44,1999,16.926,3.08,8.153,16.926,8.153,19.5,18.58,6.08,21.17,10.21,9.48,0,61.049,24.339,12.479,31.433,6.188,0.744,0.478,0.356,0.522,39.884,-0.42,0.653,0.141,17.91,47.98,5.58,-24.49,20.38,65.47,0.39,0.006,0.161,0.661,0.722
44,2000,20.393,3.61,9.556,21.835,9.861,19.86,18.37,8.21,7.89,10.23,9.9,0,60.837,24.243,14.691,31.455,6.037,0.752,0.459,0.346,0.541,39.574,4.37,0.65,0.141,18.13,42.42,5.62,-18.67,20.13,64.91,0.39,0.006,0.167,0.687,0.734
44,2001,20.987,4.35,9.269,24.504,9.896,18.78,16.92,7.13,5.25,9.82,8.39,0,52.031,21.999,13.883,29.095,2.674,0.921,0.424,0.391,0.576,34.738,-1.98,0.668,0.157,19.28,33.94,4.86,-9.8,18.93,75.08,0.48,0.006,0.166,0.757,0.862
44,2002,17.51,4.9,7.402,20.678,7.915,15.71,13.62,1.84,61.51,8.82,5.67,0,50.553,18.137,11.006,25.443,3.03,0.94,0.421,0.396,0.579,34.001,1.03,0.673,0.164,20.6,34.11,5.08,-8.43,17.72,71.8,0.49,0.007,0.15,0.83,0.832
44,2003,9.039,4.57,3.843,10.643,4.106,11.78,10.1,-8.18,-37.65,5.73,5.7,0,50.223,13.715,5.8,20.536,2.193,0.971,0.429,0.416,0.571,33.275,2.05,0.663,0.195,20.58,31.54,5.17,-5.79,17.74,70.61,0.5,0.007,0.166,1.208,0.883
