enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
48,1994,29.797,4.56,25,29.797,25,82.58,44.88,19.6,24.49,37.57,13.22,-,88.686,37.126,24.651,42.224,28.286,0,0.83,0,0.17,89.943,0.6,1.014,0,0,195.34,79.45,-115.89,0,4.59,0.11,0.025,0.06,0.161,0.175
48,1995,29.705,2.97,23.113,29.705,23.113,76.92,39.52,18.7,19.36,33.14,13.71,-,89.759,34.327,24.474,38.858,25.181,0,0.74,0,0.243,84.769,1.5,0.944,0,0,266.25,57.03,-209.22,0,6.4,0.1,0.016,0.083,0.243,0.249
48,1996,35.863,3.46,25.371,35.863,25.371,95.86,45.5,20.06,31.66,35.17,10.45,-,91.835,35.498,25.314,41.033,37.193,0,0.684,0,0.303,92.042,0.91,1.002,0,0,353.4,45.37,-308.03,0,8.05,0.08,0.01,0.057,0.16,0.133
48,1997,39.061,2.5,28.219,39.061,28.219,121.44,52.82,25.46,35.61,38.05,14.43,-,86.486,40.809,28.938,45.476,35.104,0,0.749,0,0.251,84.338,0.9,0.975,0,29.97,173,0,-143.03,12.18,-,0.14,0,0.042,0.102,0.106
48,1998,32.769,1.9,24.439,32.769,24.439,108.69,48.97,24.3,13.32,30.54,13.78,-,90.591,43.965,29.42,50.675,49.712,0,0.744,0,0.256,75.256,0.67,0.831,0,29.18,188.09,0,-158.91,12.51,-,0.09,0,0.055,0.126,0.1
48,1999,34.55,2.06,25.532,34.55,25.532,212.87,43.24,30.52,33.2,30.86,14.51,-,90.864,50.858,39.424,55.973,63.574,0,0.736,0,0.264,58.847,1.4,0.648,0,34.24,165.2,0,-130.96,10.66,-,0.09,0,0.03,0.058,0.044
48,2000,26.992,2.64,20.757,26.992,20.757,626.41,30.48,24.85,13.8,26.51,16.65,-,86.923,47.944,41.039,53.389,45.944,0,0.793,0,0.207,43.964,2,0.506,0,43.69,118.97,0,-75.28,8.36,-,0.13,0,0.038,0.08,0.077
48,2001,16.572,1.99,13.238,16.937,13.471,556.51,25.49,10.92,-18.92,27.6,16.4,-,86.342,46.331,29.04,52.404,48.699,0,0.804,0,0.196,39.36,-3.45,0.456,0,49.93,119.96,8.77,-61.26,7.31,41.63,0.14,0.003,0.044,0.094,0.082
48,2002,15.742,2.8,12.38,16.33,12.741,520.43,22.8,8.38,10.54,28.72,16.5,-,81.699,41.988,27.601,45.81,48.437,0,0.771,0,0.229,36.646,3.74,0.449,0,56.62,84.24,26.58,-1.04,6.45,13.73,0.18,0.013,0.027,0.065,0.053
48,2003,12.863,3.03,10.083,13.459,10.445,425.07,15.56,-0.28,-37.28,20.58,12.48,-,81.176,29.655,23.398,33.983,46.311,0,0.794,0,0.206,34.982,0,0.431,0.135,58.54,83.77,39.55,14.32,6.23,9.23,0.19,0.02,0.028,0.093,0.056
