enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
51,1994,17.641,7.11,13.102,19.451,14.074,80.9,29,8.57,59.05,18.4,15.97,0,40.974,13.568,7.885,15.27,12.698,0.082,0.734,0.06,0.266,68.086,0.61,1.662,1.389,0,28.25,86.73,58.48,0,4.21,0.59,0.14,0.025,0.185,0.165
51,1995,21.569,7.54,14.491,26.183,16.437,116.63,35.65,27.12,11.04,19.74,11.4,0,41.709,14.403,8.396,16.298,2.117,0.224,0.625,0.14,0.375,71.991,1.71,1.726,1.25,0,33.43,72.32,38.89,0,5.05,0.58,0.115,0.032,0.225,0.605
51,1996,25.166,4.24,15.596,32.297,18.068,139.28,43.16,36.36,29.43,20.47,12.23,0,41.67,15.073,8.549,17.119,1.756,0.19,0.615,0.117,0.385,76.013,1.29,1.824,0.147,0,36.4,75.47,39.07,0,4.84,0.58,0.121,0.033,0.222,0.656
51,1997,28.485,5.43,17.091,34.239,19.007,138.69,46.16,46.32,24.93,22.72,9.47,0,41.929,15.02,8.663,16.852,-1.555,0.27,0.589,0.159,0.411,82.721,1.82,1.973,0.193,0,39.07,77.65,38.58,0,4.7,0.58,0.124,0.051,0.338,1.442
51,1998,12.452,3.07,7.429,14.484,8.107,59.1,24.03,10.04,-67.18,11.83,10.7,0,38.952,9.042,4.183,11.486,0.121,0.264,0.604,0.16,0.396,69.174,1.63,1.776,0.264,0,39.8,85.59,45.79,0,4.26,0.61,0.143,0.053,0.586,0.978
51,1999,13.685,2.65,8.481,15.744,9.229,49.95,22.87,16.82,36.44,11.05,11.56,0,40.016,9.762,5.143,12.369,6.573,0.242,0.635,0.154,0.365,65.987,-89.41,1.649,0.28,0,33.2,89.99,56.79,0,4.06,0.6,0.148,0.044,0.448,0.4
51,2000,17.898,4.85,10.43,20.558,11.281,35.75,26.2,35.63,26.68,12.75,13.71,0,42.411,10.949,6.438,13.435,3.11,0.461,0.535,0.247,0.465,68.708,9.09,1.62,0.226,63.68,32.31,93.19,124.56,5.73,3.92,0.58,0.147,0.047,0.426,0.6
51,2001,17.787,5.63,10.101,20.256,10.852,26.09,26.17,13.98,-6.46,13.42,10.74,0,39.034,10.688,6.215,12.945,3.572,0.371,0.6,0.223,0.4,63.442,-1.54,1.625,0.214,61.37,30.78,90.54,121.13,5.95,4.03,0.61,0.151,0.033,0.313,0.484
51,2002,18.09,4.85,10.818,20.414,11.609,26.8,24.36,23.97,-251.37,15.02,9.78,2.83,39.304,10.639,6.705,13.384,8.081,0.288,0.596,0.172,0.404,63.417,-3.64,1.614,0.197,63.25,28.46,85.04,119.83,5.77,4.29,0.61,0.141,0.029,0.269,0.261
51,2003,12.108,3.27,7.147,13.152,7.499,31.22,26.14,12.41,-80.89,17.92,5.69,2.97,40.978,11.492,4.431,13.946,6.881,0.209,0.585,0.122,0.415,66.094,-0.28,1.613,0.265,66.38,31.13,83.5,118.75,5.5,4.37,0.59,0.135,0.017,0.151,0.202
