enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
56,1998,-87.514,N/A,-69.995,-87.515,-69.995,-382.68,-79.19,0,0,-237.85,0,-,83.359,-105.547,-116.641,-105.547,-133.282,0,0.8,0,0.2,50.023,0,0.6,-,202.75,609.21,121.67,-284.79,1.8,3,0.17,0.055,0,0,0
56,1999,-119.766,N/A,-68.581,-119.766,-68.581,-216.74,-119.77,0,0,-181.82,0,0,92.507,-47.509,-47.509,-47.509,-57.474,1.398,0.228,0.318,0.772,133.538,0,1.444,-,142.04,947.95,128.88,-677.03,2.57,2.83,0.07,0.026,0,0,0
56,2000,104.887,N/A,45.596,104.887,45.596,101.55,97.23,0,620,98.29,0,0,95.715,19.992,18.577,21.427,14.292,0.25,0.556,0.139,0.445,234.922,0.94,2.454,0,112.42,1129.4,116.87,-900.11,3.25,3.12,0.04,0.014,0,0,0
56,2001,-13.36,N/A,-10.424,-13.36,-10.424,-72.02,-14.6,0,-495.6,-70.23,11.69,0,94.341,-11.543,-10.339,-11.292,-16.248,0,0.821,0,0.179,95.123,0.83,1.008,-,120.9,1214.44,46.13,-1047.41,3.02,7.91,0.06,0.007,0.002,0,0
56,2002,-91.955,N/A,-73.835,-91.955,-73.835,-858.95,-96.43,0,510.68,-857.4,11.23,-,85.079,-243.84,-232.546,-243.121,-159.514,0,0.755,0,0.246,27.013,0.79,0.318,-,243.02,1518.46,43.95,-1231.49,1.5,8.3,0.15,0.018,0.057,0,0
56,2003,-90.182,N/A,-64.179,-90.182,-64.179,-1492.68,-93.7,-3.36,-8347.19,-1492.68,17.07,-,93.393,-437.143,-420.714,-426.786,-464.821,0,0.618,0,0.382,14.247,1,0.153,-,141.11,10442.45,379.8,-9921.54,2.59,0.96,0.07,0.069,0.004,0,0
56,2004,-149.503,N/A,-91.111,-149.503,-91.111,-1008.21,-149.2,26.32,-5084.62,-1008.21,23.06,-,87.17,-509.811,-510.566,-486.038,-732.453,0,0.579,0,0.421,15.556,0.89,0.178,-,211.42,6225.62,268.38,-5745.82,1.73,1.36,0.13,0.094,0.125,0,0
56,2005,0,N/A,0,0,0,-1054.69,-250.46,-6.27,377.78,-918.37,16.55,-,96.253,-316.159,0,-298.595,-339.813,0,0.446,0,0.261,51.311,13.4,0.533,-,151.73,5498.39,456.25,-4890.41,2.41,0.8,0.04,0.047,0.047,0,0
56,2006,-593.727,N/A,-189.965,-593.727,-189.965,-1406.82,-204.97,-42.69,-317.57,-913.65,10.23,-,97.727,-216.434,-281.294,-208.916,-173.776,0,0.162,0,0.319,65.998,-24.83,0.675,-,116.77,5411.29,463.27,-4831.25,3.13,0.79,0.02,0.029,0.007,0,0
56,2007,-7034.375,N/A,-311.342,-7034.375,-311.342,-3112.94,-309.84,-3.98,-300,-1121.19,4.7,-,98.507,-282.09,-479.957,-276.759,-247.335,0,-0.084,0,1.084,63.9,3.84,0.649,-,99.62,11461.54,703.93,-10657.99,3.66,0.52,0.01,0.029,0.009,0,0
