enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
59,1994,27.157,5.74,7.112,Negative Tangible Equity,10.668,35.67,17.22,7.48,2.85,8.79,10.73,0,56.813,11.616,6.346,17.388,4.607,1.52,0.267,0.406,0.733,63.663,16.49,1.121,0.453,0,43.15,28.6,-14.55,0,12.76,0.43,0.034,0.079,0.682,0.632
59,1995,26.556,6.92,7.225,Negative Tangible Equity,10.707,34.17,17.47,20.31,-126.87,9.07,10.39,0,56.27,11.243,6.153,16.78,5.138,1.388,0.277,0.384,0.723,66.07,5.42,1.174,0.329,0,41.65,27.77,-13.88,0,13.14,0.44,0.033,0.079,0.704,0.606
59,1996,22.669,4.1,6.395,Negative Tangible Equity,9.23,27.05,13.45,15,-2084.49,7.72,11.72,0,62.155,14.014,8.423,19.5,9.351,1.26,0.288,0.362,0.712,47.193,0.49,0.759,0.398,0,76.07,51.11,-24.96,0,7.14,0.38,0.053,0.072,0.511,0.434
59,1997,16.49,2.61,4.829,727.215,6.764,32.79,13.56,23.82,3.8,7.46,11.07,0,62.703,12.863,5.65,18.139,10.656,1.234,0.299,0.369,0.701,53.589,14.17,0.855,0.576,0,118.72,45.81,-72.91,0,7.97,0.37,0.047,0.08,0.623,0.429
59,1998,31.595,4,10.137,256.835,14.106,47.82,17.26,22.34,-19.75,11.49,11.23,0,63.58,14.113,10.241,19.401,38.959,0.713,0.345,0.246,0.655,62.937,2.5,0.99,0.481,0,167.58,37.97,-129.61,0,9.61,0.36,0.038,0.072,0.51,0.156
59,1999,29.887,3.18,9.322,Negative Tangible Equity,14.282,42.3,18.78,6.36,8.26,13.71,12.26,0,62.78,12.851,8.918,18.373,-12.22,1.242,0.282,0.351,0.718,65.621,0.19,1.045,0.359,0,164.27,38.35,-125.92,0,9.52,0.37,0.039,0.266,2.069,1.851
59,2000,37.72,5.06,12.459,Negative Tangible Equity,18.92,56.52,24.95,10.37,8.22,11.54,13.8,0,58.849,14.171,9.983,18.778,9.022,0.443,0.392,0.173,0.608,73.448,0.16,1.248,0.382,24.79,128.47,33.85,-69.83,14.73,10.78,0.41,0.038,0.053,0.377,0.372
59,2001,35.112,3.7,13.277,100.993,17.624,67.69,26.93,20.92,13.39,18.55,11.07,0,59.865,15.707,9.981,19.997,12.12,0.422,0.366,0.155,0.634,79.633,3.11,1.33,0.373,27.45,141.49,37.32,-76.72,13.29,9.78,0.4,0.041,0.053,0.338,0.305
59,2002,29.535,2.99,11.307,71.674,14.591,59.89,24.64,-0.96,1.17,16.67,5.9,0,54.279,17.11,10.208,21.712,10.616,0.347,0.399,0.139,0.601,60.124,-3.29,1.108,0.391,33.15,152.62,42.48,-76.99,11.01,8.59,0.46,0.053,0.056,0.329,0.347
59,2003,33.434,4.28,13.283,76.084,17.09,63.35,26.49,7.83,32.89,17.73,5.58,0,54.217,17.995,11.947,22.424,12.703,0.296,0.396,0.117,0.604,60.285,1.27,1.112,0.337,33.96,150.15,42.1,-74.09,10.75,8.67,0.46,0.053,0.057,0.318,0.311
59,2004,33.67,5.04,14.623,67.372,18.681,65.54,27.45,13.36,31.14,18.9,6.3,0,54.103,18.49,13.229,23.017,11.06,0.193,0.47,0.091,0.53,59.802,2.68,1.105,0.295,36.28,150.54,40.6,-73.66,10.06,8.99,0.46,0.051,0.05,0.27,0.311
59,2005,33.077,5.12,15.801,57.521,19.825,67.71,26.95,16.83,60.83,20.3,8.54,0,56.686,18.485,14.395,22.805,12.532,0.254,0.485,0.123,0.515,62.224,1.99,1.098,0.343,36.36,155.69,42.52,-76.81,10.04,8.58,0.43,0.05,0.047,0.256,0.274
59,2006,29.241,4.28,13.658,48.698,16.792,70.37,27.19,17.37,-6.36,16.74,6.67,0,56.465,18.187,12.524,22.204,12.641,0.363,0.451,0.164,0.549,61.58,-0.22,1.091,0.423,35.09,148.95,41.63,-72.23,10.4,8.77,0.44,0.05,0.053,0.293,0.297
