enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
60,1994,15.319,2.82,6.95,16.469,7.177,30.6,14.9,2.84,-92.95,8.84,15.96,0,79.756,12.214,8.793,15.667,8.409,0.453,0.414,0.187,0.582,63.04,0.51,0.79,0.87,0,112.78,260.56,147.78,0,1.4,0.2,0.145,0.085,0.694,0.502
60,1995,31.709,5.96,12.711,34.023,13.067,65.37,32.44,29.14,38.51,15.55,12.59,0,80.358,23.819,15.679,27.345,9.866,0.653,0.39,0.254,0.607,65.148,1.45,0.811,0.424,0,112.65,264.61,151.96,0,1.38,0.2,0.142,0.081,0.34,0.451
60,1996,32,4.63,13.202,38.076,14.133,71.33,37.06,36.05,16.97,16.36,9.88,0,82.137,25.547,15.695,29.279,11.227,0.521,0.433,0.225,0.564,69.09,0.59,0.841,0.377,0,126.44,270.06,143.62,0,1.35,0.18,0.132,0.069,0.272,0.382
60,1997,30.962,4.25,14.082,39.393,15.601,69.48,33.11,36.86,11.88,15.64,11.94,0,86.456,27.808,19.556,31.448,8.323,0.42,0.474,0.199,0.522,62.257,3.45,0.72,0.409,0,222.43,406.13,183.7,0,0.9,0.14,0.151,0.116,0.416,0.582
60,1998,29.731,2.58,14.924,35.482,16.245,66.48,32.31,36.11,82.6,16.98,11.05,0,87.806,27.797,20.018,31.669,5.988,0.375,0.529,0.199,0.471,65.46,0.75,0.745,0.4,0,212.96,412.93,199.97,0,0.88,0.12,0.138,0.079,0.286,0.57
60,1999,55.343,3.18,27.832,62.017,29.424,98.98,50.7,41.84,69.98,26.92,10.72,0,81.856,23.034,19.943,26.465,13.904,0.37,0.481,0.178,0.519,114.234,1.62,1.396,0.409,0,70.62,142.41,71.79,0,2.56,0.18,0.071,0.084,0.365,0.377
60,2000,43.515,5.14,19.938,49.33,21.076,79.89,45.52,17.29,6.77,24.43,11.22,0,82.967,25.431,18.089,28.737,10.885,0.507,0.445,0.225,0.555,91.448,-1.67,1.102,0.384,71.57,111.93,172.83,132.47,5.1,2.11,0.17,0.081,0.091,0.358,0.456
60,2001,24.818,1.45,11.486,28.265,12.172,71.21,41.8,4.41,-162.73,21.84,8.53,0,82.943,29.194,12.693,32.492,13.64,0.337,0.48,0.162,0.52,75.053,-0.76,0.905,0.419,67.5,131.51,192.82,128.81,5.41,1.89,0.17,0.09,0.075,0.256,0.354
60,2002,45.32,3.5,21.436,50.426,22.514,85.94,45.21,23.93,77.16,28.25,6.26,0,86.828,36.57,26.833,39.919,24.356,0.485,0.467,0.227,0.533,69.364,4.44,0.799,0.362,64.68,149.42,247.61,162.87,5.64,1.47,0.13,0.089,0.073,0.198,0.229
60,2003,47.726,5.34,21.345,51.626,22.092,96.6,45.92,8.5,24.1,27.76,6.42,0,87.57,37.843,28.259,41.051,26.088,0.592,0.43,0.255,0.57,66.145,1.32,0.755,0.355,59.81,137.81,234.74,156.74,6.1,1.55,0.12,0.08,0.054,0.144,0.173
60,2004,9.165,2.34,4.794,29.767,7.514,60.87,17.18,-6.44,-1.15,7.39,7.06,0,78.565,23.169,8.74,32.167,20.337,0.223,0.56,0.125,0.44,43.091,4.31,0.548,0.738,58.83,80.07,159.43,138.19,6.2,2.29,0.21,0.094,0.059,0.254,0.224
60,2005,17,6.07,9.473,120.913,18.179,76.17,17.34,31.57,296.28,12.77,6.95,0,86.954,33.535,23.191,43.931,28.046,0.272,0.555,0.151,0.445,35.519,2.44,0.408,0.359,67.07,150.17,352.92,269.82,5.44,1.03,0.13,0.126,0.053,0.158,0.159
60,2006,12.063,4.86,6.736,54.251,11.906,62.79,15.34,-4.05,34.53,9.99,6.23,0,84.744,29.965,17.055,41.728,26.636,0.273,0.562,0.153,0.438,33.471,2.09,0.395,0.555,71.11,119.74,306.3,257.67,5.13,1.19,0.15,0.128,0.044,0.148,0.143
60,2007,28.204,11.51,16.633,86.583,27.612,71.16,15.69,30.92,-28.23,13.37,8.55,0,84.205,29.526,39.976,40.469,31.819,0.112,0.618,0.069,0.382,35.035,-226.47,0.416,0.559,69.78,97.75,276.83,248.86,5.23,1.32,0.16,0.12,0.046,0.154,0.125
60,2008,11.944,5.33,7.057,33.064,11.334,55.7,11.06,17.68,5276.54,10.69,10.3,0,76.788,21.347,16.82,32.087,23.467,0.202,0.564,0.114,0.435,32.216,2.04,0.42,0.796,72.5,69.65,185.33,188.18,5.03,1.97,0.23,0.118,0.041,0.193,0.149
60,2009,13.224,6.71,7.159,39.055,11.151,59.02,11.5,-10.28,13.12,11.01,4.65,3.39,83.204,24.012,16.78,31.68,34.241,0.3,0.518,0.155,0.481,35.496,-1.26,0.427,0.843,71.04,90.46,217.84,198.42,5.14,1.68,0.17,0.1,0.035,0.147,0.093
60,2010,11.703,7.55,5.329,Negative Tangible Equity,9.896,60.83,9.28,5.44,819.19,9.67,6.85,3.74,82.227,31.432,17.267,33.628,30.759,0.541,0.423,0.229,0.575,25.376,0.09,0.309,0.463,86.14,125.68,344.63,305.09,4.24,1.06,0.18,0.168,0.024,0.077,0.073
60,2011,9.287,6.15,4.048,Negative Tangible Equity,8.423,42,6.59,-69.07,5452.96,8.85,6.3,3.88,77.307,25.408,12.671,30.18,15.255,0.501,0.45,0.226,0.547,24.697,1.4,0.319,0.33,81.94,103.62,256.79,235.11,4.45,1.42,0.23,0.16,0.023,0.091,0.132
60,2012,11.775,6.23,5.226,Negative Tangible Equity,10.776,59.64,8.09,10.53,324.83,7.34,6.06,4.05,79.52,27.538,16.399,36.353,30.078,0.474,0.437,0.207,0.561,25.344,1.45,0.319,0.367,82.74,112.48,219.22,189.48,4.41,1.67,0.2,0.123,0.031,0.112,0.093
60,2013,17.828,8.37,7.796,Negative Tangible Equity,15.398,65.63,8.09,33.94,-30.32,9.05,5.07,3.98,82.032,31.239,26.657,37.358,28.042,0.461,0.437,0.202,0.56,23.989,-51.77,0.292,0.419,79.24,122.63,235.74,192.35,4.61,1.55,0.18,0.116,0.026,0.083,0.085
60,2014,27.928,11.49,12.296,Negative Tangible Equity,23.509,82.01,11.22,42.73,13.12,8.43,6.83,3.82,81.417,31.727,42.655,45.634,31.442,0.478,0.443,0.212,0.555,23.469,1.93,0.288,0.432,70.87,117.18,233.07,186.76,5.15,1.57,0.19,0.119,0.028,0.09,0.083
60,2015,12.377,4.76,5.379,Negative Tangible Equity,10.12,87.41,9.23,8.82,32.26,7.67,6.07,3.72,80.693,27.213,18.416,38.579,31.249,0.514,0.426,0.219,0.573,23.569,2.66,0.292,0.46,65.33,122.8,225.41,167.94,5.59,1.62,0.19,0.119,0.032,0.117,0.093
60,2016,10.234,3.5,4.156,Negative Tangible Equity,8.231,78.22,7.16,-4.15,-4.06,7.34,7.68,3.17,80.25,26.562,14.247,31.363,27.005,0.601,0.387,0.232,0.612,23.408,0.86,0.292,0.509,61.93,129.2,249.24,181.97,5.89,1.46,0.2,0.135,0.031,0.115,0.102
60,2017,11.612,3.7,4.257,Negative Tangible Equity,10.07,70.43,6.85,-21.73,27.52,7.81,7.31,2.97,76.673,25.954,13.659,28.953,26.869,0.69,0.347,0.239,0.651,23.895,-0.88,0.312,0.5,56.66,120.8,211.74,147.6,6.44,1.72,0.23,0.135,0.038,0.146,0.123
60,2018,32.568,11.31,12.41,Negative Tangible Equity,32.377,99.88,9.63,7.79,-955.31,15.72,7.8,3.04,78.632,26.782,40.551,37.765,27.757,0.597,0.415,0.248,0.583,24.063,4.72,0.306,0.483,57.12,149.41,233.42,141.13,6.39,1.56,0.21,0.137,0.042,0.158,0.132
60,2019,16.558,4.44,6.735,Negative Tangible Equity,16.175,30.74,3.65,14.33,163.94,5.03,6.46,3.12,77.987,16.485,27.319,27.091,33.536,0.658,0.398,0.262,0.6,19.225,0.74,0.247,0.819,72.62,189.47,306.35,189.5,5.03,1.19,0.22,0.185,0.052,0.317,0.135
60,2020,25.328,7.79,9.801,Negative Tangible Equity,20.513,83.05,10,42.72,5.01,4.65,4.05,3.4,80.31,17.873,39.179,45.591,25.772,0.805,0.377,0.303,0.621,20.091,0.33,0.25,1.319,66.02,193.99,330.29,202.32,5.53,1.11,0.2,0.178,0.05,0.28,0.163
60,2021,14.494,4.47,5.692,Negative Tangible Equity,11.322,63.52,6.56,9.79,-6.11,5.53,4.46,3.25,79.631,21.198,21.99,31.841,29.236,0.605,0.41,0.248,0.588,20.612,1.31,0.259,0.685,64.34,175.75,324.56,213.15,5.67,1.12,0.2,0.181,0.053,0.252,0.155
60,2022,31.3,7.28,13.094,Negative Tangible Equity,23.961,178.87,19.17,5.22,69.54,14.95,5.4,3.43,62.084,29.161,27.038,37.881,36.745,0.479,0.425,0.204,0.573,30.066,0.71,0.484,0.384,43.54,58.39,101.13,86.28,8.38,3.61,0.38,0.105,0.033,0.114,0.083
60,2023,36.297,12.06,16.569,1667.393,29.938,230.88,24.48,44.36,52.79,20.26,7.84,3.45,65.769,37.149,31.269,40.896,25.945,0.365,0.485,0.177,0.514,34.85,1.05,0.53,0.243,40.8,65.82,95.86,70.84,8.95,3.81,0.34,0.09,0.032,0.087,0.111
