enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
67,1994,10.303,1.7,4.807,10.303,4.807,16.93,12.9,0,12.61,6.95,12.09,0,55.318,8.143,3.58,12.531,-30.467,0.732,0.475,0.348,0.525,74.27,0,1.343,0,5.32,21.22,115.12,99.22,68.65,3.17,0.45,0.141,0.299,3.677,0
67,1995,12.367,2.88,7.461,12.367,7.461,14.99,13.63,53.85,5.33,7.68,15.3,0,20.099,8.62,5.611,13.951,-25.365,0.26,0.667,0.174,0.333,26.73,0,1.33,0,6.12,18.56,88.28,75.84,59.64,4.13,0.8,0.193,0.278,3.227,11.351
67,1996,10.918,1.93,6.98,10.918,6.98,13.45,11.05,44.44,7.17,7.05,12.89,0,19.086,8.096,5.975,13.741,-3.854,0.369,0.622,0.229,0.378,22.297,7.34,1.168,0,7.27,21.56,66.93,52.64,50.21,5.45,0.81,0.148,0.234,2.89,1.197
67,1997,11.204,1.81,6.971,11.204,6.971,16.09,12.91,34.09,9.95,8.02,11.37,0,20.74,8.848,5.659,14.886,-7.597,0.309,0.623,0.192,0.377,25.546,0.47,1.232,0,9.13,20.3,47.97,36.8,39.98,7.61,0.79,0.104,0.179,2.021,1.739
67,1998,10.301,2.52,7.395,10.302,7.395,18.93,15.63,28.57,22.28,8.99,14.05,0,21.22,9.108,5.227,15.29,-3.798,0.042,0.8,0.034,0.2,30.022,9.44,1.415,0,11.46,17.33,46.54,40.67,31.84,7.84,0.79,0.1,0.154,1.694,1.327
67,1999,11.588,2.46,9.059,11.683,9.117,21.17,17.62,28.57,11.23,10.45,17.26,0,21.255,9.517,6.053,15.916,-1.684,0.074,0.767,0.057,0.232,31.809,1.4,1.497,0,10.71,14.62,44.69,40.78,34.08,8.17,0.79,0.096,0.154,1.613,1.123
67,2000,8.966,1.36,6.892,9.12,6.983,25.22,21.32,3.92,18.25,11.58,14.76,0,22.355,10.721,4.359,17.275,0.098,0.055,0.77,0.043,0.228,35.344,-0.26,1.581,0,10.43,14.06,41.45,37.82,34.99,8.81,0.78,0.088,0.146,1.361,0.993
67,2001,14.357,3.48,10.857,14.607,10.999,26.3,21.78,18.94,69.7,13.42,9.97,0,21.419,10.611,6.841,17.297,2.892,0.05,0.745,0.037,0.255,33.996,4.47,1.587,0,11.49,17.67,37.08,30.9,31.76,9.84,0.79,0.08,0.145,1.367,0.834
67,2002,13.878,2.98,10.591,14.113,10.728,26.54,20.21,13.38,17.14,14.2,6.96,0,20.998,9.691,6.539,16.415,3.108,0.003,0.778,0.003,0.222,34.009,0.9,1.62,0,10.43,18.54,34.03,25.92,34.99,10.73,0.79,0.074,0.114,1.178,0.786
67,2003,14.101,2.59,10.854,14.553,11.12,32.05,21.93,36.26,15.3,15.52,6.72,0,58.633,10.421,6.584,16.783,5.132,0.002,0.763,0.002,0.237,96.656,4.77,1.648,0,9.49,33.01,65.61,42.09,38.44,5.56,0.41,0.074,0.088,0.841,0.631
67,2004,17.084,2.33,12.716,17.803,13.111,41.32,25.48,22.57,42.79,18.83,6.42,0,21.552,11.458,7.345,17.609,8.424,0.002,0.729,0.001,0.271,37.31,-0.7,1.731,0,8.78,16.18,33.64,26.24,41.58,10.85,0.78,0.072,0.079,0.687,0.483
