enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
70,2004,68.269,N/A,55.965,68.269,55.965,419.53,71.09,0,0,174.33,0,-,68.767,45.745,43.839,45.745,39.859,0,0.82,0,0.18,87.788,0,1.277,0,0,94.29,0,-94.29,0,-,0.31,0,0.081,0.177,0.169
70,2005,28.239,N/A,25.654,28.239,25.654,110.84,30,0,11.84,62.27,0,0,63.436,40.987,38.575,40.987,-26.069,0,0.926,0,0.074,42.187,0,0.665,0,0,26.98,0,-26.98,0,-,0.37,0,0.079,0.193,0
70,2006,17.598,N/A,15.604,17.666,15.658,66.33,15.84,0,-173.81,38.68,0,4027.78,67.059,29.564,34.027,34.659,51.136,0,0.854,0,0.146,30.752,0,0.459,0,57,10.88,2.06,48.18,6.4,177.39,0.33,0.002,0.185,0.626,0.266
70,2007,32.462,N/A,26.695,33.359,27.299,130.59,33.9,0,86.16,68.51,11.67,-,70.824,38.436,37.987,44.869,41.416,0,0.799,0,0.201,49.771,0,0.703,0,40.08,14.22,1.12,26.98,9.11,324.91,0.29,0.001,0.124,0.323,0.231
70,2008,36.115,N/A,27.702,38.681,29.187,149.89,34.76,0,0,72.57,12.34,0.54,70.752,42.791,40.986,45.243,27.335,0.057,0.747,0.042,0.244,47.821,0,0.676,0,43.55,25.11,0.66,19.1,8.38,555.58,0.29,0.001,0.207,0.484,0.431
70,2009,47.075,N/A,34.172,50.348,35.864,166.43,51.23,0,0,75.26,9.12,51.78,69.664,44.435,38.92,50.399,30.404,0,0.712,0,0.278,61.164,0,0.878,0,37.79,29.73,0.59,8.65,9.66,614.3,0.3,0,0.196,0.442,0.392
70,2010,53.782,N/A,37.738,55.738,38.691,209.17,56.92,0,0,90.44,10.68,0.97,68.734,47.303,41.444,51.63,60.913,0.017,0.696,0.012,0.297,62.587,0,0.911,0.073,32.41,44.12,0.51,-11.2,11.26,712.1,0.31,0,0.066,0.139,0.098
70,2011,47.912,4.45,30.46,49.531,31.107,307.4,54.12,0,5.61,63.62,9.85,0.06,67.83,48.775,40.994,52.76,51.271,0,0.607,0,0.39,50.4,0.83,0.743,0.085,27.06,59.45,0,-32.39,13.49,-,0.32,0,0.114,0.234,0.182
70,2012,41.447,5.01,22.422,46.653,23.862,241.81,42.41,0,37.14,34.36,9.54,0.62,65.159,40.234,35.805,49.519,29.843,0.412,0.501,0.207,0.488,40.804,0.01,0.626,0.083,23.43,65.48,0,-42.05,15.58,-,0.35,0,0.17,0.423,0.363
70,2013,36.774,4.03,19.434,43.517,21.167,210.43,34.34,0,21.41,28.11,9.28,2.94,58.521,34.522,29.006,41.006,33.239,0.259,0.549,0.142,0.44,39.208,0.94,0.67,0.078,18.04,64.3,11.39,-34.87,20.24,32.05,0.41,0.013,0.11,0.319,0.249
