enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
74,2008,0,N/A,-224.351,0,-224.351,-650.5,-,0,0,-160.27,0,0,87.671,-109497.26,-107064.384,-102947.945,-86672.603,-0.001,-3.383,0.003,4.383,0.184,0,0.002,-,295,217742.78,85491.11,-131956.67,1.24,0,0.12,28.877,134.274,0,0
74,2009,0,N/A,-191.324,0,-191.324,-512.73,-,0,0,-118.35,0,13.42,-7.74,-532.519,-561.539,-507.265,-427.635,-0.279,-3.863,1.078,4.863,-2.637,0,0.341,-,41.83,224.67,215.53,32.69,8.73,1.69,1.08,0.636,0.721,0,0
74,2010,0,N/A,-61.211,0,-61.211,-251.29,-289.83,0,0,-72.72,13.14,8.9,8.518,-46.36,-49.793,-41.309,-82.818,-0.004,-1.944,0.008,2.944,10.471,0,1.229,-,11.1,52.16,71.06,30,32.89,5.14,0.91,0.178,0.106,0,0
74,2011,0,0,-59.759,0,-59.759,-155.35,-82.03,0,-51.89,-97.01,9.19,2.69,26.323,-125.778,-132.194,-122.096,-199.779,0.351,0.536,0.188,0.464,11.9,7.7,0.452,-,15.94,93.44,145.14,67.64,22.9,2.51,0.74,0.293,0.903,0,0
74,2012,-118.031,-8.87,-46.276,-122.141,-46.895,-104.95,-61.72,0,-52.34,-73.37,7.48,0.02,30.158,-123.132,-124.564,-116.019,-152.887,1.25,0.314,0.393,0.686,11.204,-0.91,0.372,-,14.52,108.87,121.88,27.53,25.14,2.99,0.7,0.233,0.902,0,0
74,2013,-227.222,-7.35,-43.358,-247.656,-44.052,-90.74,-72.15,0,-41.69,-64.18,7.05,0.07,7.276,-95.409,-95.876,-88.807,-121.727,3.742,0.112,0.419,0.888,3.29,0.84,0.452,-,16.07,171.23,151.73,-3.43,22.72,2.41,0.93,0.385,0.579,0,0
74,2014,-18.695,-0.67,-4.192,-19.038,-4.209,-4.57,-3.32,1.55,52.52,-5.77,10.11,6.14,22.66,-3.044,-3.676,3.357,0.029,0.91,0.276,0.251,0.724,25.842,0.92,1.14,-,6.88,71.18,71.36,7.06,53.02,5.12,0.77,0.151,0.131,0,0.998
74,2015,-37.248,-1.22,-7.13,-37.248,-7.13,-9.89,-6.72,-25.32,-5.64,-7.52,10.52,6.52,27.566,-5.837,-9.194,1.506,-32.117,2.729,0.156,0.427,0.844,21.38,0.75,0.776,-,15.73,85.23,101.94,32.44,23.2,3.58,0.72,0.202,0.303,0,0
74,2016,-89.071,-3.06,-12.788,-89.646,-12.8,-19.43,-16.85,27.21,-17.54,-13.89,5.59,4.41,22.825,-17.712,-21.964,-8.26,-53.37,2.674,0.134,0.359,0.866,13.289,0.62,0.582,-,17.84,99.01,130.42,49.25,20.46,2.8,0.77,0.276,0.404,0,0
74,2017,-23.127,-3.19,-4.392,-24.778,-4.449,-5.41,-4.96,6.27,0.13,-5.31,9.08,3.46,22.846,-9.533,-9.641,5.708,-22.347,1.807,0.21,0.379,0.739,10.408,1.07,0.456,-,17.42,93.82,113.04,36.64,20.96,3.23,0.77,0.239,0.206,0,0
74,2018,-43.648,-3.52,-7.646,-47.899,-7.767,-9.78,-9.19,42.14,-14.36,-7.33,5.91,4.55,18.905,-13.879,-16.685,-0.867,-35.224,2.863,0.148,0.423,0.803,8.663,0.66,0.458,-,15.75,81.35,82.89,17.29,23.18,4.4,0.81,0.184,0.347,0,0
74,2019,-21.309,-1.83,-3.343,-23.27,-3.388,-1.7,-1.68,11.05,188.2,-1.02,6.16,5.11,18.834,-1.179,-4.548,7.264,-1.03,2.809,0.166,0.465,0.788,13.844,0.63,0.735,-,12.45,60.72,56.33,8.06,29.31,6.48,0.81,0.125,0.108,0,1.105
74,2020,-14.938,-1.31,-2.692,-16.182,-2.73,0.1,0.09,-5.35,306.2,0.35,4.97,4.82,16.555,0.326,-3.507,8.845,3.939,2.207,0.193,0.426,0.764,12.706,0.13,0.767,-,16.88,63.86,59.31,12.33,21.63,6.15,0.83,0.136,0.058,17.963,0.598
74,2021,4.999,0.16,1.668,5.19,1.689,8.73,6.18,-32.8,39.15,5.19,13.97,5.37,21.024,6.323,2.286,13.394,8.565,0.597,0.426,0.255,0.546,15.337,-0.02,0.73,0,18.58,71.97,56.08,2.69,19.65,6.51,0.79,0.121,0.103,1.626,0.546
74,2022,21.078,0.58,9.668,22.018,9.861,24.62,16.72,735.26,46.08,16.36,16.38,3.35,25.279,12.069,10.263,17.883,6.471,0.294,0.486,0.143,0.492,23.812,2.68,0.942,0,12.88,72.95,44.73,-15.34,28.34,8.16,0.75,0.092,0.149,1.234,0.697
74,2023,33.603,3.85,17.42,34.672,17.703,41.03,28.37,84.71,100.04,29.25,18.42,2.61,25.598,16.98,15.447,21.675,9.271,0.129,0.543,0.07,0.443,28.868,1.14,1.128,0,10.9,76.12,55.99,-9.23,33.49,6.52,0.74,0.114,0.088,0.519,0.487
