enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
75,1998,25.874,3.73,14.414,25.874,14.414,18.55,13.66,0,0,18.95,0,0,48.001,33.985,40.887,56.21,-17.5,0.292,0.557,0.163,0.356,16.922,0,0.353,0,77.29,211.51,77.92,-56.3,4.72,4.68,0.52,0.111,0.638,1.877,1.378
75,1999,19.995,3.02,11.566,19.995,11.566,15.04,11.45,0,-6.17,14.54,0,0,38.362,27.379,30.426,57.715,-5.203,0.375,0.597,0.224,0.334,14.582,1.49,0.38,0,60.62,90.45,52.44,22.61,6.02,6.96,0.62,0.089,0.687,2.51,1.082
75,2000,20.053,1.4,12.62,20.053,12.62,17.44,13.18,0,12.45,15.83,0,0,39.405,29.186,30.833,62.208,-8.069,0.313,0.648,0.203,0.32,16.128,0.75,0.409,0,50.08,21.3,43.67,72.45,7.29,8.36,0.61,0.072,0.674,2.311,1.136
75,2001,30.887,5.75,21.087,30.887,21.087,29.52,22.6,0,32.53,24.09,10.55,0,46.039,36.881,39.174,61.819,-6.227,0.215,0.706,0.152,0.293,24.782,0.79,0.538,0,46.47,24.29,41.16,63.34,7.86,8.87,0.54,0.061,0.624,1.693,1.111
75,2002,5.255,0.69,3.718,5.255,3.718,2.94,2.31,-1.84,-179.84,3.38,10.72,0,23.335,6.115,11.123,43.652,2.814,0.16,0.709,0.113,0.265,7.8,0.74,0.334,0,69.81,19.48,44.51,94.84,5.23,8.2,0.77,0.093,0.522,8.54,0.949
75,2003,7.532,2.34,5.524,7.668,5.597,12.07,8.99,0.3,-82.81,7.57,10.06,0,32.221,19.448,13.308,59.499,26.658,0.158,0.758,0.12,0.242,13.376,-0.06,0.415,0,41.31,11.42,36.81,66.7,8.84,9.91,0.68,0.068,0.34,1.75,0.561
75,2004,15.247,3.55,11.947,15.721,12.236,21.49,14.24,7.26,-33.25,16.03,10.64,0,36.88,25.251,23.274,59.316,57.155,0.134,0.808,0.109,0.192,18.931,2.09,0.513,0,37.1,16.34,32.98,53.74,9.84,11.07,0.63,0.057,0,0,0
75,2005,26.041,8.19,20.907,26.616,21.276,36.68,22.41,7.02,48.57,28.61,10.5,0,45.03,34.4,35.888,61.553,28.014,0.081,0.799,0.065,0.201,26.232,1.22,0.583,0.122,36.01,17.21,34.85,53.65,10.14,10.47,0.55,0.052,0.315,0.917,0.53
75,2006,21.815,5.98,18.072,22.161,18.309,33.23,19.47,33.25,-51.86,24.78,9.2,0,44.343,34.126,35.104,62.551,28.936,0.047,0.858,0.041,0.141,22.829,-0.14,0.515,0.547,44.84,20.84,41.6,65.6,8.14,8.77,0.56,0.063,0.3,0.878,0.509
75,2007,28.744,6.99,23.027,29.354,23.417,48.62,26.55,42.16,61.67,31.76,10.29,0,49.081,40.086,40.014,63.313,39.778,0.046,0.753,0.035,0.246,28.245,0.8,0.575,0.514,21.93,20.23,42.27,43.97,16.65,8.64,0.51,0.059,0.248,0.619,0.384
75,2008,23.414,6.89,18.778,24.095,19.213,41.5,22.26,23.27,46.7,26.13,8.44,0,44.125,34.637,33.843,59.393,30.918,0.031,0.853,0.027,0.14,24.483,1.39,0.555,0.751,24.61,20.48,44.4,48.53,14.83,8.22,0.56,0.068,0.26,0.752,0.457
75,2009,20.506,7.27,17.487,21.099,17.916,41.64,21.63,-5.41,13.13,27.24,5.56,3.07,42.547,31.347,29.996,58.11,48.707,0.051,0.852,0.044,0.141,24.804,-11.64,0.583,0.638,23.72,16.59,37.47,44.6,15.39,9.74,0.57,0.059,0.178,0.567,0.267
75,2010,18.618,4.82,15.676,19.121,16.031,37.54,19.1,-2.45,-28.67,26.57,7.77,2.56,43.73,31.095,30.167,59.737,24.407,0.014,0.832,0.011,0.161,22.724,-1,0.52,0.702,27.52,49.6,38.8,16.72,13.26,9.41,0.56,0.06,0.297,0.955,0.549
75,2011,31.281,9.25,25.442,32.001,25.916,53.16,31.79,18.94,39.71,36.82,7.53,1.97,49.353,37.941,38.52,61.617,10.138,0.064,0.799,0.051,0.195,32.597,1.01,0.66,0.402,39.96,42.12,41.05,38.89,9.13,8.89,0.51,0.057,0.446,1.174,0.815
75,2012,22.262,6.87,17.812,22.69,18.085,33,23.19,18.84,-22.05,23.58,6.45,1.42,45.449,33.151,31.428,59.356,7.875,0.082,0.802,0.065,0.195,25.758,1.15,0.567,0.58,41.42,45.69,41.98,37.71,8.81,8.7,0.55,0.063,0.501,1.511,0.864
75,2013,24.33,6.7,18.655,24.734,18.891,33.57,25.52,31.97,17.19,23.78,5.59,1.23,48.178,35.839,31.473,61.973,7.31,0.164,0.74,0.122,0.258,28.556,0.73,0.593,0.473,36.66,71.97,42.87,7.56,9.96,8.51,0.52,0.061,0.489,1.365,0.87
75,2014,23.564,7.32,16.378,23.912,16.545,30.69,23.25,27.99,11.09,20.77,6.29,1.53,47.129,35.179,30.817,62.779,9.554,0.273,0.66,0.18,0.339,25.048,0.8,0.531,0.433,39.98,95.51,44.06,-11.47,9.13,8.28,0.53,0.064,0.486,1.382,0.836
75,2015,26.744,7.51,17.992,27.109,18.157,36.91,25.58,18.5,733.04,25.73,5.93,1.32,49.516,38.912,33.336,66.274,16.927,0.245,0.684,0.168,0.316,26.724,0.96,0.54,0.307,45.53,75.38,50.18,20.33,8.02,7.27,0.5,0.069,0.383,0.985,0.694
75,2016,26.764,8.26,18.806,27.102,18.972,41.38,25.76,21.05,53.08,27.82,7.46,1.29,48.653,38.142,35.904,68.307,31.781,0.194,0.72,0.14,0.279,25.484,1.21,0.524,0,44.37,40.32,57.49,61.54,8.23,6.35,0.51,0.081,0.31,0.814,0.494
75,2017,26.282,7.49,18.935,26.58,19.089,42.52,26.65,18.27,22.9,29.72,8.43,1.51,50.093,39.868,34.994,64.675,21.81,0.155,0.72,0.112,0.279,27.104,0.94,0.541,0.477,40.69,51.2,44.02,33.51,8.97,8.29,0.5,0.06,0.351,0.881,0.617
75,2018,24.947,6.06,18.364,25.2,18.501,40.02,26.24,17.61,13.53,27.8,8.95,1.62,50.625,39.558,35.296,67.486,25.519,0.143,0.75,0.107,0.25,26.339,1.54,0.52,0.53,45.13,63.4,45.17,26.9,8.09,8.08,0.49,0.061,0.344,0.869,0.574
75,2019,22.723,6.4,17.552,22.95,17.687,37.02,23.69,10.71,-25.83,26.79,11.14,1.52,48.273,37.196,35.201,67.206,24.363,0.109,0.794,0.086,0.205,24.071,-1.88,0.499,0.587,44.23,55.62,61.29,49.9,8.25,5.96,0.52,0.087,0.313,0.841,0.562
75,2020,21.809,3.86,16.389,22.063,16.532,32.44,23.33,6.64,-2.64,23.49,10.76,1.77,46.048,34.832,33.08,63.552,13.588,0.118,0.713,0.084,0.287,22.814,0.88,0.495,0.907,0,80.43,58.31,-22.12,0,6.26,0.54,0.086,0.439,1.26,0.764
75,2021,30.594,3.52,20.969,31.012,21.165,41.04,31.88,29.34,96.48,30,8.91,0.76,53.099,42.321,38.136,68.587,22.84,0.2,0.665,0.133,0.335,29.196,1,0.55,0.514,39.65,105.81,62.38,-3.78,9.21,5.85,0.47,0.08,0.386,0.912,0.628
75,2022,29.959,3.72,18.392,30.359,18.543,37.49,26.41,31.96,17.31,28.76,8.58,0.97,51.627,40.946,37.316,68.718,16.626,0.349,0.577,0.201,0.422,25.446,1.08,0.493,0.464,32.91,91.89,78.01,19.03,11.09,4.68,0.48,0.103,0.534,1.305,0.763
75,2023,37.63,9.22,21.871,38.031,22.006,46.66,31.86,44.12,54.12,35.36,11.14,1.39,59.559,49.529,43.859,70.369,23.012,0.299,0.585,0.175,0.412,29.701,0.95,0.499,0.287,0,96,86.6,-9.4,0,4.21,0.4,0.096,0.481,0.972,0.677
