enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
76,1994,5.816,4.34,2.309,7.104,2.488,14.35,6.91,0,-15.88,4.22,0,0,8.891,4.608,2.189,8.892,1.782,0.668,0.395,0.264,0.588,9.382,-4.9,1.055,0.332,0,41.8,37.7,-4.1,0,9.68,0.91,0.094,0.077,1.672,0.812
76,1995,6.681,4.95,2.642,8.016,2.829,14.8,7.12,0,-31.86,4.51,0,0,9.531,4.676,2.475,9.531,0.853,0.658,0.396,0.26,0.586,10.174,-0.24,1.067,0.335,0,39.55,33.22,-6.33,0,10.99,0.9,0.082,0.072,1.544,0.894
76,1996,4.374,2.98,1.711,5.178,1.822,14.08,7.04,0,48.9,3.57,0,0,10.766,4.697,1.655,10.766,-0.283,0.73,0.387,0.283,0.596,11.129,-0.42,1.034,0.438,0,43.94,34.04,-9.9,0,10.72,0.89,0.083,0.092,1.953,1.032
76,1997,9.614,5.72,3.701,11.344,3.932,17.36,9,18.29,16.75,5.63,0,0,9.667,5.156,3.197,9.667,-0.525,0.726,0.383,0.278,0.603,11.191,3.81,1.158,0.361,0,39.36,31.33,-8.03,0,11.65,0.9,0.078,0.093,1.799,1.06
76,1998,10.989,4.54,4.537,12.873,4.828,21,11.62,7.76,-33.31,6.62,0,0,11.589,6.841,3.983,11.589,-0.366,0.461,0.449,0.207,0.54,13.2,0.31,1.139,0.341,0,42.27,34.57,-7.7,0,10.56,0.88,0.084,0.087,1.269,1.044
76,1999,8.77,4.43,3.969,10.174,4.234,14.84,8.68,-4.95,-121.57,5.48,0,0,11.4,5.691,3.643,11.4,-1.358,0.471,0.456,0.215,0.534,12.422,0.26,1.09,0.54,0,41.86,33.22,-8.64,0,10.99,0.89,0.081,0.117,2.064,1.131
76,2000,7.502,2.21,2.818,8.512,2.95,9.85,7.26,37.63,-16.08,3.86,0,0,12.256,6.385,3.604,12.256,-0.785,0.659,0.349,0.23,0.633,9.584,-0.04,0.782,0.461,115.36,59.79,49.44,105.01,3.16,7.38,0.88,0.119,0.088,1.383,1.097
76,2001,22.025,6.67,7.911,24.464,8.205,31.08,23.43,17.39,-3.66,10.19,9.6,0,16.648,12.407,6.027,17.261,5.935,0.48,0.369,0.177,0.622,21.854,-2.07,1.313,0.229,45.55,38.14,34.07,41.48,8.01,10.71,0.83,0.078,0.058,0.464,0.492
76,2002,22.468,7.37,8.447,24.746,8.75,-0.54,-0.39,25.47,120.16,-0.21,9.46,0,16.672,-0.24,7.272,4.878,4.545,0.434,0.383,0.166,0.607,19.366,0.19,1.162,0.26,49.58,42.58,34.43,41.43,7.36,10.6,0.83,0.079,0.071,0,0.611
76,2003,19.497,7.19,7.403,21.418,7.663,24.54,17.89,18.01,142,9.07,6.46,0,15.524,9.875,5.794,15.961,3.964,0.474,0.377,0.179,0.615,19.834,0.51,1.278,0.317,43.68,39.51,25.57,29.74,8.36,14.28,0.84,0.059,0.068,0.686,0.631
