enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
77,1994,22.149,8.9,8.445,22.149,8.445,25.86,19.38,134.09,334.63,14.63,12.2,0,26.387,8.542,5.538,15.781,2.394,0.391,0.386,0.151,0.614,40.24,1.26,1.525,0.144,46.96,86.45,45.26,5.77,7.77,8.06,0.74,0.091,0.086,1.003,0.782
77,1995,25.812,11.32,10.646,25.813,10.646,31.14,21.09,159.74,90.53,17.65,13.88,0,33.492,10.757,8.027,17.495,5.948,0.27,0.435,0.117,0.565,44.415,1.38,1.326,0.15,56.4,108.03,54.32,2.69,6.47,6.72,0.67,0.099,0.118,1.102,0.666
77,1996,30.502,12.82,13.827,30.502,13.827,40.87,27,102.14,37.4,24.13,11.7,0,35.13,12.613,9.536,18.582,2.77,0.203,0.468,0.095,0.532,50.937,1,1.45,0.132,56.32,103.32,45.87,-1.13,6.48,7.96,0.65,0.082,0.118,0.939,0.81
77,1997,1.538,0.52,0.696,1.538,0.696,-0.55,-0.41,-7.1,-54.87,-0.96,15.25,0,28.109,-0.262,0.634,8.833,-11.861,0.491,0.438,0.215,0.562,30.859,0.88,1.098,1.7,71.2,108.62,42.93,5.51,5.13,8.5,0.72,0.085,0.208,0,2.334
77,1998,36.8,12.43,18.23,36.8,18.23,12.93,8.75,34.73,-28.71,4.91,19.31,0,38.037,6.679,18.472,18.281,6.609,0.229,0.545,0.125,0.455,37.538,-0.57,0.987,0.63,64.13,118.79,42.68,-11.98,5.69,8.55,0.62,0.072,0.129,1.929,0.661
77,1999,7.146,1.44,4.047,7.244,4.078,10.14,5.18,-8.68,6.43,4.67,16.08,0,36.845,5.138,5.093,19.2,3.594,0.192,0.586,0.113,0.414,29.276,2.47,0.795,0.451,63.29,120.08,44.28,-12.51,5.77,8.24,0.63,0.077,0.12,2.34,0.77
77,2000,17.788,2.17,10.781,18.554,11.058,37.96,15.96,5.36,28.96,13.67,16.67,0,48.058,17.983,14.868,28.989,9.827,0.149,0.621,0.093,0.379,34.848,0.82,0.725,0.127,61.38,119.82,54.44,-4,5.95,6.71,0.52,0.077,0.143,0.797,0.593
77,2001,27.592,4.23,18.451,29.542,19.303,39.02,16.93,44.9,45.24,14.42,13.35,0,48.463,19.697,25.752,31.284,-4.859,0.108,0.71,0.077,0.29,34.724,2.85,0.717,0.099,63.21,108.64,63.43,18,5.77,5.75,0.52,0.09,0.233,1.181,1.264
77,2002,-1.643,-0.4,-1.2,-1.766,-1.265,-8.45,-4,-37.1,-779.52,-2.39,14.88,0,28.984,-7.097,-2.451,15.193,0.354,0.105,0.753,0.079,0.247,14.191,0.86,0.49,-,75.71,97.96,62.17,39.92,4.82,5.87,0.71,0.121,0.218,0,0.984
77,2003,-3.042,-1.26,-2.259,-3.27,-2.382,4.34,2.14,-22.13,-51.53,2.59,13.9,0,36.622,3.436,-4.104,23.583,14.195,0.117,0.731,0.085,0.269,20.159,-0.45,0.55,0.419,52.58,58.94,52.93,46.57,6.94,6.9,0.63,0.092,0.096,2.785,0.403
77,2004,10.603,2.45,7.937,11.457,8.406,15.89,7.41,-10.08,-78.47,9.2,16.15,0,40.289,9.813,12.182,25.351,13.738,0.07,0.765,0.054,0.235,26.248,-1.69,0.651,0.191,49.51,62.38,55.14,42.27,7.37,6.62,0.6,0.09,0.081,0.829,0.372
77,2005,14.932,4.61,11.701,16.221,12.478,33.84,14.16,-23.88,-42.08,17.05,15.82,0,45.507,16.967,16.11,31.138,16.326,0.029,0.801,0.023,0.199,33.054,0.74,0.726,0.094,49.72,59.37,64.94,55.29,7.34,5.62,0.54,0.097,0.109,0.643,0.401
