enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
82,1999,24.272,N/A,10.201,24.272,10.201,-26.53,-23.6,0,0,-14.79,0,0,74.827,-12.708,7.024,-8.222,5.132,0.363,0.42,0.152,0.58,108.678,0,1.452,0,39.95,77.33,22.23,-15.15,9.14,16.42,0.25,0.015,0.066,0,0.564
82,2000,8.989,1.48,4.405,8.989,4.405,-21.24,-17,0,0,-7.99,12.05,0,75.455,-10.11,3.264,-5.9,2.894,0.194,0.542,0.105,0.458,101.818,0,1.349,0.187,39.67,71.93,20.89,-11.37,9.2,17.47,0.25,0.014,0.055,0,0.653
82,2001,26.422,3.85,13.131,26.422,13.131,-22.02,-16.83,0,47.59,-10.75,10.62,0,74.439,-10.265,9.946,-6.289,2.227,0.37,0.449,0.166,0.551,98.268,1.88,1.32,0.305,45.21,71.86,0,-26.65,8.07,-,0.26,0,0.073,0,0.766
82,2002,24.01,4.04,10.363,24.01,10.363,27.54,21.41,0,182.1,12.47,10.32,0,75.047,13.067,7.912,13.067,7.117,0.504,0.416,0.21,0.584,98.298,0.05,1.31,0.377,53.72,86.18,0,-32.46,6.79,-,0.25,0,0.078,0.599,0.524
82,2003,28.032,4.94,12.48,29.568,12.776,21.8,15.64,0,-935.88,9.71,5.77,0,75.486,10.166,10.175,14.847,12.887,0.369,0.473,0.175,0.527,92.585,-0.42,1.227,0.338,49.85,90.63,0,-40.78,7.32,-,0.25,0,0.053,0.522,0.291
82,2004,21.225,3.74,10.333,23.907,10.93,-27.77,-17.02,5.45,-555.33,-11.59,6.42,0,75.392,-11.417,8.655,-6.791,7.851,0.257,0.499,0.129,0.501,90.014,0.02,1.194,0.367,42.29,86.62,0,-44.33,8.63,-,0.25,0,0.058,0,0.425
82,2005,21.341,3.64,10.621,24.303,11.307,-39.13,-22.46,4.97,-0.47,-16.61,5.74,0,70.814,-15.549,9.111,-11.331,8.758,0.271,0.496,0.135,0.504,82.553,-6.23,1.166,0.389,45.7,72.97,0,-27.27,7.99,-,0.29,0,0.058,0,0.399
82,2006,23.266,4.77,11.387,27.534,12.322,37.89,22.35,15.13,262.52,14.96,11.58,0,71.168,14.427,9.089,18.288,8.469,0.236,0.483,0.114,0.517,89.165,-0.07,1.253,0.387,46.71,60.53,0,-13.82,7.81,-,0.29,0,0.051,0.356,0.378
82,2007,25.966,5.01,12.33,32.433,13.62,38.61,24.48,10.52,449.01,15.31,12.08,5.21,80.428,13.955,8.838,17.812,5.266,0.266,0.466,0.124,0.534,112.214,-0.29,1.395,0.399,44.28,71.52,0,-27.24,8.24,-,0.2,0,0.065,0.465,0.552
82,2008,2.762,0.46,1.057,3.597,1.161,3.69,2.43,-33.33,-66.04,1.68,8.42,3.25,79.81,1.163,0.769,4.874,-3.415,0.904,0.312,0.282,0.688,109.78,1.01,1.376,6.065,43.62,66.58,0,-22.96,8.37,-,0.2,0,0.057,4.879,2.511
82,2009,31.672,3.91,8.469,45.291,9.209,28.39,20.49,0.33,-46.51,10.56,4.71,4.23,76.93,10.453,5.833,14.122,11.246,1.456,0.213,0.31,0.787,111.696,1.03,1.452,0.622,41.23,56.45,0,-15.22,8.85,-,0.23,0,0.051,0.49,0.313
82,2010,29.868,3.99,6.75,46.641,7.347,19.6,15.33,-28.6,202.64,8.87,7.52,4.59,80.531,8.391,4.751,12.27,8.131,1.248,0.239,0.299,0.759,114.419,0.91,1.421,0.843,43.98,74.93,0,-30.95,8.3,-,0.19,0,0.035,0.421,0.303
