enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
83,2005,0,N/A,-,0,-,-,-,0,0,0,0,-,64.084,21.964,9.934,26.28,13.562,N/A,0,0,0,-,0,0,0,0,0,0,0,0,-,0.36,0,0.045,0.204,0.248
83,2006,77.994,N/A,15.337,77.994,15.337,288.84,51.65,0,0,24.74,0,121.62,66.125,25.526,15.419,32.779,11.804,0.126,0.197,0.025,0.803,65.772,0.59,0.995,0,26.81,43.52,0,-16.71,13.61,-,0.34,0,0.035,0.136,0.227
83,2007,-2630.589,N/A,-29.266,-2630.589,-29.266,-440.06,-97.56,0,97.34,42.09,56.71,140.74,69.703,33.521,-29.977,-32.892,9.611,-0.082,-0.114,0.009,1.105,68.05,1.32,0.976,0,23.47,36.59,0,-13.12,15.55,-,0.3,0,0.045,0.133,0.317
83,2008,7.384,3.17,4.084,236.471,8.799,212.35,10.23,0,2.88,11.19,10,194.56,75.443,43.142,12.837,27.399,1.852,0.005,0.637,0.003,0.363,24.002,0.76,0.318,0.054,17.1,30.61,0,-13.51,21.34,-,0.25,0,0.066,0.154,0.782
83,2009,10.351,4.98,6.997,143.519,18.768,360.33,14.79,0,-23.01,8.12,9.43,141.98,76.545,51.223,34.047,62.813,3.646,0.002,0.718,0.002,0.282,15.73,1.25,0.205,0.161,20.76,35.46,0,-14.7,17.59,-,0.23,0,0.044,0.086,0.548
83,2010,12.307,6.03,9.03,141.778,27.371,270.8,15.74,62.97,24.66,11.03,8.61,144,79.578,56.342,36.776,59.628,30.378,0.002,0.749,0.001,0.251,19.541,2.82,0.246,0.127,20.82,32.47,0,-11.65,17.53,-,0.2,0,0.03,0.053,0.09
83,2011,14.189,6.57,10.709,134.711,32.974,198.29,17.85,66.21,29.97,12.14,5.2,72.73,80.235,59.458,39.726,62.593,38.3,0,0.761,0,0.239,21.629,1.41,0.27,0.12,20.58,30.75,0,-10.17,17.74,-,0.2,0,0.038,0.065,0.091
83,2012,7.931,2.46,5.735,54.541,15.01,232.19,19.69,11.26,156.39,19.62,6.51,-,79.465,59.87,20.574,63.065,44.458,0,0.691,0,0.309,22.15,-2.73,0.279,0.142,22.47,27.38,0,-4.91,16.24,-,0.21,0,0.036,0.06,0.075
83,2013,18.275,4.06,13.111,119.039,33.383,386.45,22.74,24.66,122.93,15.92,5.28,-,79.623,61.488,42.282,64.858,21.659,0,0.747,0,0.253,24.689,8.74,0.31,0.174,22.99,25.55,0,-2.56,15.87,-,0.2,0,0.04,0.065,0.156
83,2014,20.036,4.18,14.594,134.487,38.392,426.71,24.09,20.44,75.83,18.34,6.84,-,81.247,64.163,42.812,64.297,52.37,0,0.711,0,0.289,27.695,2.02,0.341,0.176,22.74,25.36,0,-2.62,16.05,-,0.19,0,0.044,0.068,0.077
83,2015,22.105,3.91,16.239,116.057,40.068,476.08,27.03,20.09,100.9,19.89,7.64,-,81.607,65.404,45.591,68.386,44.452,0,0.758,0,0.242,29.067,1.19,0.356,0.183,21.94,19.59,0,2.35,16.63,-,0.18,0,0.03,0.046,0.063
83,2016,19.094,2.66,11.588,Negative Tangible Equity,31.601,417.98,18.75,24.24,4.27,16.92,7.96,2.69,81.674,64.726,39.723,59.283,33.49,0.483,0.514,0.248,0.486,23.825,0.62,0.292,0.197,22.85,21.79,0,1.06,15.98,-,0.18,0,0.035,0.054,0.094
83,2017,20.401,2.3,10.149,Negative Tangible Equity,28.656,552.49,21.34,9.56,-41.48,12.84,8.65,3.29,82.307,66.255,36.491,69.283,46.901,0.561,0.482,0.27,0.518,22.892,0.29,0.278,0.19,21.6,21.46,0,0.14,16.9,-,0.18,0,0.039,0.058,0.076
83,2018,30.857,2.66,15.016,Negative Tangible Equity,40.01,567.96,23.15,19.69,145.18,19.48,8.64,3.5,81.29,65.801,49.983,68.082,59.309,0.489,0.491,0.24,0.509,24.421,5.61,0.3,0.18,20.72,17.13,0,3.59,17.61,-,0.19,0,0.035,0.053,0.055
83,2019,35.173,2.73,17.038,Negative Tangible Equity,42.677,596.75,26.34,19.58,235.35,21.66,6.32,3.2,81.873,67.028,52.574,69.953,52.348,0.482,0.478,0.231,0.522,26.533,1.37,0.324,0.185,21.84,14.85,0,6.99,16.71,-,0.18,0,0.033,0.049,0.059
83,2020,30.654,2.25,14.158,Negative Tangible Equity,32.273,526.73,22.79,15.41,-27.49,18.33,5.92,2.53,79.346,64.506,49.739,68.997,44.42,0.665,0.447,0.297,0.553,22.586,1.12,0.285,0.238,26.4,13.35,0,13.05,13.83,-,0.21,0,0.034,0.052,0.07
83,2021,33.364,2.41,15.03,Negative Tangible Equity,32.196,608.07,24.82,15.66,53.67,18.91,7.22,2.28,79.382,65.576,51.072,72.101,60.245,0.558,0.453,0.253,0.547,23.362,0.95,0.294,0.217,27.15,16.16,0,10.99,13.44,-,0.21,0,0.029,0.045,0.046
83,2022,40.883,3.62,17.764,Negative Tangible Equity,36.515,628.97,28.34,12.04,175.62,24.53,9.12,2.48,80.44,67.148,51.03,66.65,61,0.631,0.416,0.263,0.584,28.002,1.92,0.348,0.2,24.83,19.29,0,5.54,14.7,-,0.2,0,0.033,0.049,0.051
83,2023,46.487,3.79,19.628,Negative Tangible Equity,38.795,652.26,32.84,12.21,76.8,26.28,10.42,3,79.889,67.152,52.899,69.286,60.319,0.528,0.428,0.226,0.572,29.643,1.14,0.371,0.205,24.09,19.87,0,4.22,15.15,-,0.2,0,0.032,0.048,0.051
