enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,roc_(joel_greenblatt)_%,roce_%,5-year_rore_%,1-year_roiic_%,roic_%,wacc_%,effective_interest_rate_on_debt_%,gross_margin_%,operating_margin_%,net_margin_%,ebitda_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,gross-profit-to-asset_%,degree_of_financial_leverage,asset_turnover,dividend_payout_ratio,days_sales_outstanding,days_payable,days_inventory,cash_conversion_cycle,receivables_turnover,inventory_turnover,cogs-to-revenue,inventory-to-revenue,capex-to-revenue,capex-to-operating-income,capex-to-operating-cash-flow
86,1994,23.913,4.22,9.926,23.913,9.926,24.86,25.62,16.96,11.52,14.25,11.91,6.42,21.389,6.19,3.432,7.438,-2.131,0.893,0.407,0.363,0.593,61.869,0.69,2.893,0.127,3.7,27.24,69.26,45.72,98.53,5.27,0.79,0.149,0.054,0.866,1.66
86,1995,22.837,5.53,9.048,22.837,9.048,23.33,23.72,14.92,11.67,13.78,10.36,6.66,21.371,5.956,3.214,7.239,-0.993,0.911,0.388,0.353,0.612,60.162,0.74,2.815,0.145,3.48,27.86,69.78,45.4,104.92,5.23,0.79,0.15,0.045,0.752,1.285
86,1996,19.94,6.29,7.789,19.94,7.789,20.75,21.45,11.01,4.54,12.39,9.83,7.11,21.386,5.536,2.891,6.912,-1.248,0.908,0.393,0.357,0.607,57.612,0.3,2.694,0.168,3.38,30.25,73.61,46.74,108.13,4.96,0.79,0.159,0.038,0.68,1.496
86,1997,19.16,6.04,7.923,19.161,7.923,20.97,20.91,8.86,-74.62,12.65,9.71,7.03,21.349,5.389,2.878,6.767,3.096,0.62,0.433,0.269,0.567,58.767,1.26,2.753,0.158,2.92,30.75,69.68,41.85,125.06,5.24,0.79,0.15,0.025,0.462,0.446
86,1998,19.783,4.1,8.298,19.783,8.298,23.52,21.83,9.75,21.08,13.89,10,7.31,21.677,5.451,2.956,6.821,3.761,0.584,0.408,0.238,0.592,60.858,1.22,2.807,0.173,2.79,32.72,63.27,33.34,131.03,5.77,0.78,0.136,0.022,0.405,0.37
86,1999,22.365,2.47,9.289,23.896,9.543,28.16,25.31,12.85,56.48,16.14,9.31,7.44,21.897,5.833,3.182,7.178,2.763,0.503,0.422,0.212,0.578,63.919,1.03,2.919,0.157,2.75,32.54,56.35,26.56,132.96,6.48,0.78,0.121,0.027,0.46,0.493
86,2000,23.751,2.51,9.265,31.843,10.285,29.92,25.98,17,6.88,15.26,13.38,6.25,22.268,6.058,3.342,7.482,1.206,0.855,0.367,0.314,0.633,61.731,0.92,2.772,0.167,2.69,32.88,51.89,21.7,135.67,7.03,0.78,0.111,0.037,0.612,0.755
86,2001,22.019,2.72,8.479,32.511,9.683,28.32,24.54,17.62,11.55,13.1,10.45,6.23,22.194,5.857,3.26,7.44,0.809,0.712,0.401,0.286,0.599,57.733,1.27,2.601,0.171,2.94,34.25,50.08,18.77,124.23,7.29,0.78,0.107,0.042,0.711,0.837
86,2002,19.842,2.62,8.156,27.005,9.154,25.97,22.29,14.29,45.69,12.62,9.76,6.13,22.702,5.626,3.203,7.277,1.085,0.623,0.42,0.262,0.58,57.809,2.06,2.546,0.194,3.34,35.23,50.54,18.65,109.25,7.22,0.77,0.107,0.04,0.716,0.788
86,2003,21.338,4.01,8.921,28.106,9.92,26.86,22.66,14.43,10.33,13.35,6.84,4.48,23.007,5.741,3.435,7.251,1.624,0.643,0.416,0.268,0.584,59.75,1.56,2.597,0.17,2.81,33.21,48.12,17.72,129.77,7.58,0.77,0.102,0.04,0.695,0.711
86,2004,21.795,4.1,9.044,28.377,10.008,27.21,23.39,13.24,13.92,13.02,7.65,3.84,23.169,5.808,3.5,7.361,2.199,0.607,0.414,0.251,0.586,59.87,1.14,2.584,0.177,1.99,33.29,46.84,15.54,183.27,7.79,0.77,0.099,0.04,0.686,0.644
86,2005,22.075,4.92,9.104,28.388,10.023,27.53,24.22,13.29,15.01,13.67,7.27,4.12,23.734,6.085,3.611,7.629,0.788,0.629,0.411,0.258,0.589,59.832,1.05,2.521,0.211,1.91,34.86,47.45,14.5,191.52,7.69,0.76,0.099,0.045,0.74,0.851
86,2006,21.9,6.07,8.695,28.195,9.54,25.97,22.79,14.47,7.6,13,6.42,4.07,23.855,5.996,3.599,7.562,1.189,0.728,0.385,0.28,0.615,57.639,1.46,2.416,0.221,2.51,36.16,47.36,13.71,145.5,7.71,0.76,0.099,0.047,0.776,0.797
