enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
8,1994,17.69,19.78,20.5,5.67,5.67,30.34,15.67,5,0,5.03,11.31,12.35,8.1,0,52.71,13.55,16.04,87.02,0,3.36
8,1995,25.99,21.96,33.7,6.13,6.13,20.79,15.67,5.14,0,4.87,10.2,11.29,8.86,21.89,42.07,12.57,13.62,60.1,0,5.13
8,1996,31.57,33.65,31.85,9.43,9.43,27.74,21.89,8.9,0,8.38,18.88,20.97,4.77,21.59,62.89,20.47,20.54,78.63,0,3.87
8,1997,22.46,23.76,31.9,7.55,7.55,27.45,18.57,6.95,0.71,6.55,14.17,15.72,6.36,22.34,47.54,15.4,14.6,58.86,0,3.86
8,1998,23.01,21.41,20.94,6.53,6.53,28.85,16.46,6.33,1.53,5.97,13.37,15.05,6.64,16.96,41.61,12.95,11.69,51.48,0,3.68
8,1999,32.07,35.42,37.5,10.39,10.39,43.64,26.54,10.46,2.46,10.12,21.19,23.92,4.18,16.26,68.94,21.76,18.46,86.8,0,2.38
8,2000,58.88,65.93,81.71,20.22,20.22,84,60.24,20.21,4.39,18.76,40.04,45.38,2.2,15.95,122.34,40.29,34.71,158.09,0,1.26
8,2001,60.9,68.02,75.14,15.37,15.37,57.97,42.43,20.11,4.23,18.74,40.91,47.24,2.12,17.13,104.73,34.16,31,126.95,0,1.8
8,2002,54.8,48.82,63.63,11.31,11.31,58.91,41.35,15.24,3.15,14.12,31.54,37.02,2.7,16.85,79.32,24.29,23.73,94.97,0,1.76
8,2003,At Loss,177.07,0,3.41,17.25,35.08,24.79,10.1,12.05,11.01,22.92,27.56,3.63,16.62,81.55,14.98,17.5,65.64,0,2.55
8,2004,36.56,36.85,28.28,4.09,15.02,37.63,23.32,9.95,2.15,9.25,20.45,25,4,19,84.84,13.31,18.85,69.59,0,2.79
8,2005,35.44,30.52,40.24,4.1,15.7,35.86,22.9,8.03,1.46,7.6,17.28,20.54,4.87,22.06,71.67,10.35,16.04,61.05,0,2.92
8,2006,26.91,26.65,25.55,4.72,15.53,24.53,20.2,7.98,1,7.66,16.74,19.64,5.09,22.22,68.09,10.04,16.06,58.89,0,4.19
8,2007,27.54,21.09,22.6,4.2,20.34,19.49,15.08,5.7,0.75,5.77,13.65,16.25,6.15,23.32,50.15,7.31,11.4,41.06,0,5.24
8,2008,16.47,12.36,17.35,2.82,15.31,12.62,9.66,3.53,0.53,3.69,9.11,11.41,8.76,25.87,28.66,4.19,6.38,22.73,0,8.19
8,2009,15.32,15.32,13.19,2.97,9.98,11.68,10.37,4.14,0.89,4.07,9.2,10.98,9.11,23.13,30.64,4.59,6.93,23.57,0,8.79
8,2010,12.54,12.54,11.45,2.48,16.25,9.95,9.12,3.94,1.07,3.65,7.82,9.24,10.82,19.06,25.06,3.84,5.89,18.88,0,10.31
8,2011,11.46,11.46,11.34,2.14,4.93,10.17,9.15,3.52,1.37,3.13,6.79,7.96,12.56,16.68,20.8,3.28,5.03,15.94,0,10.18
8,2012,15.89,15.89,12.54,2.68,10.88,12.87,11.44,3.76,3.91,3.33,8.91,10.9,9.17,11.63,21.47,3.33,5.14,16.36,0.87,8.91
8,2013,15.62,15.62,13.79,3.42,26.83,13.13,11.53,3.93,2.09,3.92,9.46,11.16,8.96,13.85,23.23,4.11,6.02,19.26,1.67,7.93
8,2014,17.18,17.18,15.96,3.9,0,15.59,13.87,4.67,1.95,5.29,13.05,15.72,6.36,14,27.05,5.13,7.05,22.52,1.65,6.5
8,2015,23.77,23.77,15.35,4.7,0,15.43,13.7,6.11,1.96,6.22,14.27,18.75,5.33,16.46,33.97,6.71,8.9,26.98,1.53,6.56
8,2016,17.92,17.92,13.77,4.36,73.95,13.61,12.78,5.74,1.05,5.65,10.95,13.5,7.41,22.04,30.78,6.34,8.26,24.06,1.95,7.47
8,2017,14.28,14.28,11.52,3.61,22.27,11.46,10.65,4.8,0.74,4.54,8.33,10.02,9.98,25.78,23.91,5.15,6.74,18.86,2.74,8.91
8,2018,64.65,64.65,12.75,4.98,67.12,12.16,11.44,5.59,3.81,5.22,9.28,10.94,9.14,23.26,28.16,5.56,7.33,19.51,2.65,8.37
8,2019,15.43,15.43,12.52,9.81,0,12.26,11.46,5.45,1.03,5.36,9.87,11.63,8.6,21.59,27.37,6.09,7.46,19.28,2.71,8.61
8,2020,18.72,18.72,16.95,14.74,0,17.21,16.04,6.28,1.64,7,12.95,15.69,6.37,17.1,30.03,7.57,8.36,21.8,2.41,5.98
8,2021,18.68,18.68,13.69,14.13,0,13.72,12.92,5.34,2.29,6.11,11.95,16.53,6.05,14.46,26.12,7.4,7.25,18.77,2.78,7.44
8,2022,21.88,17.87,17.92,18.75,0,15.38,13.92,4.96,4.07,5.81,13.36,19.1,5.24,11.13,22.55,7.15,6.17,16.08,3.13,6.67
8,2023,21.69,21.69,19.02,38.31,0,16.17,14.62,5.4,6.34,6.45,13.96,19.41,5.15,9.34,23.6,8.54,6.42,16.75,2.95,6.26
