enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
15,2006,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2008,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2009,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2010,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2012,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,53.53,37.28,0,8.91,13.81,38.73,31.49,17.04,0,16.21,31.21,35.21,2.84,0,0,0,0,0,0,2.59
15,2016,18.43,30.64,18.77,5.86,10,28.62,23.16,13.02,0,12.32,13.78,14.94,6.69,0,0,0,0,0,0,3.62
15,2017,43.8,31.71,45.48,6.74,14.14,29.29,23.08,12.08,0,11.79,24.24,29.77,3.36,0,0,0,0,0,0,3.47
15,2018,47.37,35.26,49.3,8.15,18.5,31.54,24.06,12.09,0,11.87,23.58,28.58,3.5,0,0,0,0,0,0,3.22
15,2019,36.71,31.89,34.26,6.44,21.79,31.7,21.28,8.53,1.43,8.55,23.27,31.78,3.15,22.8,0,0,0,0,0,3.2
15,2020,24.42,25.78,0,4.86,9.04,26.94,20.17,7.15,1.06,7.02,16.69,20.81,4.81,23.34,0,0,0,0,0,3.69
15,2021,26.98,22.67,0,4.27,7.09,21.51,17.5,5.65,0.88,5.36,17.66,22.63,4.42,23.62,58.4,11.81,13.81,34.04,0,4.71
15,2022,30.38,13.09,0,1.94,3.03,21.02,13.17,2.2,1,1.99,13.24,21.18,4.72,21.32,25.19,4.33,5.34,15.65,0,4.85
15,2023,25.66,12.9,0,1.83,2.71,11.23,9.3,2.14,0,1.85,10.52,15.17,6.59,8.72,22.36,3.26,4.35,13.68,0,9.16
