enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
14,1994,11.82,11.82,0,1.64,1.64,400.56,10.86,0.58,0,0.59,5.52,8.87,11.27,0,14.89,1.93,0.62,20.85,2.31,0.25
14,1995,18.73,18.73,0,1.65,1.65,56.9,14.88,0.73,6.04,0.73,6.97,13.89,7.2,6.49,16.19,1.96,0.64,25.07,2.13,1.76
14,1996,68.16,14.43,0,2.72,2.72,19.31,12.55,0.81,0,0.78,26.11,-81.78,-1.22,-8.22,27.38,3.08,0.99,34.3,1.28,5.15
14,1997,28.78,28.78,25.05,2.84,3.48,19.8,14.48,1.47,0,1.11,10.54,15.9,6.29,-12.85,35.07,3.93,1.3,36.68,1.02,6.88
14,1998,At Loss,At Loss,37.36,3.68,4.51,66.49,22.55,1.04,0,1.08,41.05,-192.76,-0.52,-9.7,34.28,3.46,1.13,35.38,1.14,1.5
14,1999,28.37,28.65,25.18,2.59,3.18,42.49,13.19,0.57,0,0.65,11.4,23.2,4.31,-16.22,22.66,2.28,0.7,24.38,1.72,2.35
14,2000,16.64,17.09,7.43,3.29,4.08,7.69,6.16,0.66,4.81,0.71,8.51,12.92,7.74,9.32,25.95,2.8,0.83,23.21,1.35,13.23
14,2001,27.05,25.32,14.69,5.24,9.95,11.48,9.68,1.12,0.99,1.28,13.32,19.04,5.25,24.69,40.49,4.3,1.26,31.76,0.85,8.67
14,2002,11.37,12.41,11.46,2.86,7.07,11.89,8.26,0.55,0.35,0.73,7.15,10.11,9.89,28.27,22.85,2.5,0.71,15.45,1.75,8.74
14,2003,54.08,61.55,74.98,3.43,6.93,8.24,6.3,0.49,1.11,0.71,7.7,10.99,9.1,31.45,19.54,2.13,0.58,12.02,2.06,12.26
14,2004,47.35,35.68,309.85,4.15,6.5,17.32,12.58,0.68,0,0.87,19.3,50.79,1.97,7.61,26.75,2.8,0.71,13.94,1.61,5.83
14,2005,22.51,27.42,38.29,3.82,5.14,18.64,12.01,0.8,0,0.99,13.61,22.55,4.43,-0.71,30.49,3.47,0.81,15.47,1.49,5.24
14,2006,21.95,31.07,13.64,5.08,6.8,10.34,8.06,1.05,0,1.14,13.21,19.58,5.11,-2.41,35.07,4.71,1.06,18.09,1.42,9.7
14,2007,31.17,33.27,13.87,14.79,0,12.03,9.33,1.14,831.75,1.19,14.71,21.32,4.69,5,42.08,6.14,1.24,20.48,1.35,8.3
14,2008,16.56,18.18,8.09,7.46,17.54,8.81,7.05,1.02,0.93,1,8.47,10.47,9.55,26.3,31.74,6.31,1.14,16.14,1.6,11.42
14,2009,11.63,12.47,0,0,0,0,0,0.51,0.55,0.58,6.22,8.43,11.86,31.79,14.4,3.29,0.55,8.52,3.75,-7.27
14,2010,29.42,28.13,10.94,19.26,0,8.74,6.89,0.57,5.11,0.63,11.45,20.66,4.84,15.4,18.64,4.65,0.67,10.72,3.1,10.78
14,2011,14.67,15.58,66.46,17.35,0,26.51,16.38,0.75,0,0.78,7.38,9.95,10.05,7.2,21.17,6.09,0.78,14.04,2.57,3.8
14,2012,13.74,14.58,24.06,15.54,0,23.83,13.68,0.8,97.2,0.81,7.4,9.51,10.52,5.54,22.37,7.43,0.85,15.67,2.29,4.23
14,2013,14.75,15.46,10.78,9.71,0,9.9,7.64,0.7,2.4,0.66,6.6,8.48,11.79,10.98,19.97,8.12,0.84,15.05,2.34,10.18
14,2014,22.9,23.77,16.65,6.86,15.05,17.63,12.81,1.21,1.26,1.11,11.4,14.58,6.86,22.16,31.64,14.31,1.44,24.57,1.42,5.82
14,2015,17.61,18.33,13.71,10.6,135.68,14.46,10.81,1.06,1.22,0.97,9.38,11.78,8.49,20.05,27.12,13.04,1.3,21.11,2.25,7.21
14,2016,19.43,18.73,13.61,15.22,0,14.54,10.73,1.05,2.14,0.98,10.19,12.7,7.87,13.81,27.89,15.33,1.36,22.67,2.52,7.17
14,2017,19.88,22.43,12.18,117.58,0,12.69,9.53,1.07,5.65,1.03,12.04,15.78,6.34,10.09,27.22,18.35,1.37,22.69,2.8,8.2
14,2018,21.29,23.92,16.33,105.25,0,15.68,13.48,1.91,2.48,1.87,14.02,16.77,5.96,13.73,44.85,38.57,2.43,38.18,1.93,6.58
14,2019,18.07,20.14,14.21,540.2,0,13.95,12.32,1.87,1.24,1.86,13.28,15.6,6.41,20.62,39.98,47.84,2.46,30.54,2.12,7.39
14,2020,At Loss,At Loss,0,0,0,0,0,2.41,0,2.63,274.13,-130.91,-0.76,-0.55,41.15,53.79,2.39,35.05,2.52,-2.4
14,2021,At Loss,At Loss,0,0,0,0,0,2.09,0,2.81,-16.2,-13.24,-7.55,0,39.54,63.49,1.55,37.95,0.96,-15.81
14,2022,At Loss,At Loss,0,0,0,0,0,1.9,0,2.58,-777,-68.41,-1.46,0,45.55,4116.82,1.37,41.34,0,-3.71
14,2023,At Loss,At Loss,0,0,0,49.49,32.26,1.7,0,2.31,-301.82,-61.84,-1.62,0,59.37,0,1.23,41.74,0,2.01
