enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
24,1994,22.45,5.39,0,2.03,2.03,31.57,6.72,0.77,0,0.93,6.53,12.36,8.09,0,0,0,0,0,4.02,3.16
24,1995,17.16,17.16,0,1.99,1.99,0,10.04,0.81,0,1,6.44,11.41,8.76,0,0,0,0,0,4.14,-1.75
24,1996,36.63,36.63,0,2.38,2.38,62.51,8.38,0.92,0,1.11,7.38,18.77,5.33,0,0,0,0,0,3.67,1.6
24,1997,16.29,16.29,0,2.72,2.72,17.88,7.32,0.97,0,1.08,6.49,9.31,10.74,0,0,0,0,0,3.2,5.59
24,1998,15.56,15.56,18.64,2.89,2.89,74.04,11.05,1.21,0,1.31,6.77,9.44,10.59,0,0,0,0,0,2.96,1.35
24,1999,40.66,40.66,0,3.18,3.18,0,14.59,1.78,5.78,1.97,13.23,26.93,3.71,8.33,0,0,0,0,2.94,-0.28
24,2000,27.59,36.09,12.98,1.93,1.93,0,7.35,0.67,16.79,0.86,4.12,5.68,17.61,3.27,0,0,0,0,2.86,-0.22
24,2001,10.59,11.91,6.27,1.64,1.64,9.46,4.1,0.46,0.48,0.57,2.5,3.1,32.26,23.06,0,0,0,0,3.08,10.78
24,2002,29,21.38,23.81,2.82,2.82,54.58,8.31,0.9,0.54,1.04,4.51,6.35,15.75,23.16,0,0,0,0,2.96,1.82
24,2003,62.72,20.41,88.88,2.25,2.25,30.27,7.14,0.72,0.58,0.85,4.35,5.94,16.84,24.1,17.61,2.19,0.7,29.24,4.21,3.3
24,2004,12.5,13.38,14.19,2.56,2.56,13.51,7.34,0.75,0.62,0.83,3.92,4.95,20.2,24.48,20.03,2.79,0.85,31.28,3.29,7.19
24,2005,8.36,9.4,9.27,2.45,2.45,13.3,7.59,0.72,0,0.72,3.28,3.84,26.04,-0.32,19.39,3.15,0.93,28.43,2.91,7.57
24,2006,8.68,9,8.04,2.02,2.18,10.73,6.09,0.62,0,0.65,3.18,3.73,26.81,3.64,16.87,3.11,0.89,23.77,3.08,9
24,2007,9.43,9.76,8.48,2.31,2.47,15.37,6.64,0.77,0.8,0.75,3.94,4.85,20.62,16.65,18.51,3.62,1.04,27.3,2.73,6.6
24,2008,10.64,11.73,9.98,2.53,2.69,23.97,7.97,0.9,0.93,0.88,4.73,5.99,16.69,17,19.87,4.05,1.17,29.84,2.42,4.25
24,2009,6.34,6.34,7.11,1.71,1.81,15.22,5.12,0.57,0.71,0.55,2.82,3.44,29.07,14.87,12.96,2.92,0.82,20.48,3.42,6.72
24,2010,14.69,14.69,19.53,1.68,1.77,0,7.95,0.92,4.91,0.93,5.12,8.46,11.82,7.76,12.45,2.7,0.83,20.84,3.45,-0.3
24,2011,9.63,9.63,9.8,1.74,1.82,15.6,5.84,0.92,7.08,0.91,3.97,5.64,17.73,5.61,12.32,2.87,0.99,24.19,3.11,6.41
24,2012,7.92,7.92,7.4,1.74,1.81,14.59,5.18,0.87,0.89,0.83,3.91,5.27,18.98,12.9,12.35,2.92,1.07,24.35,2.9,6.92
24,2013,8.12,8.12,8.96,1.54,1.6,26.99,5.47,0.92,1.31,0.88,4.13,5.77,17.33,10.18,10.78,2.59,1.01,22.97,3.25,3.74
24,2014,11.26,11.26,16.73,1.6,1.65,0,6.89,1.1,2.28,1.11,5.8,8.98,11.14,7.21,11.52,2.61,1.11,29.59,3.12,-1.25
24,2015,11.06,11.06,17.89,1.36,1.4,0,6.71,1.05,4.14,1.13,4.64,7.26,13.77,5.1,10.06,2.08,0.98,31.56,3.75,-1.86
24,2016,36.72,36.72,0,1.11,1.14,0,8.67,1.3,0,1.52,7.02,40.84,2.45,-5.56,8.42,1.52,0.81,37.39,4.76,-5.93
24,2017,At Loss,At Loss,0,1.53,1.58,0,17.37,2,0,2.39,14.62,-134.21,-0.75,-18.47,11.83,1.82,1.09,73.99,3.64,-2.43
24,2018,25.81,25.81,63.16,1.61,1.66,34.27,11.68,1.76,0,2.03,9.41,28.71,3.48,-16.81,13.03,1.8,1.19,81.86,3.45,2.91
24,2019,14.06,14.06,11.61,1.34,1.38,12.38,6.8,1.31,0,1.46,5.61,10.89,9.18,-7.15,11.81,1.47,1.09,57.89,4.12,8.13
24,2020,78.25,78.25,12.31,1.57,1.62,17.3,8.36,1.63,31.18,1.78,6.97,39.32,2.54,4,13.47,1.53,1.21,45.44,3.95,5.82
24,2021,At Loss,At Loss,0,1.23,1.28,97.97,15.33,1.72,0,2.14,14.67,-29.94,-3.34,7.79,12.37,1.04,0.9,40.66,6.11,1.02
24,2022,14.42,14.42,9.32,1.63,1.68,10.66,7.72,1.45,0,1.63,6.26,11.32,8.83,2.48,18.13,1.35,1.25,48.07,4.52,9.33
24,2023,9.82,9.82,7.45,2.16,2.22,9.25,7.02,1.48,1.79,1.49,5.23,6.98,14.33,10.61,25.61,1.96,1.85,44.52,3.19,10.95
