enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
27,1994,55.83,57.86,13.89,3.62,3.62,11.19,7.1,1.98,0,2.26,6.65,12.58,7.95,0,103.96,4.72,3.32,17.34,0.76,8.93
27,1995,64.7,64.7,11.36,4.44,4.44,11.3,8.42,2.43,3.13,2.59,7.71,14.12,7.08,25.08,117.36,6.28,4.16,20.72,0.45,8.85
27,1996,95.32,55.6,11.36,2.6,0,14.54,9.05,2.23,2.33,2.88,7.98,17.83,5.61,25.64,107.39,5.63,3.81,20.37,0.65,6.88
27,1997,83.17,95.19,12.44,3.09,41.92,17.82,10.47,2.38,3.88,2.85,9.01,16.26,6.15,25.01,110.16,6.03,4.12,24.07,0.61,5.61
27,1998,27.97,27.42,13.33,2.66,14.25,20,10.12,2.25,1.4,2.75,8.23,16.12,6.2,25.09,89.42,4.95,3.4,22.01,0.78,5.02
27,1999,41.14,39.18,13.68,2.52,10.01,17.06,9.57,2.28,3.5,2.74,9.29,20.52,4.87,17.01,73.98,4.47,3.09,21.29,0.21,5.93
27,2000,65.84,88.92,31.4,3.29,9.94,34.78,16.13,2.38,0,3.47,18.71,34.98,2.86,1.5,100.95,5.54,4.04,27.45,0.56,2.2
27,2001,At Loss,46.96,0,1.63,4.71,30.6,12.59,1.52,0,1.84,10.12,16.39,6.1,-5.34,50.49,2.35,1.79,12.46,1.15,3.4
27,2002,24.76,25.18,69.41,1.28,8.36,25.3,13.29,1.2,0,1.71,12.64,18.17,5.5,-9.66,37.01,1.71,1.35,10.31,1.41,4
27,2003,33.54,33.54,29.85,1.67,9.86,22.96,14.65,1.57,0,1.91,13.66,19.09,5.24,-13.28,43.41,2.04,1.67,13.66,1.06,4.65
27,2004,20.68,20.3,21.71,1.74,7.22,15.07,10.44,1.58,0,1.88,10.97,14.25,7.02,-1.96,41.42,2.06,1.73,14.85,0.95,7.08
27,2005,19.89,19.86,21.08,1.81,44.08,20.62,11.8,1.61,6.13,1.9,11.29,15.14,6.61,7.62,37.71,1.97,1.71,16.25,1.01,5.14
27,2006,18.49,19.29,14.84,1.97,53.39,13.28,10.39,1.87,1.62,2.22,11.05,14.01,7.14,16.13,39.78,2.37,2.09,19.95,0.89,7.57
27,2007,15.28,17.87,15.1,2.19,64.16,18.66,13.27,2.03,0.92,2.27,9.74,11.88,8.42,23.66,36.14,2.52,2.27,22.14,0.9,5.71
27,2008,13.46,14.46,14.75,1.73,6.64,15.45,10.98,1.58,0.72,1.83,7.27,8.73,11.45,25.65,26.05,2.07,1.87,18.49,1.14,6.91
27,2009,15.6,17,14.73,1.48,5.09,14.44,9.68,1.42,1.03,1.69,7.76,9.79,10.21,23,21.82,1.81,1.65,16.81,1.27,7.14
27,2010,16.31,15.97,15.29,1.67,7.53,14.43,9.8,1.69,1.32,1.96,8.48,10.53,9.5,18.17,23.19,2.09,1.92,20.02,1.06,7.12
27,2011,11.97,12,13.37,1.42,6.55,16.76,8.23,1.41,1.71,1.62,6.42,7.82,12.79,13.74,17.32,1.76,1.62,17.05,1.33,6.46
27,2012,16.7,17.03,19.12,2.37,9.77,22.73,11.93,2.25,2.23,2.54,9.17,11.05,9.05,11.57,25.96,2.88,2.66,26.63,1.15,4.44
27,2013,19.08,18.49,18.49,2.56,10.81,17.57,12.37,2.6,1.67,2.87,10.62,12.96,7.72,14.68,27.98,3.35,3.1,28.65,1.16,5.73
27,2014,20.9,20.59,23.62,3.37,15.7,24.21,16.01,3.21,1.36,3.4,11.19,13.23,7.56,18.16,33.79,4.3,4.01,36,0.97,4.27
27,2015,20.86,20.77,23.83,3.67,17.16,24.53,15.34,3.33,1.32,3.44,10.96,12.79,7.82,18.76,34.28,4.68,4.36,37.13,1.77,4.35
27,2016,16.21,16.03,16.64,3.43,17.47,18.2,11.59,2.74,1.03,3.02,9.48,11.05,9.05,19.59,27.26,4.02,3.68,30.57,1.53,5.63
27,2017,17.32,17.3,18.61,3.58,51.1,17.84,12.6,2.82,1.28,3.16,10.19,12.17,8.22,17.87,26.02,4.03,3.61,28.62,1.58,5.9
27,2018,13.99,13.96,17.4,3.6,16.41,17.93,12.33,2.97,1.32,3.32,10.77,12.89,7.76,14.85,26.26,4.48,3.95,29.63,1.44,5.6
27,2019,19.63,19.12,38.18,2.61,0,125.55,32.87,3.12,2.36,4.13,15.09,19.3,5.18,11.59,25.95,4.49,4.07,33.22,1.35,0.75
27,2020,At Loss,166.33,0,2.68,0,62.38,29.45,3.43,0,4.31,55.33,-1118.15,-0.09,-6.9,26.46,3.87,3.68,31.8,0.71,1.6
27,2021,155.2,124.85,64.45,3.47,0,155.49,55.56,4.59,0,5.38,39.37,88.36,1.13,-25.08,35.67,4.68,4.61,42.28,0,0.65
27,2022,54.84,45.33,31.84,1.77,73.87,161.52,28.67,2.08,0,2.68,18.45,32.39,3.09,-20.13,19.24,2.27,2.28,23.08,0,0.64
27,2023,62.83,21.56,52.26,1.45,15.78,30.29,15.03,1.67,0,2.14,16.77,31.84,3.14,-10.22,16.99,1.78,1.82,20.17,0,3.39
