enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
28,1994,15.61,18.15,6.11,2.61,4.36,12.65,6.76,1.15,0,2.61,9.62,12.03,8.31,0,17.48,3.03,1.31,14.45,2.47,8.09
28,1995,13.81,12.17,8,2.48,4.35,11.08,4.88,1.1,4.89,2.69,9.84,12.27,8.15,9.4,15.92,2.78,1.19,13.09,2.92,9.03
28,1996,13.85,15.01,9.51,3.04,5.54,10.7,6.08,1.31,4.92,2.97,10.25,12.49,8.01,8.99,20.31,3.7,1.55,16.21,2.34,9.43
28,1997,17.17,18.24,12.85,3.92,8.08,12.39,7,1.59,2.66,3.19,11.31,13.65,7.33,12.77,24.93,4.77,1.96,19.59,1.93,8.27
28,1998,22.37,28.14,17.76,5.22,11.74,31.46,12.93,2.08,2.88,3.64,14.93,18.42,5.43,13.77,32.92,6.72,2.7,28.86,1.48,3.25
28,1999,27.42,26.9,15.78,6.44,16.43,24.55,13.16,2.54,2.53,4.24,14.63,18.32,5.46,13.86,41.37,8.84,3.43,37,1.23,4.14
28,2000,36.16,35.33,22.21,8.99,23.12,42.54,15.73,3.46,2.28,4.47,15.46,19.51,5.13,17.81,55.82,12.43,4.78,53.09,0.95,2.38
28,2001,28.31,27.67,23.49,7.07,15.5,41.46,15.94,2.78,1.9,3.57,12.69,15.38,6.5,17.13,45.45,10.47,4.02,45.92,1.19,2.44
28,2002,21.94,21.55,10.92,5.45,15.16,18.32,9.19,2.39,1.52,3.38,11.28,13.89,7.2,17.62,33.14,8.02,3.14,32.44,1.65,5.52
28,2003,12.95,12.72,11.89,2.87,10.41,12.45,6.37,1.39,1.17,2.58,9.59,11.74,8.52,17.29,18.06,4.39,1.75,17.76,3,8.06
28,2004,15.39,16.67,23.26,2.96,9.7,12.02,8.01,2.07,5.52,3.79,12.26,15.25,6.56,9.68,20.87,4.99,2.12,19.8,2.49,8.32
28,2005,16.69,16.62,18.99,2.62,8.97,12.14,7.84,2.13,46.17,4.46,14.87,18.76,5.33,6.15,21.8,5.04,2.3,20.05,2.25,8.12
28,2006,16.75,15.37,25.27,2.51,9.89,11.66,7.4,2.04,9.43,4.4,13.72,16.72,5.98,9.05,19.16,4.16,2.07,17.17,2.6,8.73
28,2007,13.96,14.47,18.22,2.57,10.55,18.52,9.22,1.91,2.86,4.39,13.14,15.78,6.34,11.79,18.44,3.9,2.06,17.48,2.77,5.46
28,2008,12.81,12.64,10.09,2.4,15.18,11.13,6.56,1.65,1.1,4.28,12,14.4,6.94,18.82,16.49,3.41,1.9,15.14,3.1,9.19
28,2009,7.06,6.83,8.09,1.23,16.18,3.76,2.52,0.68,0.48,2.94,9.38,11.74,8.52,33.02,7.01,1.38,0.8,6.02,7.65,25.44
28,2010,11.24,11.35,12.16,1.03,2.99,7.63,4.93,0.78,2.46,3.07,12.25,16.85,5.93,23.99,6.51,1.19,0.73,5.39,4.03,13.04
28,2011,12.94,12.14,13.33,1.22,3.27,5.57,4.06,0.99,0,3.41,12.82,17.04,5.87,10.87,8.01,1.35,0.88,6.03,2.52,18.08
28,2012,10.92,9.81,13.96,1.22,4.47,6.88,4.28,1.01,0,3.29,10.68,13.46,7.43,7.62,7.85,1.22,0.85,5.77,3.41,14.59
28,2013,12.21,10.43,21.94,1.33,4.32,10.26,5.31,1.15,0,3.17,11.73,15.35,6.51,3.6,9.31,1.36,1,6.74,3.33,9.9
28,2014,16.56,23.36,35.84,1.62,5.48,9.94,7.59,1.96,0,4.25,27.27,39.12,2.56,1.73,12.66,1.75,1.35,9,2.82,10.28
28,2015,12.64,17.55,25.35,1.49,3.09,9.33,6.92,1.65,0,3.05,19.72,27.19,3.68,-6.08,11.69,1.55,1.24,8.33,3.52,10.79
28,2016,At Loss,66.76,0,2.23,14.67,19.83,11.77,2.03,0,2.75,19.17,27.14,3.68,-14.27,16.88,1.93,1.56,10.49,2.95,5.39
28,2017,31.6,23.01,22.97,2.73,0,0,186.64,1.81,0,2.11,13.21,20.96,4.77,-10.57,18.74,1.97,1.6,12.13,2.94,-3.28
28,2018,At Loss,At Loss,0,2.03,0,0,17.35,1.15,0,1.85,-370.34,-27.46,-3.64,-18.86,13.82,1.11,0.92,7.73,4.81,-0.48
28,2019,At Loss,8.74,0,1.6,0,0,9.91,0.51,0,1.12,-11.3,-6.71,-14.9,0,11.27,0.51,0.42,4.28,4.89,-3.98
28,2020,At Loss,378.63,0,2.69,0,12.19,8.7,0.84,0,1.36,19.15,42.76,2.34,0,26.32,0.82,0.66,6.95,0.36,8.19
28,2021,14.56,At Loss,15.55,2.08,210.03,40.16,20.69,0.97,0,1.45,8.47,11.56,8.65,0,31.45,0.86,0.67,8.46,0.37,2.49
28,2022,At Loss,84.06,0,2.01,16.74,41.07,24.29,1.09,0,1.24,76.78,-51.07,-1.96,0,165.66,0.97,0.72,10.88,0.34,2.43
28,2023,At Loss,49.09,20.31,1.96,23.74,16.17,12.11,0.94,0,1.08,12.54,27.26,3.67,0,0,0.91,0.64,10.85,0.38,6.22
