enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
31,2001,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2002,21.45,21.45,0,3.18,3.18,21.97,13.88,7.14,0,6.22,0,0,0,0,0,0,0,4.13
31,2003,18.78,18.78,0,2.65,2.65,5.51,4.55,5.47,0,5.45,0,0,0,0,0,0,0.99,17.3
31,2004,23.23,23.23,0,4.09,4.09,2.9,2.74,6.38,0,6.03,0,0,0,0,0,0,0.64,29.86
31,2005,24.11,24.11,0,3.83,3.83,0,91.27,6.58,0,8.19,0,0,0,0,0,0,0.54,-0.37
31,2006,26.63,26.63,8.93,4.6,4.6,8.46,7.5,6.78,0.9,7.38,0,26.38,0,0,0,0,0.51,11.36
31,2007,27.75,27.75,13.44,4.58,4.58,10.01,9.05,5.83,1.24,6.48,0,26.44,0,0,0,0,0.56,10.2
31,2008,35.27,33.45,0,3.91,3.91,0,0,6.17,1.24,6.48,0,22.46,0,0,0,0,0.52,-12.05
31,2009,26.88,26.75,4.06,1.77,2.73,3.4,3.22,3.81,0.74,3.17,0,27.54,0,0,0,0,0.89,27.02
31,2010,34.78,34.78,10.64,3.16,4.36,8.29,7.83,6.9,0.91,6.16,0,24.68,56.05,6.33,12.27,20.4,0.43,10.66
31,2011,26.67,26.67,38.61,3.42,4.46,24.81,21.92,7.08,0.7,5.6,0,24.54,52.56,5.89,11.54,21.7,0.44,3.74
31,2012,24.61,24.61,65.58,3.4,4.25,41.45,32.69,6.85,0.78,6.54,0,23.92,45.7,5.19,10.3,21.37,0.65,2.2
31,2013,24.14,24.14,29.23,3.45,4.12,24.26,20.87,6.71,1.17,6.79,0,23.43,42.44,4.91,9.81,22.43,0.57,3.81
31,2014,22.73,22.73,16.96,3.76,4.38,15.36,14.18,6.85,1.67,6.8,0,18.3,40.91,4.88,9.81,25.91,0.71,5.87
31,2015,25.22,25.22,30.05,4.1,4.55,24.92,22.89,7.92,1.52,8.61,0,19.8,45.46,5.5,11.32,29.28,0.55,3.27
31,2016,23.12,23.12,21.11,4,4.37,17.03,16.03,7.01,1.23,7.59,0,22.07,39.58,4.81,10.15,27.45,0.61,4.61
31,2017,26.44,26.44,11.36,4.12,4.45,10.13,9.8,8.04,1.34,9.06,0,23.59,45.45,5.56,12.11,28.77,0.56,8.67
31,2018,27.61,27.61,246.95,4.73,5.06,57.94,52.3,8.68,1.46,10.37,0,22.07,49.16,6.25,13.77,30.26,0.52,1.53
31,2019,28.52,28.52,67.4,4.48,4.69,37.6,34.25,9.4,1.43,10.73,0,22.74,48.38,6.43,14.36,37.8,0.48,2.28
31,2020,18.23,18.23,124.06,2.77,2.88,31.04,27.72,5.99,0.98,6.91,0,22.43,29.78,4.07,9.15,28.11,0.84,2.92
31,2021,25.31,25.31,10.36,4.81,4.99,9.13,8.95,8.81,1.34,9.27,0,22.63,42.86,5.99,13.54,31.78,0,8.7
31,2022,21.19,21.19,18.47,3.45,3.55,14.75,14.08,8.02,1.16,8.58,0,22.86,35.22,5.03,11.52,25.2,0.43,6.42
31,2023,18.15,18.15,24.78,3.5,3.6,20.74,18.84,7.46,1.06,8.18,0,21.45,31.68,4.67,10.83,23.92,0.87,4.25
