enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
32,1994,25.75,24.61,16.42,4.47,8.19,23.04,9.02,0.9,0,0.99,7.82,12.31,8.12,0,39.45,2.93,0.78,32.36,1.49,4.33
32,1995,12.07,11.8,13.7,3.07,5.61,22.72,8.8,0.72,0,0.81,6.04,8.98,11.14,-0.48,36.72,2.64,0.71,26.1,1.92,4.41
32,1996,15.97,15.18,20.75,3.88,6.91,29.76,11.51,0.98,0.45,1.07,8.24,12.24,8.17,22.84,34.32,4.07,1.02,36.94,1.52,3.37
32,1997,19.28,33.77,32.64,4.51,6.83,44.6,16.44,1.41,0.85,1.36,9.02,12.61,7.93,22.2,41.82,5.28,1.33,48.56,1.3,2.34
32,1998,17.38,21.52,10.79,4.42,9.9,21.98,10.45,0.9,1.21,0.92,6.88,9.77,10.24,20.36,38.55,5.31,1.29,42.94,1.43,4.74
32,1999,16.33,16.39,12.98,2.64,5.74,23.47,11.14,0.93,0.98,1.07,6.73,8.85,11.3,19.64,36.64,5.46,1.33,41.89,1.5,4.39
32,2000,28.91,34.85,39.94,5.08,11.09,32.1,18.76,1.88,1.86,1.97,16.09,23.09,4.33,21.24,48.09,7.4,1.81,52.09,1.19,3.18
32,2001,21.97,23.17,33.56,3.75,9.55,32.08,18.32,1.46,2.16,1.63,10.75,14.57,6.86,14.26,35.3,5.6,1.43,39.09,1.6,3.12
32,2002,At Loss,At Loss,0,2.87,9.36,23.8,13.36,1.13,0,1.28,27.85,190.04,0.53,-5.45,24.02,3.77,1.01,25.13,2.23,4.25
32,2003,At Loss,14.33,0,2.19,9.07,10.97,7.88,0.84,0,1.01,8.78,11.88,8.42,-14.66,15.16,2.47,0.7,15.91,3.15,8.75
32,2004,20.94,21.19,14.46,2.56,7.14,17.95,12.61,1.2,0,1.28,11.5,15.46,6.47,-14.57,20,3.17,0.96,20.71,2.26,5.63
32,2005,23.25,27.43,16.91,2.55,7.17,17.84,12.86,1.13,0,1.19,14.18,19.9,5.03,-3.75,20.85,3.05,0.98,19.99,2.14,5.67
32,2006,18.47,19.38,14.34,2.73,15.25,17.21,12.39,1.09,5.91,1.2,10.82,13.74,7.28,8.42,21.3,2.96,0.99,19.23,2.22,5.98
32,2007,17.09,17.19,13.75,3.55,495.06,14.37,11.09,1.13,1,1.22,9.94,12.52,7.99,22.18,24.81,3.39,1.16,20.45,2.02,7.19
32,2008,18.55,18.34,13.97,4.74,0,14.42,11.59,1.31,1.13,1.43,10.87,13.31,7.51,20.54,31.44,4.38,1.53,24.45,1.63,7.19
32,2009,8.31,9.82,7.2,3.2,0,7.99,6.13,0.64,0.4,0.8,5.67,6.87,14.56,29.29,16.2,2.35,0.83,12.14,3.37,12.65
32,2010,18.2,18.72,11.91,3.22,0,8.45,7.14,0.91,0.94,1.08,9.65,13.33,7.5,29.15,19.23,2.76,0.97,13.27,3.11,11.7
32,2011,19.54,20.24,11.72,3.72,0,11.13,9.4,1.22,3.77,1.35,10.68,14.07,7.11,13.15,25.72,3.75,1.29,16.15,2.29,8.96
32,2012,19.82,22.12,20.85,3.71,0,20.12,14.46,1.12,0,1.21,12.18,16.57,6.04,6.25,22.48,3.72,1.25,15.61,2.54,5.08
32,2013,16.37,16.24,17.13,3.65,0,18.17,13.61,1.27,0,1.34,9.78,11.93,8.38,2.09,21.98,4.24,1.39,17.56,2.42,5.57
32,2014,17.68,18.15,17.73,3.9,35.75,20.47,16,1.78,4.97,1.81,10.53,12.35,8.1,8.11,28.15,5.83,1.91,23.56,1.85,4.97
32,2015,17.85,18.42,15.85,4.21,27.96,18.97,14.89,1.88,1.22,1.9,10.83,12.46,8.03,19.29,27.48,6.04,2.01,23.88,1.88,5.36
32,2016,16.32,16.21,15.55,4.15,0,17.5,14.1,2.02,1,2.15,10.66,12.02,8.32,20.45,25.56,5.95,2.03,22.79,2.09,5.86
32,2017,17.86,18.34,17.76,4.36,0,19.53,15.64,2.19,1.03,2.31,11.63,13.4,7.46,22.19,26.04,6.22,2.21,23.97,2.11,5.22
32,2018,73.42,72.26,31.07,6.68,0,22.97,19,2.8,7.27,2.9,14.02,16.17,6.18,13.61,35.09,7.55,2.87,30.07,1.79,4.48
32,2019,14.71,14.22,14.72,5.3,0,17.75,15.46,2.38,2.1,2.44,11.36,12.97,7.71,11.35,27.96,6.35,2.54,25.11,2.31,5.82
32,2020,21.05,21.39,19.37,6.81,0,21.34,18.74,3.52,3.19,3.61,14.7,16.72,5.98,10.5,32.58,7.88,3.32,31.1,1.9,4.81
32,2021,31.65,32,24.46,8.45,0,28.53,24.37,4.63,9.55,4.79,21.22,24.56,4.07,6.69,36.21,8.92,3.96,35.6,1.71,3.58
32,2022,26.36,26.06,22.41,7.69,0,28.4,24.19,4.25,11.43,4.44,17.34,20.13,4.97,5.86,30.77,7.91,3.67,30.55,1.81,3.6
32,2023,29.48,27.5,32.04,8.57,0,32.47,27.76,4.13,35.26,4.35,19.27,22.69,4.41,4.29,28.69,7.48,3.6,28.57,1.85,3.15
