enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
37,1994,At Loss,At Loss,0,3.73,7.96,0,83.33,3.48,0,3.47,-5.04,-3.8,-26.32,0,0,0,0,0,0,-1.24
37,1995,At Loss,At Loss,0,6.74,9.16,40.39,23.04,4.46,0,4.62,36.36,-133.48,-0.75,0,0,0,0,0,0,2.3
37,1996,At Loss,At Loss,0,5.36,5.99,0,25.68,2.93,0,2.91,25.04,-265.24,-0.38,0,0,0,0,0,0,-0.49
37,1997,17.14,At Loss,7.18,2.85,3.22,21.88,14.43,1.96,0,1.96,17.01,113.95,0.88,0,0,0,0,0,0,4.52
37,1998,414.5,93.15,0,2.71,4.12,0,39.86,4.59,0,4.81,40.44,164.8,0.61,0,0,0,0,0,0,-10.69
37,1999,14.13,168.4,10.47,3.28,4.74,0,74.54,6.43,0,4.42,23.26,188.38,0.53,3.18,0,0,0,0,0,-9.2
37,2000,23.45,62.27,22.34,3.35,4.26,0,1214.29,6.57,2.61,4.81,14.64,36.03,2.78,17.66,0,0,0,0,0,-1.28
37,2001,At Loss,30.05,0,3.35,4.15,45.6,30.53,5.64,0.74,4.75,11.29,29.23,3.42,17.98,0,0,0,0,0,2.16
37,2002,68.72,41.49,0,4.19,5.59,18.05,16.7,7.34,0.79,6.14,27.79,38,2.63,19.22,0,0,0,0,0,5.74
37,2003,26.56,32.79,21.23,4.38,6.89,17.47,16.2,5.7,0.88,4.65,15.78,19.93,5.02,20.3,161.4,6.59,8.45,352.33,0,6.06
37,2004,23.7,22.05,18.8,3.9,5.84,14.21,12.94,4.16,0.87,3.39,11.02,13.81,7.24,22.03,52.48,4.98,6.36,93.37,0,7.41
37,2005,23.76,23.69,17.58,5.08,7.71,17.13,15.13,4.54,1.86,3.83,11.38,14.09,7.1,16.68,48.34,5.65,7.12,73.13,0,6.14
37,2006,26.61,29.04,22.92,6.11,9.05,21.1,18.26,4.85,1.79,4.12,13.64,16.42,6.09,20.28,47.76,6.49,7.87,62.02,0,4.96
37,2007,23.1,23.63,15.78,4.77,43.13,17.77,14.02,3.81,0.93,3.52,10.66,12.99,7.7,25,38,5.45,6.36,44.01,0,5.91
37,2008,19.38,22.64,12.84,4.25,86.76,17.68,11.16,3.1,1.12,3,9.38,12.12,8.25,24.58,29.02,4.66,5.07,29.14,0,5.94
37,2009,22,22,18.19,3.75,18.73,16.07,12.07,3.15,1.25,2.97,9.44,13.12,7.62,22.73,31.7,4.99,4.98,23.14,0,6.36
37,2010,22.46,22.87,16.78,4.42,19.17,15.11,12.94,3.8,1.47,3.48,10.1,12.92,7.74,19.78,38.37,6.4,5.88,24.96,0,6.85
37,2011,23.35,21.52,20.22,5.37,25.52,18.86,14.61,4.29,1.38,3.95,10.14,12.36,8.09,19.58,35.8,7.04,6.04,25.19,0,5.59
37,2012,22.32,23.32,18.19,6.24,13.69,16.85,14.2,4.65,1.57,4.43,11.81,14.22,7.03,18.62,37.61,8.38,6.66,28.04,1.03,6.13
37,2013,22.59,24.03,18.27,5.42,8.96,16.54,14.18,4.91,1.7,4.56,12.43,14.8,6.76,18.3,36.45,8.53,6.58,27.33,1.33,6.12
37,2014,26.27,28.34,19.81,7.59,14.4,18.93,16.5,5.62,2.55,5.17,14.36,16.49,6.06,14.94,41.05,10.27,7.58,30.85,0.93,5.39
37,2015,82.63,60.1,34.49,12.6,30.01,22.78,19.04,7.22,19.32,6.72,29.05,38.13,2.62,6.4,52.72,12.74,9.06,35.66,0.95,4.52
37,2016,30.08,36.51,22.43,24.65,0,31.35,20.15,6.27,0,6.08,19.34,23.05,4.34,3.15,49.07,13.52,8.67,34.9,1.08,3.28
37,2017,36.3,36.3,35.11,25.91,946.28,26.16,22.4,6.89,8.75,6.7,21,24.48,4.08,7.06,54.3,16.82,9.72,38.42,0.99,3.9
37,2018,40.13,40.13,38.17,18.76,46.17,26.81,25.24,8.85,3.84,8.55,28.03,32.5,3.08,12.76,68.62,24.23,12.91,47.98,0.76,3.76
37,2019,47.08,47.08,43.7,19.25,35.37,33.75,31.5,10.79,3.19,10.3,32.93,36.84,2.71,16.75,80.13,30.7,15.8,56.19,0.68,3.01
37,2020,44.27,44.27,45.3,15.7,23.42,35.52,33.51,10.53,2.67,10,31.59,34.71,2.88,18.62,76.95,31.23,15.79,55.31,0.69,2.84
37,2021,70.1,70.1,66.3,14.67,144.25,46.3,44.52,15.02,5.45,14.89,48.65,55.48,1.8,14.29,112.47,42.39,23.36,79.24,0.45,2.16
37,2022,62.66,62.66,55.05,7.82,0,35.4,33.31,10.18,4.52,10.44,39.44,50.65,1.97,15.83,82.56,25.55,16.52,56.13,0.6,2.85
37,2023,60.77,35.53,48.2,8.31,0,30.26,28.7,10.08,2.27,10.2,36.24,45.26,2.21,17.82,82.8,22.2,16.03,53.39,0.61,3.34
