enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
38,1994,16.5,17.08,22.13,5.18,6.22,24.71,13.6,2.09,0,2.18,10.26,12.9,7.75,0,28.58,5.82,2.69,30.55,2.25,4.13
38,1995,17.55,17.26,16.3,4.94,7.46,17.5,11.99,2.27,6.37,2.39,10.67,13.42,7.45,5.78,30.06,6.53,2.98,30.06,2.07,5.79
38,1996,22.98,22.64,21.83,6.12,9.08,25.97,16.33,2.93,2.01,3,12.96,16.12,6.2,13.74,40.33,9.19,4.17,40.81,1.51,3.84
38,1997,22.93,22.15,23.36,6.12,8.58,26.92,17.43,3.14,1.42,3.08,12.53,15.47,6.46,18.21,38.95,9.5,4.33,41.81,1.48,3.8
38,1998,27.33,27.77,26.87,7.17,9.74,30.58,20.79,3.99,1.66,3.88,15.42,18.97,5.27,19.16,45.33,11.41,5.26,49.67,1.29,3.33
38,1999,39.56,31.96,33.79,8.01,16.8,34.49,23.8,4.95,1.59,4.77,18.13,22.76,4.39,22.39,52.7,13.19,6.02,54.47,1.16,3.06
38,2000,33.5,32.84,38.01,7.98,14.98,34.93,24.18,5.11,2.28,4.63,17.32,21.69,4.61,16.77,51.61,12.94,6.13,53.98,1.17,3.17
38,2001,32.63,32.77,29.66,7.17,11.36,31.23,23.59,5.58,3.49,4.94,17.55,21.77,4.59,11.89,50.49,12.63,6.36,51.29,1.18,3.57
38,2002,32.12,30.97,24.64,7.43,11.88,25.52,20.54,5.63,4.42,5.41,18.43,22.18,4.51,9.65,50.62,12.5,6.7,47.77,1.18,3.96
38,2003,24.87,23.64,25.02,7.02,11.85,26.99,20.06,4.52,3.38,4.3,13.76,16.13,6.2,10.23,38.61,10.09,5.62,37.95,1.48,3.81
38,2004,22.56,21.45,22.92,5.71,10,19.49,15.32,3.88,1.85,3.53,11.61,13.6,7.35,15.4,33.14,8.61,4.98,31.38,1.79,5.43
38,2005,23.15,23.09,21.48,5.92,9.43,21.91,17.08,4,1.54,3.77,12.32,14.44,6.93,18.56,35.54,9.2,5.5,33.57,1.73,4.59
38,2006,17.94,17.74,20.22,4.62,6.74,20.45,15.3,3.57,1.22,3.27,11.08,12.88,7.76,18.67,29.14,7.59,4.74,28.05,2.12,4.94
38,2007,17.7,17.84,17.94,4.86,17.97,17,13.73,3.67,1.63,3.63,12.18,14.12,7.08,15.27,28.08,7.33,4.79,26.76,2.2,6.03
38,2008,18.37,15.88,18.35,4.37,13.01,16.07,12.92,3.18,1.8,3.1,11.6,13.97,7.16,13.67,25.11,6.48,4.34,23.44,2.43,6.38
38,2009,13.09,13.77,14.54,3.89,11.17,14.25,11.33,2.66,1.56,2.58,8.15,9.47,10.56,14.79,20.16,5.33,3.69,19.56,3,7.19
38,2010,14.64,14.15,11.99,3.51,9.14,12.65,10.84,2.9,1.52,2.79,9.09,10.65,9.39,15.41,19.45,5.13,3.64,18.55,3,8.01
38,2011,12.94,12.94,12.86,2.99,6.89,12.32,10.53,2.8,1.33,2.57,7.79,9.11,10.98,16.81,17.02,4.45,3.26,16.23,3.41,8.27
38,2012,18.79,17.97,15.94,3.13,7.84,15.96,12.73,2.8,4.54,2.55,10.32,12.84,7.79,10.84,17,4.22,3.19,16.23,3.43,6.38
38,2013,18.16,16.79,18.15,3,14.27,15.82,12.81,2.93,0,2.82,10.56,13.27,7.54,4.96,17.37,4.09,3.22,16.31,3.42,6.4
38,2014,19.04,18.35,18.84,3.49,11.08,19.07,15.13,3.7,0,3.47,12.33,15.5,6.45,2.24,21.36,4.88,4,20.31,2.83,5.35
38,2015,18.35,18.19,17.48,4.17,14.06,19.97,16.01,4.03,7.49,3.72,11.07,13.12,7.62,7.02,23,5.15,4.42,22.22,2.64,5.15
38,2016,18.74,18.06,16.45,3.98,11.91,17.94,14.76,4.12,2.31,3.77,11.26,13.39,7.47,12.52,21.75,4.77,4.23,20.72,2.87,5.69
38,2017,19.43,18.93,21.12,4.43,15.04,20.68,17.12,4.47,1.92,4.13,12.23,14.47,6.91,14.28,23.18,5.01,4.56,22.35,2.73,4.98
38,2018,297.28,222.84,21.94,6.23,0,21.58,18.22,5.02,34.5,5.12,16.13,21.02,4.76,10.36,29.82,5.75,5.36,25.77,2.38,4.74
38,2019,23,21.37,19.48,5.75,0,19,15.86,4.32,5.02,4.34,13.66,18.65,5.36,8.8,26.86,5.12,4.79,22.59,2.74,5.39
38,2020,25.91,24.29,19.14,6.46,0,19.66,16.72,4.77,9.91,4.78,15.92,22.24,4.5,6.77,29.45,5.62,5.21,24.38,2.57,5.19
38,2021,28.56,28.14,20.49,6.55,0,20.82,17.86,5.09,10.78,5.14,17.74,25.42,3.93,6.87,31.45,5.98,5.46,25.29,2.53,4.87
38,2022,21.9,21.67,24.16,6.08,0,23.15,19.54,4.88,7.37,4.82,14.89,19.68,5.08,7.13,29.88,6.07,5.42,24.76,2.45,4.39
38,2023,26.25,25.86,29.33,6.01,0,27.38,22.2,4.96,6.28,5.03,16.49,21.72,4.6,8.15,28.15,5.89,5.14,23.77,2.51,3.72
