enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
40,1994,26.89,29.21,32.63,12.64,14.36,34.23,23.35,4.19,0,4.3,17.34,19.35,5.17,0,43.08,14.93,5.51,51.06,1.54,2.95
40,1995,26.02,27.64,27.76,12.55,14.38,28.88,20.94,4.12,1.61,4.2,16.47,18.3,5.46,19.18,42.75,15.92,5.79,49.21,1.52,3.51
40,1996,31.73,36.61,37.34,17.25,20.9,39.57,28.42,5.22,2.14,5.29,20.9,23.81,4.2,18.85,53.14,21.5,7.54,62.44,1.19,2.57
40,1997,38.13,48.36,46.08,21.2,24.16,53.69,38.35,7.11,3.31,7.16,29.38,34.13,2.93,16.05,64.7,28.26,9.69,79.6,0.96,1.89
40,1998,40.66,51.93,39.88,22.65,24.94,57.09,41.57,8.89,4.27,8.84,29.66,33.37,3,13.52,70.44,33.16,11.27,91.6,0.84,1.78
40,1999,47.18,49.93,61.58,19.66,21.03,65.05,48.69,8.89,4.49,8.96,30.03,33.93,2.95,12.6,63.6,30.76,10.51,87.14,0.9,1.56
40,2000,59.45,61.07,78.31,15.14,19.06,51.47,37.3,7.51,9.13,7.7,31.09,37.27,2.68,8.46,51.96,23.64,8.47,67.09,1.1,1.95
40,2001,69.25,71.36,120.91,16.25,20.46,53.18,42.26,7.62,0,7.8,34.76,42.04,2.38,0.69,51.7,22.12,8.23,62.25,1.12,1.88
40,2002,29.48,30.15,32.61,10.31,13.34,35.09,28.55,6.69,274.09,6.86,19.57,22.5,4.44,2.53,36.88,15.57,6.12,44.26,1.53,2.85
40,2003,35.64,25.76,37.86,9.18,12.99,27.96,22.95,5.56,11.2,5.69,17.77,20.4,4.9,5.04,32.33,13.08,5.45,36.74,1.82,3.59
40,2004,28.68,28.01,30.62,8.8,12.27,26.91,22.91,5.94,4.12,5.98,20.73,24.11,4.15,9.54,34.97,13.55,6.07,38.42,1.73,3.75
40,2005,20.82,20.63,22.17,6.3,8.29,19.4,16.95,4.65,1.94,4.63,15.28,17.68,5.66,14.76,26.49,9.83,4.76,28.41,2.4,5.2
40,2006,19.76,19.55,17.87,5.84,7.62,17.47,15.02,4.18,3.23,4.17,13.75,15.85,6.31,10.58,23.99,8.39,4.43,24.78,2.78,5.78
40,2007,22.34,23.02,25.14,6.61,9.49,24.93,19.04,4.71,5.08,4.73,15.71,18.05,5.54,8.54,27.39,9.02,5.14,27.81,2.57,4.07
40,2008,23.88,24.42,23.11,6.54,14.93,26.01,20.01,4.96,3.19,5.1,15.52,17.69,5.65,11.09,32.67,10.16,6.11,32.45,2.22,3.87
40,2009,18.18,18.29,22.09,5.12,13.16,18.88,13.97,3.31,1.57,3.43,11.94,13.79,7.25,16.56,23.34,6.88,4.35,22.7,3.36,5.35
40,2010,19.45,19.55,20.55,5.29,10.97,21.43,16.22,4.28,1.68,4.34,12.76,14.46,6.92,15.68,26.39,7.82,5.17,26.26,2.88,4.72
40,2011,13,13,12.03,4.86,36.83,20.98,16.11,4.37,0.93,4.65,9.96,10.92,9.16,17.73,25.42,8.11,5.62,27.72,2.68,4.85
40,2012,18.91,18.91,20.31,5.01,39.94,24.8,17.16,3.49,1.06,3.72,12.52,14.58,6.86,21.51,24.72,7.56,5.35,27.39,2.69,4.14
40,2013,18.4,18.15,18.97,4.94,29.71,21.12,15.61,3.46,1.41,3.72,12.58,14.62,6.84,16.78,23.3,7.05,5.03,26.44,2.81,4.85
40,2014,21.74,21.03,22.23,5.48,32.68,23.31,17.67,3.98,2.07,4.25,14.29,16.66,6,13.9,24.93,7.36,5.29,28.51,2.71,4.39
40,2015,26.39,24.89,28.84,6.08,46.7,22.88,17.7,4.08,12.7,4.45,17.37,20.86,4.79,5.84,24.8,7.03,5.07,27.97,2.89,4.45
40,2016,25.72,23.7,27.24,7.27,130.58,23.73,17.97,4.27,0,4.75,16.91,20.09,4.98,-1.3,24.44,6.87,4.87,27.51,3.07,4.29
40,2017,27.83,25.36,35.08,7.71,91.93,27.73,20.6,4.33,0,4.81,18.9,22.71,4.4,0.7,22.84,6.34,4.44,25.47,3.38,3.67
40,2018,158.21,102.41,73.17,11.45,449.8,37.48,28.18,5.48,0,6.19,24.92,28.97,3.45,-4.37,26.54,6.88,4.75,27.88,3.23,2.71
40,2019,31.57,29.28,50.32,11.9,0,33.49,26.69,5.93,0,6.77,22.64,25.32,3.95,-4.12,26.8,7.11,4.82,28.21,3.29,3.01
40,2020,26.74,26.29,27.58,12.48,0,28.37,22.81,6.41,0,7.26,20.66,23.07,4.33,0.7,30.08,8.33,5.47,31.56,2.89,3.55
40,2021,30.64,28.5,28.11,12.22,0,27.35,24.08,7.18,7.4,8.17,21.21,24.12,4.15,6.76,31.45,8.49,5.42,30.6,2.99,3.67
40,2022,26.32,28.62,21.38,11.13,0,22.83,20.35,6.65,2.49,7.45,18.62,20.55,4.87,14.55,31.68,9.06,5.63,29.48,2.84,4.4
40,2023,29.05,25.84,31.6,11.42,0,29.02,25.11,6.43,2.44,7.08,22.02,24.23,4.13,13.66,32.5,9.68,5.87,29.77,2.75,3.46
