enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
41,1994,19.1,16.2,0,3.52,3.52,12.88,5.43,0.92,0,1.6,6.5,11.52,8.68,0,0,0,0,0,1.49,7.83
41,1995,14.14,13.67,0,3.37,3.77,12.93,5.24,1.06,0,1.62,5.97,9.48,10.55,0,0,0,0,0,1.37,7.86
41,1996,18.47,19.32,26.68,4.22,4.99,442.37,7.93,1.54,0,2.05,7.93,12.07,8.29,0,0,0,0,0,1.19,0.23
41,1997,26.06,23.11,33.76,3.78,9.67,0,12.1,1.65,0,2.48,9.81,15.65,6.39,0,0,0,0,0,0.83,-3.95
41,1998,18.29,19.65,37.75,3.34,7.79,0,9.82,1.56,2.13,2.31,8.53,13.05,7.66,9.3,0,0,0,0,0.98,-2.12
41,1999,13.56,14.18,22.43,2.38,5.24,35.33,6.1,1.19,1,1.94,7.14,11.1,9.01,14.29,0,0,0,0,1.43,2.93
41,2000,18.92,21.73,36.52,3.49,3.49,25.83,8.42,1.76,2.45,2.45,9.47,15.06,6.64,9.13,0,0,0,0,1.11,3.95
41,2001,19.72,18.07,1386.88,3,3,36.68,7.95,1.42,4.47,2.05,8.78,14.63,6.84,4.82,24.99,4.09,1.62,74.86,1.41,2.76
41,2002,21.09,19.74,29.68,3.62,3.62,21.25,8.86,1.75,0,2.34,9.28,15.06,6.64,1.33,28.26,4.8,1.95,67.18,1.23,4.74
41,2003,23.3,18.88,24.93,4.01,7.18,18.92,9.51,1.86,0,2.39,8.71,13.27,7.54,3.12,24.11,4.64,1.95,54.27,1.32,5.36
41,2004,21.58,21.44,25.86,4.03,6.37,82.15,11.12,2.25,7.5,2.75,10.71,16.72,5.98,5.44,28.46,5.52,2.44,75.52,1.2,1.24
41,2005,21.02,21.49,21.8,3.96,7.26,25.45,11.77,2.22,3.32,2.73,10.72,16.33,6.12,9.11,29.36,5.65,2.61,74.21,1.36,4.02
41,2006,24.07,24.07,19.36,4.38,7.5,29.2,11.84,2.28,2.38,2.68,10.49,15.89,6.29,12.7,31.92,6.02,2.87,66.74,1.36,3.5
41,2007,19.78,20.26,18.52,4.18,6.63,29.96,11.15,2.35,1.7,2.69,10.11,14.74,6.78,14.51,31.43,6.14,3.02,52.54,1.69,3.42
41,2008,24.51,24.55,24.42,5.4,9.14,49.5,14.72,3.06,1.73,3.43,12.61,18.08,5.53,15.94,40.89,8.26,4.13,62.67,1.35,2.09
41,2009,15.62,14.26,18.91,4.55,9.21,44.27,9.27,1.75,0.91,2.18,8.55,12.38,8.08,18.59,25,5.21,2.59,39.98,2.53,2.34
41,2010,20.03,16.47,31.48,4.63,7.93,30.75,11.57,2.8,1.54,3.34,12.37,19.02,5.26,13.08,30.09,6.49,3.27,48.34,1.99,3.32
41,2011,24.86,20.14,26.08,5.01,8.08,57.51,15.6,2.94,2.51,3.45,11.58,16.7,5.99,9.94,32.35,7.17,3.65,53.73,1.89,1.78
41,2012,19.61,19.69,24.07,5.82,10.82,49.84,13.36,2.91,2.32,3.46,11.16,15.67,6.38,10.32,31.28,7.23,3.73,56.89,1.87,2.06
41,2013,19.51,19.65,23.53,5.35,9.58,57.76,12.01,2.94,2.23,3.58,11.65,16.41,6.09,10.59,28.62,6.79,3.55,57.4,2.01,1.76
41,2014,22.15,21.93,29.4,5.79,13.57,43.34,13.33,3.26,2.07,3.99,12.74,18.11,5.52,12.31,30.64,7.48,3.92,59.72,1.85,2.35
41,2015,22.61,20.66,33.09,6.66,19.73,31.97,13.27,3.12,2.09,3.84,12.48,18.07,5.53,11.94,28.26,7.02,3.7,54.42,2.01,3.2
41,2016,19.14,17.66,30.62,6.65,34.94,25.65,10.98,2.75,4.37,3.6,11.31,16.71,5.98,6.76,20.95,5.45,2.83,39.73,2.79,3.96
41,2017,22.49,21.39,33.29,6.65,25.27,25.47,12.09,3.2,30.13,4.06,12.74,19.13,5.23,3.68,22.74,6.05,3.11,41.03,2.56,3.97
41,2018,35.81,26.44,32.7,7.37,22.18,25.85,14.71,3.94,0,4.69,14.5,21.39,4.68,2.76,29.36,7.72,3.97,46.8,2.04,3.9
41,2019,11.9,24.57,15.18,1.65,10.05,28.66,14.08,3.51,10.03,6.86,14.16,19.01,5.26,5.59,25.02,6.9,3.89,41.41,2.11,2.13
41,2020,50.81,29.01,24.28,2.32,19.23,46.31,18.76,4.11,3.12,4.55,16.38,40.52,2.47,11.62,33.68,6.92,4.98,53.15,1.64,2.2
41,2021,55.95,32.02,26.89,2.91,47.03,34.74,18.84,5.14,3.76,5.64,18.59,42.22,2.37,10.67,41.03,7.02,5.9,56.99,1.46,2.92
41,2022,47.26,32.41,24.71,4,55.16,27.23,18.59,5.87,3.74,6.17,19.19,36.06,2.77,10.73,49.85,7.41,7.03,57.9,1.22,3.77
41,2023,39.63,26.54,31.29,4.01,89.68,28.89,18.55,4.93,4.05,5.26,17.6,30.45,3.28,9.09,43.45,5.9,6,44.91,1.42,3.54
