enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
42,1994,37.1,41.11,0,3.8,5.22,20.16,11.74,2.76,0,2.82,17.32,27.89,3.59,0,18.65,3.69,3.2,34.42,4.07,5.08
42,1995,14.74,15.15,63.6,3.58,20.31,20.06,12.51,3.36,0,4.11,10.54,13.08,7.65,-7.57,18.93,3.88,3.37,31.64,3.8,4.99
42,1996,13.96,25.43,15.69,5.7,23.34,26,18.15,4.89,94.19,5.1,13.6,17.4,5.75,2.42,27.45,6.29,5.44,45.05,2.32,4.11
42,1997,27.02,30.78,25.77,6.66,19.61,26.53,20.61,5.87,1.99,6.22,16.83,21.3,4.69,17.84,32.83,7.73,6.69,48.8,1.87,3.81
42,1998,At Loss,51.46,0,16.65,24.98,38.7,32.8,9.86,1.65,9.78,26.49,32.03,3.12,21.66,68.26,14.4,11.96,78.15,1.06,2.63
42,1999,47.53,47.91,63.21,22,33.46,45.07,37.87,10.78,1.4,10.64,29.66,34.81,2.87,21.56,78.64,18.28,14.26,86.68,0.9,2.27
42,2000,27.03,29.5,34.87,14.46,14.81,35.17,28.07,7.35,2,7.17,18.86,21.32,4.69,17.15,51.2,13.36,9.75,58.45,1.38,2.88
42,2001,33.35,38.11,29.52,17.34,17.34,33.4,27.33,9.39,3.02,9.49,25.79,28.95,3.45,14.74,62.36,17.86,12.5,66.38,1.12,2.91
42,2002,30.8,30.17,28.71,12.42,12.42,30.82,23.38,7.42,2.5,7.62,21.01,23.57,4.24,14.89,48.42,14.62,9.85,47.18,1.43,3.15
42,2003,25.4,27.04,48.22,8.61,8.61,73.16,33.21,6.21,3.64,6.55,18.98,21.79,4.59,10.65,34.89,11.25,7.47,36.54,1.95,1.32
42,2004,29.68,28.13,30.3,8.09,8.09,39.16,20.84,6.04,8.47,6.37,19.8,22.9,4.37,6.22,34.49,11.71,7.69,37.87,1.91,2.45
42,2005,34.19,27.89,28.94,5.88,5.88,63.69,21.56,4.47,26.56,4.57,14.87,17.3,5.78,4.26,0,8.6,5.62,29.83,2.5,1.51
42,2006,31.27,23.72,52.16,5.93,5.93,100.52,32.34,4.23,23.49,4.47,14.95,17.93,5.58,3.51,26.01,7.91,5.12,30,2.69,0.96
42,2007,21.27,17.12,30.67,5.37,5.37,19.54,14.24,3.61,3.74,3.75,11.93,14.25,7.02,7.32,22.62,6.77,4.36,25.77,3.07,4.92
42,2008,19.7,15.91,20.19,4.48,5.48,14.3,11.3,3.13,2.1,3.26,10.38,12.65,7.91,11.13,19.57,6.27,4.03,23.74,3.18,6.72
42,2009,At Loss,18.65,0,6.87,16.49,7.08,6.04,2.16,0,2.49,1173.43,-47.08,-2.12,-9.29,17.62,4.45,2.87,15.77,4.67,13.46
42,2010,9.06,7.85,9.62,4.31,7.04,11.27,9.05,1.8,0,1.98,6.25,7.69,13,-14.17,14.7,3.75,2.35,13.25,5.49,8.48
42,2011,7.65,7.38,6.54,3.25,5.31,6.83,5.65,1.68,0,1.76,5.05,6.05,16.53,7.02,13.61,3.51,2.15,12.1,5.59,14.04
42,2012,10.66,9.29,7.99,3.55,5.72,8.35,6.4,1.91,0.62,1.98,6.98,8.71,11.48,26.05,15.29,3.88,2.36,13.17,4.72,11.52
42,2013,13.48,12.81,11.79,3.83,5.65,12.93,10.39,2.44,0.35,2.5,8,10.1,9.9,29.45,17.55,4.36,2.65,14.17,3.97,7.53
42,2014,11.81,11.46,10.92,3.23,4.28,11.92,9.65,2.39,0.18,2.46,7.58,9.39,10.65,28.7,17.08,4.29,2.61,13.66,3.84,8.15
42,2015,30.94,25.31,31.47,4.98,7.14,25.63,16.62,3.78,0,4.07,17.63,25.35,3.94,1.41,23.41,5.59,3.46,17.61,2.84,3.78
42,2016,37.28,26.95,122.65,6.39,16.94,67.09,30.29,4.5,0,4.84,22.08,32.76,3.05,-6.9,28.35,6.69,4.14,21.06,2.37,1.44
42,2017,28.51,24.11,24.83,5.78,14.26,20.78,16.1,3.68,0,4.02,16.87,23.97,4.17,-6.5,24.54,5.68,3.49,17.85,2.77,4.64
42,2018,At Loss,79.75,35.5,8.01,29.09,25.74,15.82,4.45,0,4.94,24.06,38.97,2.57,-6.74,31.05,6.41,3.95,20.62,2.46,3.72
42,2019,36.97,23.55,101.6,12.45,16.54,47.72,21.65,5.57,0,5.88,22.83,32.2,3.11,0.05,34.95,8.72,5.34,30.84,1.94,2.05
42,2020,14.78,24.82,18.83,48.27,0,35.3,25.43,5.51,2.63,6.22,20.12,24.5,4.08,11.6,34.7,10.17,5.92,34.22,1.96,2.77
42,2021,24.87,27.32,30.29,28.63,0,34.46,23.7,6.28,1.48,7.12,19.59,23.01,4.35,20.58,42.58,13.64,7.43,44.71,1.75,2.77
42,2022,45.13,36.22,70.99,29.34,0,46.75,34.68,8.89,1.63,9.77,34.39,42.58,2.35,21.5,63.05,22.03,11.14,68.58,1.23,2.05
42,2023,53.02,43.12,85.88,32.64,0,71.94,46.72,11.6,2.15,12.68,41.77,50.68,1.97,21.21,74.95,28.8,13.57,84.88,1.07,1.32
