enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
43,2000,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2001,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2002,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2003,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2004,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2005,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2006,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2007,266.22,44.77,113.22,5.62,7.09,24.08,20.56,4.02,0,3.32,33.54,48.13,2.08,0,0,0,0,0,0.18,4.18
43,2008,26.9,36.98,30.22,9.33,11.45,47.61,37.95,7.18,0,6.27,21.16,23.02,4.34,1.2,0,0,0,0,0.21,2.17
43,2009,At Loss,14.35,57.16,9.59,14.96,76.42,44.94,3.73,0,3.29,-97.92,-58.7,-1.7,1.89,0,0,0,0,0.42,1.31
43,2010,22.94,23.04,29.16,9.48,11.95,26.89,24.15,6.53,0,5.96,12.28,13.02,7.68,1.73,0,0,0,0,0.29,3.73
43,2011,15.95,15.98,18.94,5.64,7.34,18.99,17.31,5.3,0,4.54,8.5,8.95,11.17,2.87,0,0,0,0,0.27,5.27
43,2012,25.19,19.78,19.1,8.06,11.29,19.1,17.84,7.13,0,6.31,14.28,15.27,6.55,2.54,68.49,17.37,10.35,48.69,0.16,5.3
43,2013,22.43,22.17,27.68,8.75,11.75,22.64,20.97,8.36,0,7.52,13.28,14.05,7.12,2.63,66.41,18.41,12.4,51.56,0.24,4.51
43,2014,32.64,32.01,31.2,17.89,23.53,26.46,24.55,12.21,0,15.35,26.74,28.27,3.54,45.18,82.76,25.41,18.81,61.73,0.35,2.87
43,2015,27.79,28.11,40.6,14.63,21.81,32.77,29.57,10.67,1.4,10.01,17.34,18.42,5.43,22.5,66.89,23.73,17.62,57.37,0.57,3.09
43,2016,29.06,28.38,35.7,18.03,32.59,29.45,26.99,11.45,1.49,10.88,19.54,20.96,4.77,21.72,61.36,24.86,17.91,57.58,0.69,3.46
43,2017,27.98,27.39,33.63,19.73,35.12,26.71,24.51,10.55,1.58,10.07,17.74,18.9,5.29,20.24,52,23.69,16.55,50,0.77,3.81
43,2018,41.47,33.05,40.91,29.18,121.48,30.96,28.64,12.98,2.59,12.59,22.11,23.56,4.24,15.11,65.83,31.86,21.06,59.44,0.44,3.29
43,2019,33.69,29.07,44.55,36.05,129.66,34.54,31.74,13.21,2.09,12.88,24.53,26.06,3.84,16,64.52,36.4,22.71,60.43,0.53,2.94
43,2020,37.61,38.43,46.55,51.04,660.6,40.93,37.29,18.07,2.27,17.87,28.8,30.31,3.3,18.57,81.71,53.67,30.83,78.33,0.44,2.48
43,2021,56.03,55.51,65.87,55.6,0,55.11,49.71,23.47,3.32,23.37,41,43.92,2.28,18.25,85.44,61.52,32.92,81.59,0.45,1.83
43,2022,41.02,42.78,45.05,48.16,0,41.21,37.67,18.88,3.13,18.97,31.25,33.36,3,15.45,69.32,56.5,27.85,67.42,0.49,2.46
43,2023,34.02,32.65,39.69,52.78,0,33.44,30.16,15.18,2.42,15.25,26.18,27.79,3.6,15.66,55.5,51.43,22.75,54,0.56,3.04
