enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
45,2011,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2012,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2013,2662,2047.69,0,5.37,6.09,152.99,35.78,11.33,0,10.98,46.79,102.52,0.98,0,0,0,0,0,0,0.6
45,2014,91.08,90.48,0,9,10.12,48.11,32.59,17.47,0,16.29,33.56,45.63,2.19,0,0,0,0,0,0,2.05
45,2015,70.93,69.66,0,6,15.28,37.82,28.37,16.67,0,16.51,33.32,41.71,2.4,0,0,0,0,0,0,2.54
45,2016,81.13,80.26,66.7,6.71,12.93,38.29,28.94,16.65,0,15.53,34.12,44.79,2.23,0,0,0,0,0,0,2.63
45,2017,32.97,32.77,30.36,5.62,8.63,28.97,20.89,12.18,0.52,10.97,20.4,24.21,4.13,21.67,0,0,0,0,0,3.49
45,2018,32.74,32.73,29.12,6.9,9.45,29.84,21.54,12.83,0.5,11.59,19.94,22.87,4.37,21.72,0,0,0,0,0,3.41
45,2019,17.32,17.17,18.5,4.45,5.8,24.93,13.08,6.86,0.35,5.97,11.41,13.39,7.47,22.93,0,0,0,0,0,4.11
45,2020,31.92,31.79,23.88,5.79,7.19,27.83,16.25,8.35,0.74,7.65,18.19,22.55,4.43,22.44,0,0,0,0,0,3.62
45,2021,27.07,26.97,32.97,6.07,7.16,33.45,20.36,9.18,0.84,8.46,18.39,22.25,4.49,22.23,72.55,13.64,22.92,70.5,0,3.03
45,2022,24.43,24.35,24.57,7.38,8.78,24.66,16.67,8.15,0.92,7.53,16.22,18.99,5.27,22.36,62.26,13.66,20.02,61.18,0,4.23
45,2023,14.01,13.97,16.26,2.5,3.01,17.07,6.44,2.79,0.77,2.58,7.98,10.38,9.63,25.12,18.18,3.98,5.48,18.36,0,6.05
