enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
47,1994,4.11,4.11,3.4,2.33,2.33,0.4,0.4,1.28,0,11.48,0,0,0,0,0,0,3.06,59.24
47,1995,7.25,7.25,3.23,1.16,1.2,1.86,1.86,0.97,0,2.3,0,-63.69,0,0,0,0,2.22,60.94
47,1996,8.63,8.63,9.95,1.36,1.41,5,5,1.15,0,2.83,0,15.64,4.33,0.87,1.07,0,1.55,22.43
47,1997,9.82,9.82,39.17,1.7,1.7,3.94,3.94,1.17,0,3.96,0,-25.67,6.03,1.21,1.47,0,2,25.12
47,1998,10.84,10.84,0,1.9,1.9,0,0,1.67,1.16,4.09,0,30.76,9.75,1.95,0,0,1.24,-3.2
47,1999,10.82,12.03,3.02,2.26,2.26,2.32,2.27,1.98,0.57,4.11,0,33.5,12.51,2.45,2.78,0,1.38,45.91
47,2000,12.21,12.21,0,3.49,3.49,0,0,2.63,0.58,5.1,0,17.38,20.24,4.13,4.34,0,0.96,-53.66
47,2001,11.12,11.17,1.02,3.11,3.11,0,0,2.24,0.55,4.09,0,14.8,19.51,4.24,4,55.98,1.52,-5.63
47,2002,14.81,14.26,0,2.47,2.47,0,0,2.24,0.81,4.67,0,2.2,16.6,3.7,3.17,0,2,-51.81
47,2003,13.96,12.97,0,1.86,1.99,0,0,2.04,0.98,5.8,0,-11.38,13.78,3.06,2.42,0,2.45,-15.21
47,2004,13.3,13.3,10.41,2,2.13,28.79,21.41,2.28,1.09,5.28,0,-4.69,16.1,3.27,2.72,0,2,3.52
47,2005,10.38,10.15,0,1.62,1.76,0,0,1.96,0.88,6.1,0,-22.66,13.18,2.58,2.26,0,2.37,-61.12
47,2006,10.18,11.1,0,1.69,1.84,0,0,2.21,1.04,5.34,0,-24.54,12.81,2.48,2.28,0,2.32,-64.83
47,2007,8.94,10.55,0,1.94,2.15,0,0,2.34,0.92,6.71,0,-18.4,14.95,2.99,2.87,0,1.71,-92.36
47,2008,18.18,27.18,0,1.85,2.13,0,0,2.16,2.48,7.79,0,-40.18,11.85,2.18,2.17,0,2.05,-42.59
47,2009,10.61,At Loss,0.22,0.5,0.56,0.22,0.22,0.9,0,4.03,0,-79.09,3.45,0.57,0.61,0,7.32,454.4
47,2010,At Loss,At Loss,0,1.09,1.62,0,0,1.62,0,9.45,0,-52.12,7.96,1.09,1.23,0,1.42,-121.24
47,2011,10.35,10.53,1.12,0.86,1.14,0.97,0.95,1.31,0,6.76,0,-28.23,7.96,0.95,1.17,0,0.74,95.8
47,2012,12.3,11.91,2.64,0.48,0.59,1.8,1.65,0.83,0,5.56,0,12.52,4.69,0.5,0.65,0,1.32,48.29
47,2013,At Loss,956,1.75,0.62,0.75,1.56,1.48,1.49,516.76,6.19,0,44.51,6.52,0.61,0.85,0,1.05,62.12
47,2014,23.06,22.72,1.94,0.97,1.15,1.82,1.75,1.99,7.55,4.51,0,49.25,11.58,0.97,1.43,0,0.64,55.24
47,2015,24.25,24.1,0,1.17,1.37,808.33,70.42,2.36,8.37,5.01,0,34.11,15.41,1.18,1.85,0,0.9,0.12
47,2016,10.97,10.93,0,0.9,1.05,0,0,1.87,4.02,5.44,0,31.26,13.99,0.95,1.57,0,1.73,-9.56
47,2017,14.47,14.67,58.12,1.14,1.32,19.42,14.81,2.44,3.62,6.74,0,18.24,23.89,1.24,2.23,7.26,1.66,5.25
47,2018,17.09,14.58,0,1.36,1.57,0,0,2.67,3.06,7.28,0,9.97,29.28,1.51,2.86,6.23,1.72,-6.54
47,2019,8.38,8.38,16.56,0.94,1.07,12.67,9.43,1.83,1.65,5.95,0,9.13,18.48,1.11,2.09,32.69,2.77,8.07
47,2020,9.85,9.85,2.17,1.12,1.28,2.15,2.06,2.15,1.57,6.37,0,13.37,18.08,1.35,2.6,5.59,2.54,47.8
47,2021,10.61,10.41,0,1.34,1.63,0,0,2.43,1.31,6.55,0,11.28,21.26,1.72,3.34,13.99,2.04,-21.51
47,2022,12.22,11.94,5.81,1.78,2.4,5.62,5.24,3.16,1.3,6.01,0,13.84,23.69,2.21,4.3,15.71,2.14,18.2
47,2023,13.82,13.37,0,1.56,2.12,0,0,2.9,1.63,6.09,0,13.83,16.87,1.74,3.32,18.98,3.46,-6.65
