enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
54,1994,17.68,23.57,0,2.08,2.12,0,13.03,1.9,0,1.79,8.56,12.08,8.28,0,0,0,0,0,0,-1.96
54,1995,15.32,20.65,0,1.67,1.7,23.75,8.19,1.62,29.5,1.47,6.85,10.78,9.28,0,0,0,0,0,0,4.22
54,1996,18.51,22.83,0,1.99,2.01,31.14,11.42,2.09,163.07,2.02,9.2,14.8,6.76,0,0,0,0,0,0,3.24
54,1997,22.8,35.96,0,2.6,2.64,0,21.74,2.78,0,2.89,14.13,21.75,4.6,0,0,0,0,0,0,-0.3
54,1998,33.56,53.44,0,4.05,4.11,180.38,24.46,4.33,11.11,4.44,21.68,32.29,3.1,0,0,0,0,0,0.39,0.58
54,1999,33.25,42.9,0,3.41,3.45,665,166.25,28.91,9.03,4.64,26.14,44.15,2.27,0,0,0,0,0,2.32,1.11
54,2000,28.11,34.03,0,4.44,4.47,323.25,184.71,30.79,1.92,4.15,17.64,23.35,4.28,0,0,0,0,0,0.85,2.18
54,2001,32.78,36.12,0,6.53,6.53,35.4,19.45,4.9,0.83,4.96,19.55,24.31,4.11,0,0,0,0,0,0.67,2.82
54,2002,61.53,71.89,0,5.78,5.79,632.41,54.99,9.99,1.7,9.93,35.27,42.06,2.38,20,101.54,14.83,13.64,0,0.59,0.32
54,2003,34.9,43.6,0,3.18,3.21,153.76,29.3,5.68,1.39,5.6,19.29,23.58,4.24,20,53.71,8.12,7.46,0,0.92,1.27
54,2004,33.97,46.88,0,3.31,3.35,45.12,26.78,6.22,3.32,6.06,20.1,25.21,3.97,14.1,55.49,8.82,8.15,0,0.91,4.37
54,2005,40.19,42.84,67.83,3.74,3.79,45.3,26.55,6.95,0,6.72,21.97,27.93,3.58,66.04,61.07,9.61,9.36,45.39,0.95,4.49
54,2006,19.94,21.86,40.2,4.15,4.23,24.31,13.43,3.46,0,3.33,11.24,13.92,7.18,10.67,31.4,5.15,4.99,25.22,1.52,4.2
54,2007,23.55,24.92,41.82,4.97,5.08,34.34,19.62,3.92,0,3.76,12.94,15.97,6.26,7.94,36.47,6.27,5.92,33.33,1.64,2.95
54,2008,49.89,55.56,81.08,6.67,6.81,56.26,42.59,10.17,0,10.2,35.71,47.71,2.1,9.04,88.2,16.33,15.05,79.68,1.36,3.52
54,2009,17.46,17.99,23.36,5.44,5.58,15.55,13.09,3.7,0,3.59,11.03,13.21,7.57,16.04,29.28,6.18,5.37,26.15,1.3,6.03
54,2010,37.26,36.24,35.47,5.48,5.64,32.6,26.09,7.86,1.88,7.58,21.73,25.37,3.94,21.11,61.79,14.22,11.68,54.5,1.2,6.29
54,2011,25.57,25.16,24.47,10.3,10.72,23.32,18.71,6.06,1.03,5.98,17.11,19.35,5.17,22.58,49.04,12.6,9.87,43.05,0.88,4.15
54,2012,22.01,21.66,24.01,10.09,10.51,20.85,17.6,5.67,0.79,5.52,14.68,16.49,6.06,23.1,42.73,12.47,9.08,38.69,1.57,4.77
54,2013,23.59,22.27,25.91,12.79,13.28,27.2,22.76,6.48,0.8,6.38,16.28,17.86,5.6,22.76,41.14,16.6,10.92,47.79,1.52,3.58
54,2014,21.26,22.04,23.99,12.99,13.51,24.01,20.64,6.41,0.98,6.37,15.04,16.34,6.12,23.02,37.86,17.4,10.42,46.21,1.7,4.03
54,2015,25.85,25.59,20.75,16.79,17.39,25,21.6,7.71,1.3,7.6,17.96,19.76,5.06,22.41,42.69,21.79,12.11,50.05,1.97,4.05
54,2016,29.58,26.05,24.82,22.03,23.1,32.33,26.92,9.55,1.16,9.45,21.94,23.43,4.27,22.16,55.09,31.79,16.3,63.64,1.26,3.08
54,2017,17.03,16.83,14.94,14.24,15.16,16.12,13.36,5.78,0.83,5.63,12.32,13.14,7.61,24.08,29.77,19.27,9.2,32.93,3.9,6.21
54,2018,21.73,21.64,19.31,16.94,18.14,25.49,20.14,7.42,1.27,7.33,15.77,16.79,5.96,20.43,33.9,23.82,10.81,37.8,2.12,3.85
54,2019,18.7,18.88,17.45,14.28,15.85,22.43,16.19,6.46,1.59,6.39,13.84,14.98,6.68,16.13,26.82,19.88,8.73,30.24,2.75,4.35
54,2020,23.61,22.08,21.6,16.21,18.04,25.87,19.66,7.54,3,7.51,16.85,18.8,5.32,10.88,31.1,24.05,10.28,35.28,1.36,3.81
54,2021,23.69,23.28,23.13,15.85,23.53,33.43,19.22,7.86,3.5,7.88,16.87,18.69,5.35,9.89,31.03,24.49,10.42,36.5,1.86,2.98
54,2022,35.44,35.83,37.09,24.07,61.74,35.55,30.78,12.02,5.64,12.12,26.1,28.75,3.48,8.37,47.09,37.79,16.05,54.67,1.31,2.8
54,2023,38.38,35.67,35.62,25.61,66.67,33.23,27.02,12.05,3.33,11.94,27.51,30.42,3.29,12.55,52.82,40.65,17.24,56.11,1.18,3
