enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
55,1999,144.56,144.56,0,5.74,6.28,42.2,30.81,5.69,0,5.53,21.1,25.33,3.95,0,0,0,0,0,0,2.37
55,2000,57.23,69.46,0,4.02,4.4,27.08,21.69,4.61,0,4.42,16.19,19.52,5.12,0,0,0,0,0,0,3.69
55,2001,20.98,22.59,0,4.24,5.04,24.17,19.87,4.22,0,3.78,14.91,17.18,5.82,0,0,0,0,0,0.9,4
55,2002,20.37,21.32,0,3.03,3.59,26.29,17.95,4.17,0,3.67,11.56,14.01,7.14,0,0,0,0,0,1.17,3.85
55,2003,15.97,17.36,0,2.67,3.16,18.56,14.45,3.62,0,3.14,9.11,11.11,9,0,0,0,0,0,1.21,5.39
55,2004,18.89,20.05,0,3.09,3.66,17.91,13.7,3.6,0,3.37,11.59,14.08,7.1,0,0,0,0,0,1.3,5.33
55,2005,18.44,18.94,15.38,3.27,3.99,19.34,15.1,3.63,0,3.46,11.85,14.15,7.07,0,0,0,0,0,1.55,5.03
55,2006,16.92,17.92,16.45,3.09,5.17,16.3,13.39,3.49,0,3.39,11.5,14.1,7.09,22.42,0,0,0,0,1.65,6.25
55,2007,16,16.97,15.34,2.73,5.64,18.91,13.83,3.27,0,3.24,11.16,13.76,7.27,23.26,0,0,0,0,1.56,5.42
55,2008,8.9,16.67,7.77,2.08,3.65,17.49,11.54,2.73,2.84,2.46,9.06,12.42,8.05,11.46,0,0,0,0,2.02,5.95
55,2009,10.79,11.02,10.85,1.86,3.18,11.87,9.05,2.08,1.33,2.08,7.12,9.07,11.03,15.51,0,0,0,0,3.09,7.96
55,2010,12.54,12.63,11.28,1.79,2.94,11.14,8.64,2.34,1.93,2.26,7.97,9.72,10.29,13.9,12.55,2.42,2.83,13.92,3.15,9.2
55,2011,11.15,11.15,7.42,1.77,0,9.24,7.77,2.12,1.72,2.52,8.23,10.5,9.52,14.96,11.61,2.21,2.59,12.52,3.3,10.56
55,2012,13.03,13,11.58,1.74,29.07,9.76,8.13,1.96,2.3,2.21,7.68,11.61,8.61,14.64,11.27,2.11,2.43,12.06,4.13,10.43
55,2013,13.78,13.44,9.65,1.84,16.49,11.18,9,2.46,3.69,2.66,8.43,11.56,8.65,11.1,11.93,2.2,2.52,12.75,3.92,8.97
55,2014,18.05,17.92,13.3,2.18,10.47,16.9,12.57,3.14,81.45,3.24,10.75,14.87,6.72,7.68,14.54,2.6,3.04,15.51,3.15,6.05
55,2015,19.21,18.44,15.36,2.61,10.48,18.68,14.1,3.65,0,3.67,11.15,15.17,6.59,3.16,18.54,3.23,3.85,19.57,2.93,5.68
55,2016,10.03,24.21,8.66,2.2,14.56,21.23,14.98,3.54,0,3.77,13.33,21.62,4.63,3.86,16.13,2.9,3.6,18.7,3.1,4.95
55,2017,21.75,20.52,13.66,1.92,11.48,17,12.74,2.96,0,3.25,11.02,18.84,5.31,5.4,14.12,2.38,3.05,15.89,3.73,5.98
55,2018,21.52,21.92,31.7,2.18,13.01,16.06,13.14,3.82,0,4.17,12.41,18.38,5.44,0.94,17.7,2.57,3.4,17.11,3.24,6.39
55,2019,13.2,13,9.79,2.1,35.8,14.31,11.66,3.61,7.78,3.91,8.91,12,8.33,7.39,17.29,2.53,3.46,16.79,3.47,7.06
55,2020,17.52,28.78,11.81,3.66,1244.47,18.08,15.09,4.22,8.49,4.49,14.01,22.35,4.47,8.33,20.84,3.14,4.28,20.49,2.99,5.6
55,2021,25.35,25.01,14.27,3.56,0,18.52,15.01,4.11,3.65,4.57,13.25,21.22,4.71,12.44,19.66,2.94,3.98,19.15,3.27,5.49
55,2022,7.77,7.75,6.18,2.73,47.71,15.43,12.39,3.53,0.75,3.55,5.68,6.97,14.35,16.44,16.02,2.79,3.77,17.86,3.66,6.54
55,2023,26.83,26.25,14.57,3.07,0,16.16,13.12,3.6,2.1,3.66,11.57,20.59,4.86,18.62,16.45,2.81,3.75,17.89,3.63,6.36
