enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
60,1994,32.06,33.85,77.86,5.43,5.78,33.44,16.67,2.82,0,2.95,18.84,24.16,4.14,0,25.19,4.38,3.24,60.92,2.43,2.99
60,1995,17.48,16.49,24.5,5.32,5.76,27.73,15.25,2.74,0,2.95,10.79,12.38,8.08,0,25.47,4.85,3.37,51.72,2.42,3.55
60,1996,23.86,21.68,28.92,6.91,8.92,33.39,20.64,3.75,1.57,4.05,13.82,15.84,6.31,15.46,37.38,7.61,5.04,66.46,1.64,2.96
60,1997,26.2,26.79,41.59,7.29,9.17,61.5,25.74,5.12,1.45,5.32,16.93,19.15,5.22,19.91,43.27,9.4,6.16,80.58,1.45,1.62
60,1998,42.04,41.44,48.24,11.52,13.16,140.12,60.36,8.42,2.18,8.46,26.7,30.42,3.29,19.84,68.89,15.93,10.3,141.93,0.92,0.72
60,1999,54.07,63.76,34.26,17.4,19.16,77.7,48.49,10.81,2.71,6.67,25.2,28.95,3.45,20.88,89.29,25.04,14.47,163.73,0.6,2.11
60,2000,39.4,38.46,57.23,8.47,9.79,65.11,35.48,7.09,1.84,4.34,15.11,17.08,5.85,21.24,59.56,17.84,10.11,115.71,0.94,2.52
60,2001,73.86,50.67,55.23,17.12,19.27,69.28,44.79,9.45,2.78,9.32,28.7,31.94,3.13,19.29,76.94,23.27,12.88,134.25,0.78,1.46
60,2002,30.94,31.02,32.02,12.95,14.27,33.98,26.18,8.27,1.66,8.17,20.47,22.35,4.47,20.24,57.21,18.64,10.32,87.39,1.1,2.98
60,2003,19.84,19.79,21.15,8.94,9.52,21.45,17.75,5.6,1.37,5.5,13.4,14.54,6.88,17.3,37.1,13.03,7.16,50.44,1.7,4.72
60,2004,61.98,41.17,50.48,3.92,34.97,26.8,20.79,5.45,4.69,5.77,17.94,24.91,4.01,11.85,39.97,11.67,7.47,48.46,1.7,3.56
60,2005,17.09,14.52,15.61,2.8,17.19,14.12,11.87,3.96,0.98,3.86,8.79,11.52,8.68,19.53,26.27,6.83,5.11,29.39,2.34,7.22
60,2006,20.27,16.12,16.76,2.48,8.85,12.96,11.11,3.45,1.25,3.34,8.01,11.16,8.96,19.46,20.83,4.82,4.03,21.45,3.26,7.77
60,2007,9.23,14.29,7.33,2.45,6.73,11.6,10.14,3.69,1.41,3.21,7.93,10.87,9.2,16.75,19.01,4.5,4.12,19.78,3.71,8.8
60,2008,18.4,14.78,18.25,2.24,6.32,13.15,11.19,3.09,3.69,2.76,8.59,12.91,7.75,12.01,15.52,3.35,3.3,15,5.1,7.81
60,2009,13.98,11.05,7.58,1.97,6.19,6.85,6.21,2.35,0,2.22,6.99,10.48,9.54,10.71,12.39,2.37,2.6,10.68,7.23,14.61
60,2010,14.01,9.97,9.54,1.55,0,7.89,7.32,2.43,0,3.24,9.65,13.45,7.43,7.2,12.21,2.19,2.54,9.69,4.4,11.06
60,2011,16.26,7.61,19.61,1.51,0,13.48,11.69,2.06,0,2.29,7.6,13.26,7.54,8.9,11.35,1.89,2.33,8.97,4.11,7.48
60,2012,16.14,9.4,7.67,1.89,0,8.79,7.97,2.64,13.24,2.76,7.58,12.78,7.82,10.34,13.88,2.09,2.72,10.27,3.7,11.82
60,2013,12.25,11.31,8.48,2.13,0,11.64,10.65,3.26,2.59,3.26,8.74,13.98,7.15,12.93,15.72,2.23,3.07,11.52,3.51,8.87
60,2014,9.1,13.07,7.45,2.43,0,12.34,11.31,3.88,1.77,3.69,8.08,11.1,9.01,14.63,16.42,2.62,3.71,13.35,3.13,8.73
60,2015,20.78,13.06,12.34,2.6,0,12.23,11.1,3.82,1.91,3.76,9.75,13.72,7.29,13.94,16.99,2.63,3.76,13.38,3.34,8.35
60,2016,27.55,13.9,16.49,2.92,0,14.51,13.03,3.92,4.24,4.19,13.36,20.14,4.97,10.76,17.71,2.71,3.87,13.74,3.47,6.99
60,2017,26.3,12.82,16.89,3.14,0,13.36,11.7,3.59,0,3.98,13.75,22.05,4.54,4.1,19.7,2.7,3.78,13.67,3.69,7.6
60,2018,9.75,12.95,8.28,2.88,0,14.25,12.37,3.96,0,4.34,11.5,16.8,5.95,3.95,18.96,2.98,4.11,14.63,3.53,7.11
60,2019,22.11,24.91,18.53,3.73,0,18.05,15.62,6.05,0,6.36,23.48,52.89,1.89,3.61,21.87,3.5,4.95,17.73,3.12,5.79
60,2020,13.16,33.99,12.47,3.25,0,19.98,16.74,5.15,0,6.04,13.24,19.15,5.22,5.35,17.89,3.08,4.41,16.05,3.68,5.13
60,2021,22.58,16.58,20.23,3.24,0,17.03,14.4,4.98,0,5.55,17.43,27.25,3.67,1.46,17.21,3.04,4.43,15.25,4.13,5.94
60,2022,15.34,14.54,10.13,4.3,116.47,11.28,10.35,4.15,4.86,4.16,10.98,13.2,7.58,7.77,23.38,4.58,6.29,20.86,2.64,9
60,2023,9.37,7.79,11.29,3.01,314.36,11.28,10.04,2.93,0.39,2.99,7.32,8.35,11.98,26.14,17.14,3.69,4.74,15.98,3.12,9.05
