enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
62,2005,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2006,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2007,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2008,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2009,13.15,13.03,0,11.62,0,13.21,11.38,3.51,0,3.81,8.84,9.57,10.45,0,0,0,0,0,3.54,7.84
62,2010,14.87,14.82,0,15.91,0,13.11,11.92,3.75,0,4.2,9.57,10.37,9.64,0,0,0,0,0,4.65,7.88
62,2011,14.93,14.86,11.94,30.08,0,12.36,11.42,3.96,0,4.48,9.97,10.79,9.27,0,0,0,0,0,4.17,8.27
62,2012,16.18,16.04,14,590.08,0,14.36,13.13,4.45,0,4.92,10.57,11.35,8.81,12.48,0,0,0,0,3.59,7.11
62,2013,16.18,16.02,17.17,0,0,16.92,15.02,4.51,1.07,5.09,10.72,11.4,8.77,19.96,0,0,0,0,3.87,6.05
62,2014,16.56,16.14,16.48,0,0,15.82,13.95,4.53,1.18,5.3,11.39,12.13,8.24,19.03,0,0,0,0,4.11,6.45
62,2015,17.11,16.23,19.35,0,0,19.37,16.48,4.29,1.91,5.21,12.21,13.13,7.62,14.45,0,0,0,0,4.76,5.23
62,2016,19.89,19.89,20.27,0,0,19.72,17.32,5.08,12.05,6.08,14.18,15.17,6.59,7.13,20.43,0,5.46,19.71,4.6,5.07
62,2017,20.42,20.42,20.7,0,0,20.55,17.57,5.32,0,6.32,14.36,15.33,6.52,1.05,20.36,0,5.39,20.14,4.5,4.86
62,2018,27.23,22.38,22.47,0,0,22.28,18.41,5.71,0,6.67,15.27,16.42,6.09,0.14,22.78,0,5.9,21.73,3.99,4.49
62,2019,13.14,13.14,13.05,0,0,12.91,10.95,3.5,0,4.41,10.44,11.34,8.82,5.59,13.77,0,3.57,13.11,6.73,7.75
62,2020,18.46,18.46,17.02,0,0,14.33,13.12,4.44,42.93,5.32,13.63,14.86,6.73,6.12,16.91,0,4.36,15.86,5.43,6.98
62,2021,16.04,16.04,15.96,0,0,14.01,13.15,4.5,8.72,5.41,12.25,13.28,7.53,8.1,16.07,0,4.17,15.15,5.73,7.14
62,2022,16.3,16.3,13.96,0,0,13.2,12.38,4.72,6.94,5.49,12.35,13.3,7.52,8.38,17.23,0,4.49,16.08,5.16,7.62
62,2023,17.42,17.42,16.88,0,0,16.15,14.54,4.95,7.29,6.28,14.68,16.08,6.22,8.41,17.49,0,4.56,16.11,4.98,6.2
