enterprise_id,years,pe_ratio,pe_ratio_without_nri,price-to-owner-earnings,pb_ratio,price-to-tangible-book,price-to-free-cash-flow,price-to-operating-cash-flow,ps_ratio,peg_ratio,ev-to-revenue,ev-to-ebitda,ev-to-ebit,earnings_yield_(joel_greenblatt)_%,forward_rate_of_return_(yacktman)_%,shiller_pe_ratio,cyclically_adjusted_pb_ratio,cyclically_adjusted_ps_ratio,cyclically_adjusted_price-to-fcf,dividend_yield_%,fcf_yield_%
64,1994,23.45,2438.57,9.42,1.37,1.61,7.42,3.26,0.24,0,0.39,4.91,9.82,10.18,0,0,0.99,0.22,11.04,2.89,13.46
64,1995,17.99,154.57,14.34,1.3,1.3,8.15,3.59,0.23,0,0.37,4.27,8.03,12.45,-13.22,0,1.02,0.22,10.22,3.03,12.27
64,1996,41.7,177.7,6.89,1.81,1.81,6.88,3.57,0.32,43.34,0.41,4.12,6.59,15.17,13.34,0,1.55,0.32,12.56,2.18,14.54
64,1997,23.96,52.38,8.41,2.3,2.3,10,4.77,0.44,2.25,0.5,5.01,7.9,12.66,27.51,0,2.13,0.43,15.45,1.67,10
64,1998,21.82,36.72,6.36,2.58,3.4,14.99,5.51,0.5,1.38,0.58,5.45,7.96,12.56,27.49,0,2.34,0.47,16.54,1.71,6.67
64,1999,27.03,27.78,12.65,3.52,5.2,9.44,6.68,0.68,0,0.79,6.59,9.02,11.09,2.81,808.98,3.48,0.73,21.37,1.28,10.6
64,2000,13.59,15.73,9.01,2.73,13.15,5.49,4.56,0.85,0,1,11.57,19.25,5.19,-5.05,331.34,3.96,0.89,18.76,1.17,19.1
64,2001,13.94,13.94,15.96,3.04,26.12,16.05,10.04,0.95,0,1.05,6.96,8.86,11.29,1.72,114.48,4.56,1.06,19.14,1.05,6.73
64,2002,10.62,10.62,9.32,2.29,12.26,9.41,6.91,0.74,0.69,0.83,5.6,7.16,13.97,24.38,35.29,3.55,0.86,14.35,1.4,11.37
64,2003,8.84,8.84,7.13,2.2,13.35,8.71,6.92,0.7,0.26,0.77,4.96,5.94,16.84,30.31,21.75,3.1,0.81,11.9,1.59,12.36
64,2004,6.36,6.36,11.97,2.62,63.45,12.89,10.52,0.97,0.19,1.13,7.55,9.11,10.98,28.44,21.88,4.25,1.19,16.43,1.2,7.65
64,2005,12.32,12.32,10.44,2.33,15.54,11.74,9.14,0.88,0.75,1,7.1,8.71,11.48,24.26,20.64,4.05,1.25,16.36,1.35,8.43
64,2006,11.61,11.28,10.85,2.1,38.58,10.48,8.23,0.84,3.09,0.99,6.88,8.19,12.21,10.28,18.51,3.77,1.25,15.61,1.57,9.55
64,2007,10.6,10.6,9.52,2.26,0,10.28,8.24,0.83,0.98,0.95,6.37,7.44,13.44,17.79,17.27,3.64,1.29,15.36,1.62,9.83
64,2008,11.28,11.28,9.82,2.22,32.05,11.41,8.94,0.87,0.69,1,6.63,7.73,12.94,22.68,17.54,3.8,1.4,16.08,1.53,8.82
64,2009,6.88,6.88,6.24,2.02,0,6.52,5.23,0.54,0.33,0.67,4.45,5.23,19.12,30.74,10.69,2.39,0.86,10.21,2.51,15.56
64,2010,10.6,10.6,7.03,2.04,177.56,8.96,7.58,0.77,0.66,0.91,6.15,7.35,13.61,25.67,12.26,2.81,0.99,12.73,2.22,11.06
64,2011,10.45,10.89,7.74,2.13,0,9.02,7.74,0.87,1.43,1.02,6.4,7.59,13.18,16.99,12.81,2.91,1.05,12.9,2.16,11.1
64,2012,8.38,8.63,7.63,1.91,2190.29,7.37,6.33,0.75,1.72,0.85,5.1,5.9,16.95,16.36,10.73,2.44,0.9,10.69,2.55,13.57
64,2013,9.12,9.65,8.06,1.83,0,12.6,7.04,0.81,2.36,1.16,7.21,8.61,11.61,14.26,11.11,2.51,0.94,11.46,2.48,7.83
64,2014,11.46,12.45,10.12,2.06,0,14.29,9.53,1.16,1.99,1.46,7.94,9.53,10.49,13.58,15.09,3.16,1.23,14.96,1.93,6.99
64,2015,10.61,10.88,10.83,2.11,0,12.85,9.01,1.14,1.46,1.41,7.03,8.34,11.99,14.73,13.85,2.91,1.17,14.07,2.05,7.8
64,2016,7.02,13.35,6.8,1.85,0,12.43,8.37,0.95,2.23,1.17,7.08,8.86,11.29,14.59,10.49,2.28,0.95,11.48,2.66,8.47
64,2017,11.25,11.25,13.01,2.02,0,31.79,14.69,1,5.07,1.3,7.26,8.97,11.15,8.76,11.39,2.43,1.04,13.44,2.39,3.21
64,2018,14.08,14.08,10.03,2.17,0,19.82,11.39,1.07,4.6,1.41,7.75,9.64,10.37,8.54,12.85,2.66,1.17,15.59,2.13,5.05
64,2019,10.31,44.67,8.88,1.5,0,12.19,8.59,1.56,42.14,2.86,17.8,26.96,3.71,7.97,10.39,2.07,1,12.92,2.66,7.72
64,2020,14.7,23.21,13.83,1.95,0,12.22,9.17,1.8,0,2.72,14.4,21.05,4.75,-4.15,13.96,2.65,1.39,17.14,1.96,8.18
64,2021,At Loss,At Loss,0,1.51,0,59.25,26.92,1.72,0,2.38,42.02,-142.77,-0.7,-11.64,11.85,1.88,1.08,14.19,3.02,1.51
64,2022,33.49,29.25,20.67,1.76,0,28.04,18.36,2.02,0,2.41,14.37,24.83,4.03,-17.33,14.24,2.02,1.27,17.45,2.33,3.6
64,2023,28.67,28.75,23.53,2.04,0,34.14,20.92,2.24,0,2.64,15.46,24.13,4.14,-9.13,16.66,2.16,1.48,20.12,2.15,2.97
